"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","PullbackLookbackBars","MinimumADX","TakeProfitR","MinimumSignalBodyPercent","RequirePriorCloseBeyondVWAP","UseSignalVolumeFilter","SessionStartHour","SessionEndHour","StopRule","Status","ReportPath","ReportSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence"
"1","m15dvc_center","1","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_m15dvc_center_older_2015_2018_m1.ini","m15dvc_center_older_2015_2018_m1","profiles\m15dvc_center.set","A712EB878329FE09D96FEC0882BD027CD5BB39613EEB351C87ED3D51C4841A39","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_center_older_2015_2018_m1.htm","D98FD4B51929D7895B366E8D9EE9F6B7CBFB01637869E51A33847A149E6D5600","10000","1460","3.9973","-309.6","9690.4","-3.1","-0.77","-0.78","0.65","-2.18","-5","31.69","142","9","340.01","3.4","330.38","340.01","-0.9106","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"2","m15dvc_center","1","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_m15dvc_center_discovery_2019_2020_m1.ini","m15dvc_center_discovery_2019_2020_m1","profiles\m15dvc_center.set","A712EB878329FE09D96FEC0882BD027CD5BB39613EEB351C87ED3D51C4841A39","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_center_discovery_2019_2020_m1.htm","BAB53DCB8248ABF0AADE4F2151A92A3E95D267EE8F92808B37B770290D53E6B3","10000","730","1.9986","-174.28","9825.72","-1.74","-0.87","-0.88","0.63","-2.23","-5","30.77","78","10","266.43","2.65","204.52","266.43","-0.6541","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"3","m15dvc_center","1","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_m15dvc_center_continuous_2015_2020_m1.ini","m15dvc_center_continuous_2015_2020_m1","profiles\m15dvc_center.set","A712EB878329FE09D96FEC0882BD027CD5BB39613EEB351C87ED3D51C4841A39","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_center_continuous_2015_2020_m1.htm","2AF872147BEF234A8DC97E785AAC951B9EA13A35FC9588950152D39A34E8FAB7","10000","2191","5.9986","-501.12","9498.88","-5.01","-0.84","-0.85","0.59","-2.53","-5","31.31","198","10","506.12","5.06","501.12","506.12","-0.9901","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"4","m15dvc_pb2","2","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_pb2.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_m15dvc_pb2_older_2015_2018_m1.ini","m15dvc_pb2_older_2015_2018_m1","profiles\m15dvc_pb2.set","5017FB1FFEC852BFCAD1EEF8369DB0F22B54C772AE3EC50F89B97848D6CFF8B6","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","2","18.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_pb2_older_2015_2018_m1.htm","D54213508D1ABD2CA5E8B251B39D2FD2EF8A32E49C605FF7FC48FC2A64393D7F","10000","1460","3.9973","-298.35","9701.65","-2.98","-0.75","-0.75","0.72","-1.73","-5","31.98","172","8","425.71","4.26","419.13","425.71","-0.7008","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"5","m15dvc_pb2","2","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_pb2.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_m15dvc_pb2_discovery_2019_2020_m1.ini","m15dvc_pb2_discovery_2019_2020_m1","profiles\m15dvc_pb2.set","5017FB1FFEC852BFCAD1EEF8369DB0F22B54C772AE3EC50F89B97848D6CFF8B6","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","2","18.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_pb2_discovery_2019_2020_m1.htm","0C6E0CB557731E2C3B4559D0D2B3ACD89151BD6ED1517AF531EDF948283A7415","10000","730","1.9986","-250.52","9749.48","-2.51","-1.25","-1.26","0.57","-2.64","-5","30.53","95","9","352.92","3.51","301.18","352.92","-0.7098","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"6","m15dvc_pb2","2","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_pb2.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_m15dvc_pb2_continuous_2015_2020_m1.ini","m15dvc_pb2_continuous_2015_2020_m1","profiles\m15dvc_pb2.set","5017FB1FFEC852BFCAD1EEF8369DB0F22B54C772AE3EC50F89B97848D6CFF8B6","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","2","18.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_pb2_continuous_2015_2020_m1.htm","2EB9BD22C9D235BA7448F847249DAF49113073FEDE34621052E730D111D1DC62","10000","2191","5.9986","-500.02","9499.98","-5","-0.83","-0.85","0.64","-2.21","-5","31.86","226","9","502.22","5.02","500.02","502.22","-0.9956","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"7","m15dvc_pb4","3","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_pb4.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_m15dvc_pb4_older_2015_2018_m1.ini","m15dvc_pb4_older_2015_2018_m1","profiles\m15dvc_pb4.set","5129B8BDA8ACA1383551B56F196B8A72B7C59182C5D9D35347AA69C30C2DF434","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","4","18.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_pb4_older_2015_2018_m1.htm","C68716CC1C78FD06D779AFCC2F6118C76994F07D15C20971F869B5F34104CDD3","10000","1460","3.9973","-287.47","9712.53","-2.87","-0.72","-0.73","0.62","-2.42","-5","30.25","119","8","297.87","2.98","288.24","297.87","-0.9651","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"8","m15dvc_pb4","3","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_pb4.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_m15dvc_pb4_discovery_2019_2020_m1.ini","m15dvc_pb4_discovery_2019_2020_m1","profiles\m15dvc_pb4.set","5129B8BDA8ACA1383551B56F196B8A72B7C59182C5D9D35347AA69C30C2DF434","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","4","18.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_pb4_discovery_2019_2020_m1.htm","E32C6EE3C2CFE57B1155317AA3185BE43788DD9AA12909F548F99517A9817C52","10000","730","1.9986","-111.23","9888.77","-1.11","-0.56","-0.56","0.74","-1.54","-4.9","33.33","72","11","245.84","2.44","174.91","245.84","-0.4524","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"9","m15dvc_pb4","3","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_pb4.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_m15dvc_pb4_continuous_2015_2020_m1.ini","m15dvc_pb4_continuous_2015_2020_m1","profiles\m15dvc_pb4.set","5129B8BDA8ACA1383551B56F196B8A72B7C59182C5D9D35347AA69C30C2DF434","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","4","18.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_pb4_continuous_2015_2020_m1.htm","8D2A7BD92602829AB69B9ABA3C1910904B7ACFDF922C72CF257080C442B79797","10000","2191","5.9986","-415.82","9584.18","-4.16","-0.69","-0.71","0.64","-2.18","-5","31.41","191","11","472.7","4.73","463.65","472.7","-0.8797","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"10","m15dvc_adx16","4","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_adx16.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_m15dvc_adx16_older_2015_2018_m1.ini","m15dvc_adx16_older_2015_2018_m1","profiles\m15dvc_adx16.set","CD46B34CE58A99C1E1534A01F61AE02EADD3E1C9AC1BD7CEA52C75C7581B0201","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","16.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_adx16_older_2015_2018_m1.htm","C272BDF1DABE2A344A1B0E89710E81B79E114710E4EC7F5B279B2CFD5F71B86B","10000","1460","3.9973","-306.39","9693.61","-3.06","-0.77","-0.78","0.67","-2.04","-5","32","150","10","345.54","3.45","335.91","345.54","-0.8867","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
