"Candidate","Role","ReversionMaximumPositionLots","OlderNetProfit","LaterNetProfit","ContinuousNetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","BehaviorChangedVsControl"
"rvlc_control","control","0.1","860.86","330.02","1191.69","11.92","1.89","1.77","265","1.02","10.5778","11.6863","False"
"rvlc_low012","lower_neighbor","0.12","961.25","343.82","1286.73","12.87","2.04","1.81","265","1.12","10.8722","11.4911","True"
"rvlc_center015","center","0.15","1075.75","370.41","1419.25","14.19","2.24","1.85","267","1.3","10.3136","10.9154","True"
"rvlc_high018","upper_neighbor","0.18","1150.4","388.14","1516.24","15.16","2.38","1.88","267","1.47","9.6656","10.3129","True"
"rvlc_stress020","upper_stress","0.2","1155.36","388.14","1530.07","15.3","2.4","1.88","267","1.59","9.0158","9.6226","True"
