"QueueRank","Candidate","CandidateRank","Phase","Window","From","To","Model","Deposit","Enabled","MaximumAccountPositions","MinimumProfitR","BreakoutLookbackBars","RiskMultiplier","PrimaryLockR","LockedProfitCoverage","ExpectedReportName","ProfileSha256","SourceSha256","StopRule","PackageConfig","SourceConfig","ReportDestination"
"1","pwa_control","1","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","3","1.25","6","0.50","0.75","1.25","pwa_control_older_2015_2018_m1","65A3228E1C705BFE1DC97ADE7CEF94D3F5AE49C63E4E8E92708DCE699E7B6BCD","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\001_pwa_control_older_2015_2018_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\001_pwa_control_older_2015_2018_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_control_older_2015_2018_m1"
"2","pwa_control","1","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","false","3","1.25","6","0.50","0.75","1.25","pwa_control_discovery_2019_2020_m1","65A3228E1C705BFE1DC97ADE7CEF94D3F5AE49C63E4E8E92708DCE699E7B6BCD","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\002_pwa_control_discovery_2019_2020_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\002_pwa_control_discovery_2019_2020_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_control_discovery_2019_2020_m1"
"3","pwa_control","1","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","3","1.25","6","0.50","0.75","1.25","pwa_control_continuous_2015_2020_m1","65A3228E1C705BFE1DC97ADE7CEF94D3F5AE49C63E4E8E92708DCE699E7B6BCD","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\003_pwa_control_continuous_2015_2020_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\003_pwa_control_continuous_2015_2020_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_control_continuous_2015_2020_m1"
"4","pwa_center","2","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","1.25","6","0.50","0.75","1.25","pwa_center_older_2015_2018_m1","25F19A9ED2CF375BA01AF1709A78C664A6C24B7F9C0E123D716FD5F7B992FEC6","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\004_pwa_center_older_2015_2018_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\004_pwa_center_older_2015_2018_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_center_older_2015_2018_m1"
"5","pwa_center","2","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","1.25","6","0.50","0.75","1.25","pwa_center_discovery_2019_2020_m1","25F19A9ED2CF375BA01AF1709A78C664A6C24B7F9C0E123D716FD5F7B992FEC6","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\005_pwa_center_discovery_2019_2020_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\005_pwa_center_discovery_2019_2020_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_center_discovery_2019_2020_m1"
"6","pwa_center","2","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","1.25","6","0.50","0.75","1.25","pwa_center_continuous_2015_2020_m1","25F19A9ED2CF375BA01AF1709A78C664A6C24B7F9C0E123D716FD5F7B992FEC6","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\006_pwa_center_continuous_2015_2020_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\006_pwa_center_continuous_2015_2020_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_center_continuous_2015_2020_m1"
"7","pwa_lookback4","3","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","1.25","4","0.50","0.75","1.25","pwa_lookback4_older_2015_2018_m1","28CE46A314B8A5B375CC28ED24696E484C8CB8C6F504F0E465945C5EB9535033","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\007_pwa_lookback4_older_2015_2018_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\007_pwa_lookback4_older_2015_2018_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_lookback4_older_2015_2018_m1"
"8","pwa_lookback4","3","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","1.25","4","0.50","0.75","1.25","pwa_lookback4_discovery_2019_2020_m1","28CE46A314B8A5B375CC28ED24696E484C8CB8C6F504F0E465945C5EB9535033","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\008_pwa_lookback4_discovery_2019_2020_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\008_pwa_lookback4_discovery_2019_2020_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_lookback4_discovery_2019_2020_m1"
"9","pwa_lookback4","3","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","1.25","4","0.50","0.75","1.25","pwa_lookback4_continuous_2015_2020_m1","28CE46A314B8A5B375CC28ED24696E484C8CB8C6F504F0E465945C5EB9535033","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\009_pwa_lookback4_continuous_2015_2020_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\009_pwa_lookback4_continuous_2015_2020_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_lookback4_continuous_2015_2020_m1"
"10","pwa_lookback8","4","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","1.25","8","0.50","0.75","1.25","pwa_lookback8_older_2015_2018_m1","B7CF25DE09A7B594881FB2CAF46795C92F2C5B8277EEF4E852B97C82C90D6C00","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\010_pwa_lookback8_older_2015_2018_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\configs\010_pwa_lookback8_older_2015_2018_m1.ini","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_lookback8_older_2015_2018_m1"
