"Candidate","AddedTrades","AddedNetProfit","AddedProfitFactor","DisplacedControlTrades","DisplacedControlNetProfit","DisplacedControlProfitFactor"
"rvbd_neighbor190","5","306.12","4.935","8","583.66","14.963"
"rvbd_center180","13","1.13","1.003","12","634.81","6.31"
"rvbd_neighbor170","19","80.15","1.149","20","1229.39","7.906"
