"QueueRank","Candidate","Role","Window","From","To","Model","BuyResidualRiskEnabled","MomentumBuyRiskPercent","MomentumSellRiskPercent","BaseLotEligibility","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","mbr_control","control","older_2015_2018","2015.01.01","2018.12.31","1","false","0.15","0.15","required","D54D913E1D80B773C5F45ABC521B88DA3318B2B6D6FD3333F113B2BBC75FB0CE","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","PARSED","1001.72","10.02","2.42","1.9","187","44.92","1.11","8.5464","9.027","5.25","6","3019CA771CD0E46668D6A39204A190252F4D9DC7626BC6E5355E3A6EBDBAC157"
"2","mbr_control","control","later_2019_2020","2019.01.01","2020.12.31","1","false","0.15","0.15","required","D54D913E1D80B773C5F45ABC521B88DA3318B2B6D6FD3333F113B2BBC75FB0CE","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","PARSED","370.41","3.7","1.84","1.94","75","46.67","0.93","3.9135","3.9785","5.57","6","A3599A330459CF0A198375E1E2CC525EDAD308610395961DDDBDC65DEAA0F0AD"
"3","mbr_control","control","continuous_2015_2020","2015.01.01","2020.12.31","1","false","0.15","0.15","required","D54D913E1D80B773C5F45ABC521B88DA3318B2B6D6FD3333F113B2BBC75FB0CE","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","PARSED","1353.74","13.54","2.14","1.85","265","45.28","1.06","11.4559","12.7736","5.02","6","74EF3ECB5051580C0C502713C7BD055D00934AE47B8563112A4EE05F0D2B5D33"
"4","mbr_buy016","lower_boundary","older_2015_2018","2015.01.01","2018.12.31","1","true","0.16","0.15","required","AB6AFE677E8D93C204F91D76F5A5B3F69C09907C54281AD6BF64A5041A52CA1F","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","PARSED","976.54","9.77","2.36","1.85","187","44.92","1.11","8.3315","8.8018","5.06","6","F7C24CDC3FA5A6B287D5BA16925C0C85F57C81315AAAC3C95D09B36E28889F54"
"5","mbr_buy016","lower_boundary","later_2019_2020","2019.01.01","2020.12.31","1","true","0.16","0.15","required","AB6AFE677E8D93C204F91D76F5A5B3F69C09907C54281AD6BF64A5041A52CA1F","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","PARSED","361.84","3.62","1.79","1.83","75","46.67","1.11","3.2118","3.2613","5.13","6","C5EA2FE717890D353F92096D8391E2D9B619B0190366813CBAF17ED584EB1929"
"6","mbr_buy016","lower_boundary","continuous_2015_2020","2015.01.01","2020.12.31","1","true","0.16","0.15","required","AB6AFE677E8D93C204F91D76F5A5B3F69C09907C54281AD6BF64A5041A52CA1F","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","PARSED","1332.61","13.33","2.11","1.79","265","45.28","1.11","11.3694","12.009","4.84","6","ACE93A8300FE82A08C06D0934A177C2C70A4E06041F80BE4CD8A1A5E5EFDBAA7"
"7","mbr_buy017","conservative_support","older_2015_2018","2015.01.01","2018.12.31","1","true","0.17","0.15","required","0CDA1DE7CB74F43D4478EE5AD31E75F49A38B25FCD9260E48641C318C666F29E","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","PARSED","1027.79","10.28","2.48","1.88","187","44.92","1.11","8.7688","9.2613","5.2","6","4FAD57B68A3C1EB618E51A6CF04E5E29033DF39DCDD7BC3341BB771FE6802AAA"
"8","mbr_buy017","conservative_support","later_2019_2020","2019.01.01","2020.12.31","1","true","0.17","0.15","required","0CDA1DE7CB74F43D4478EE5AD31E75F49A38B25FCD9260E48641C318C666F29E","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","PARSED","364.91","3.65","1.81","1.77","75","46.67","1.15","3.1104","3.1739","4.97","6","80763C18F03D0DE135F6D0036C73A48DE53FA41340A7C78D84F0F9ABD298A2FF"
"9","mbr_buy017","conservative_support","continuous_2015_2020","2015.01.01","2020.12.31","1","true","0.17","0.15","required","0CDA1DE7CB74F43D4478EE5AD31E75F49A38B25FCD9260E48641C318C666F29E","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","PARSED","1353.19","13.53","2.14","1.78","265","45.28","1.24","9.6892","10.9113","4.78","6","9B6345E8F7A3DBD9FA8EFDF20F3B2CD4C92D78DF9506514D1522309A44108602"
"10","mbr_buy018","middle_support","older_2015_2018","2015.01.01","2018.12.31","1","true","0.18","0.15","required","1400A06448A51B659145A2037023AE2C9CA675C6C8C18FE82836DA0AF6D1CAB2","872028C76FDD4183E6266BB0E48125BB6B0F48EA3E77B9663B92A7F68B9ACD04","0093251D7E6D9EAFBAC1B8B056DBB876CC1C63D462F93BDE5FCDE98BC9162642","PARSED","1045.47","10.45","2.52","1.87","187","44.92","1.11","8.9196","9.4144","5.21","6","72B7A5DCE9C07B5854FE6C7E4E46EDF6233EB8AEB3E1997DF003629B13B488F0"
