Candidate,Older2015To2018Net,OlderProfitFactor,Discovery2019To2020Net,DiscoveryProfitFactor,ContinuousNet,ContinuousProfitFactor,ContinuousTrades,ContinuousMaxDrawdownPercent,Decision
orb_london_adx18,-160.44,0.86,-522.85,0.33,-160.44,0.86,23,6.14,REJECT
orb_london_noadx,178.20,1.09,-458.03,0.42,178.20,1.09,43,5.04,REJECT
orb_london_adx18_body35,45.95,1.03,-522.85,0.33,45.95,1.03,35,5.70,REJECT
orb_newyork_adx18,-577.56,0.00,-233.94,0.68,-577.56,0.00,6,5.78,REJECT
orb_dual_adx18,-497.42,0.22,-265.72,0.74,-497.42,0.22,9,5.83,REJECT
orb_dual_adx18_volume,-545.96,0.47,-495.27,0.48,-545.96,0.47,18,5.46,REJECT
