"Phase","GateId","Feature","Threshold","Eligible","Trades","RetentionPercent","RemovedTrades","RemovedWinners","RemovedLosers","NetProfit","NetDelta","ProfitFactor","WinRatePercent","MaxConsecutiveLosses","TradeCloseDrawdown","NegativeYears","ActiveYears","BaselineTrades","BaselineNetProfit","BaselineProfitFactor","BaselineTradeCloseDrawdown","BaselineNegativeYears"
"discovery_2015_2020","body_pct_min_20","body_pct","20","True","27","100","0","0","0","253.28","0","1.4017","37.04","7","269.57","1","6","27","253.28","1.4017","269.57","1"
"discovery_2015_2020","body_pct_min_30","body_pct","30","True","27","100","0","0","0","253.28","0","1.4017","37.04","7","269.57","1","6","27","253.28","1.4017","269.57","1"
"discovery_2015_2020","body_pct_min_60","body_pct","60","False","17","62.96","10","2","8","326.31","73.03","1.9327","47.06","4","128.33","2","6","27","253.28","1.4017","269.57","1"
"discovery_2015_2020","eff10_min_0p5","eff10","0.5","False","13","48.15","14","4","10","313.75","60.47","2.1932","46.15","2","104.79","1","6","27","253.28","1.4017","269.57","1"
"discovery_2015_2020","body_pct_min_50","body_pct","50","False","21","77.78","6","1","5","272.02","18.74","1.5984","42.86","5","164.42","2","6","27","253.28","1.4017","269.57","1"
"discovery_2015_2020","close_pct_min_80","close_pct","80","False","17","62.96","10","3","7","247.07","-6.21","1.6658","41.18","5","164.78","2","6","27","253.28","1.4017","269.57","1"
"discovery_2015_2020","body_pct_min_40","body_pct","40","False","22","81.48","5","1","4","235.57","-17.71","1.4797","40.91","6","200.87","2","6","27","253.28","1.4017","269.57","1"
"discovery_2015_2020","close_pct_min_60","close_pct","60","False","23","85.19","4","1","3","188.48","-64.8","1.3502","39.13","6","200.87","2","6","27","253.28","1.4017","269.57","1"
"discovery_2015_2020","close_pct_min_70","close_pct","70","False","21","77.78","6","2","4","177.39","-75.89","1.3556","38.1","7","247.96","2","6","27","253.28","1.4017","269.57","1"
"discovery_2015_2020","eff10_min_0p4","eff10","0.4","False","18","66.67","9","4","5","151.14","-102.14","1.3552","33.33","7","267.4","1","6","27","253.28","1.4017","269.57","1"
"discovery_2015_2020","eff10_min_0p6","eff10","0.6","False","12","44.44","15","5","10","135.74","-117.54","1.5162","41.67","2","104.79","2","6","27","253.28","1.4017","269.57","1"
"discovery_2015_2020","di_edge_min_5","di_edge","5","False","25","92.59","2","1","1","133.47","-119.81","1.225","36","7","269.57","2","6","27","253.28","1.4017","269.57","1"
"discovery_2015_2020","eff10_min_0p7","eff10","0.7","False","7","25.93","20","6","14","107.03","-146.25","1.7959","57.14","2","87.38","1","5","27","253.28","1.4017","269.57","1"
"discovery_2015_2020","di_edge_min_20","di_edge","20","False","11","40.74","16","6","10","97","-156.28","1.3739","36.36","4","155.23","2","5","27","253.28","1.4017","269.57","1"
"discovery_2015_2020","di_edge_min_0","di_edge","0","False","26","96.3","1","1","0","96.1","-157.18","1.1524","34.62","7","269.57","2","6","27","253.28","1.4017","269.57","1"
"discovery_2015_2020","eff10_min_0p3","eff10","0.3","False","24","88.89","3","2","1","66.23","-187.05","1.1102","33.33","7","320.13","1","6","27","253.28","1.4017","269.57","1"
"discovery_2015_2020","di_edge_min_25","di_edge","25","False","9","33.33","18","7","11","61.85","-191.43","1.2878","33.33","4","155.23","3","5","27","253.28","1.4017","269.57","1"
"discovery_2015_2020","di_edge_min_15","di_edge","15","False","17","62.96","10","5","5","-62.48","-315.76","0.8617","29.41","7","248.54","2","5","27","253.28","1.4017","269.57","1"
"discovery_2015_2020","close_pct_min_90","close_pct","90","False","6","22.22","21","8","13","-88.57","-341.85","0.3536","33.33","2","88.57","2","3","27","253.28","1.4017","269.57","1"
"discovery_2015_2020","di_edge_min_10","di_edge","10","False","21","77.78","6","4","2","-97.65","-350.93","0.8248","28.57","8","346.32","2","6","27","253.28","1.4017","269.57","1"

