"QueueRank","Candidate","Role","Window","From","To","Model","BuyTakeProfitEnabled","MomentumBuyTakeProfitR","MomentumSellTakeProfitR","MomentumRiskPercent","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","mbp_control","control","older_2015_2018","2015.01.01","2018.12.31","1","false","2","2","0.15","B3376B58CF5917C47B76EF199F2239017EC89F1956E2F7E0ECEBEF188D4B3593","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","404C177BD968BFBE5EEC6B875DD324DD037F93F19622ED874490D353250F63B5","PARSED","1001.72","10.02","2.42","1.9","187","44.92","1.11","8.5464","9.027","5.25","6","3F0A301001A8CA192C62B76E973BFE42DF059BD3E21BBE555B8DCF0829FC543B"
"2","mbp_control","control","later_2019_2020","2019.01.01","2020.12.31","1","false","2","2","0.15","B3376B58CF5917C47B76EF199F2239017EC89F1956E2F7E0ECEBEF188D4B3593","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","404C177BD968BFBE5EEC6B875DD324DD037F93F19622ED874490D353250F63B5","PARSED","370.41","3.7","1.84","1.94","75","46.67","0.93","3.9135","3.9785","5.57","6","94AD2100DF2A4A7D0FD691DDB23D739A03D6D8568AC4FADAEFE9BFA7723EA660"
"3","mbp_control","control","continuous_2015_2020","2015.01.01","2020.12.31","1","false","2","2","0.15","B3376B58CF5917C47B76EF199F2239017EC89F1956E2F7E0ECEBEF188D4B3593","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","404C177BD968BFBE5EEC6B875DD324DD037F93F19622ED874490D353250F63B5","PARSED","1353.74","13.54","2.14","1.85","265","45.28","1.06","11.4559","12.7736","5.02","6","B67DE306E88CC6E5DBB4A2BAE79114C4796972F05F8146E98603A65324A6F906"
"4","mbp_buy225","lower_support","older_2015_2018","2015.01.01","2018.12.31","1","true","2.25","2","0.15","F010B0D17EAA031C2BAA66111FA1B42376A7BA2F556480556B66A1A64335F56F","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","404C177BD968BFBE5EEC6B875DD324DD037F93F19622ED874490D353250F63B5","PARSED","1034.03","10.34","2.49","1.95","185","45.41","1.11","8.822","9.3153","5.38","6","233B0EB6E6D910648FBDD7EE224F1A0F7C03A10119CD11DE5214319DAB0CA942"
"5","mbp_buy225","lower_support","later_2019_2020","2019.01.01","2020.12.31","1","true","2.25","2","0.15","F010B0D17EAA031C2BAA66111FA1B42376A7BA2F556480556B66A1A64335F56F","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","404C177BD968BFBE5EEC6B875DD324DD037F93F19622ED874490D353250F63B5","PARSED","405.45","4.05","2.01","2.03","74","47.3","0.94","4.2327","4.3085","5.94","6","7C1D0D729F1EB84C1CA7B4BB848FF56753A5F6A3919E680F3678956E969FDB29"
"6","mbp_buy225","lower_support","continuous_2015_2020","2015.01.01","2020.12.31","1","true","2.25","2","0.15","F010B0D17EAA031C2BAA66111FA1B42376A7BA2F556480556B66A1A64335F56F","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","404C177BD968BFBE5EEC6B875DD324DD037F93F19622ED874490D353250F63B5","PARSED","1406.57","14.07","2.22","1.89","262","45.8","1.15","10.9367","12.2348","5.15","6","08DC1D603494E9117C9DDB2CD716ABAE4DD33FCE48B3B1E43586464F15CE80A4"
"7","mbp_center_buy250","center","older_2015_2018","2015.01.01","2018.12.31","1","true","2.5","2","0.15","1161D9BC89CF2335848358AF8E4F122DFCE1BE65690F4513AE204B2D596274B0","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","404C177BD968BFBE5EEC6B875DD324DD037F93F19622ED874490D353250F63B5","PARSED","1061.03","10.61","2.55","1.99","184","45.65","1.11","9.0524","9.5586","5.44","6","A5F0E449E3044BA51143C7DA0FECDACFBCC6BD1912821B62908D3547DAF4FC30"
"8","mbp_center_buy250","center","later_2019_2020","2019.01.01","2020.12.31","1","true","2.5","2","0.15","1161D9BC89CF2335848358AF8E4F122DFCE1BE65690F4513AE204B2D596274B0","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","404C177BD968BFBE5EEC6B875DD324DD037F93F19622ED874490D353250F63B5","PARSED","396.16","3.96","1.96","2","74","47.3","0.89","4.3984","4.4494","5.45","6","9D768118BEBB44D92A0014BCD35A64C1B639933F7FD51BD6D4EB1C4BD026B898"
"9","mbp_center_buy250","center","continuous_2015_2020","2015.01.01","2020.12.31","1","true","2.5","2","0.15","1161D9BC89CF2335848358AF8E4F122DFCE1BE65690F4513AE204B2D596274B0","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","404C177BD968BFBE5EEC6B875DD324DD037F93F19622ED874490D353250F63B5","PARSED","1412.34","14.12","2.23","1.9","261","45.98","1.1","11.4927","12.8364","5.04","6","A02414556ADBBA6E618C6EE60223695A8B354CE62A83557ABD30FCFF266B2346"
"10","mbp_buy275","upper_support","older_2015_2018","2015.01.01","2018.12.31","1","true","2.75","2","0.15","D282808D13C4A64178F470CCA4FD8B88B285E4555AD1BD85114E0D0CEC01841B","52A2C2942931518EB28A8CB1BF1DD72D9C4BF07E6AC18F3C577D4971153A3923","404C177BD968BFBE5EEC6B875DD324DD037F93F19622ED874490D353250F63B5","PARSED","1031.98","10.32","2.49","1.96","184","45.65","1.11","8.8045","9.2973","5.22","6","0BEB6103B826DA4C2AC1AE4894A1E542C524176247775DE43BA43BA8A63559F3"
