"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","PartialRunnerEnabled","ClosePercent","TargetMultiplier","StopLockR","BaseReversionRiskPercent","StrongSignalBodyRatio","StrongSignalLotCap","MomentumRiskPercent","AdaptiveRiskPercent","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","rvpr_control","1","control","reversion_partial_runner_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","80","2.00","0.50","0.45","0.25","0.15","0.15","0.15","0.75","rvpr_control_older_2015_2018_m1","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\001_rvpr_control_older_2015_2018_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\001_rvpr_control_older_2015_2018_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_control_older_2015_2018_m1","F5C2C905DE9E456716D1E192AF7C2AA93939292243A63933BFAC6E20256114FC","A2C2A91E126E624598DF7FD3CD4D987F29B07DC829BA040AB46C9D21E9606100","614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719","Frozen pre-2021 discovery. Both eras profitable and no more than 2% below same-era control. Center continuous net >= control +4%; CAGR >= control +0.06 point; PF >= control; DD <= min(1.20%, control +0.10 point); recovery and return/DD >=97% control. At least 4 of 6 neighbors pass both eras, continuous net >=control +2%, same PF/DD/97% efficiency floors. Confirmed behavior change required. No post-result rescue."
"2","rvpr_control","1","control","reversion_partial_runner_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","false","80","2.00","0.50","0.45","0.25","0.15","0.15","0.15","0.75","rvpr_control_later_2019_2020_m1","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\002_rvpr_control_later_2019_2020_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\002_rvpr_control_later_2019_2020_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_control_later_2019_2020_m1","12210E510AECB6BF75DC88F9C5CD4240A6E5FEDE9F03B75ECED9AC082D8DC7E5","A2C2A91E126E624598DF7FD3CD4D987F29B07DC829BA040AB46C9D21E9606100","614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719","Frozen pre-2021 discovery. Both eras profitable and no more than 2% below same-era control. Center continuous net >= control +4%; CAGR >= control +0.06 point; PF >= control; DD <= min(1.20%, control +0.10 point); recovery and return/DD >=97% control. At least 4 of 6 neighbors pass both eras, continuous net >=control +2%, same PF/DD/97% efficiency floors. Confirmed behavior change required. No post-result rescue."
"3","rvpr_control","1","control","reversion_partial_runner_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","80","2.00","0.50","0.45","0.25","0.15","0.15","0.15","0.75","rvpr_control_continuous_2015_2020_m1","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\003_rvpr_control_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\003_rvpr_control_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_control_continuous_2015_2020_m1","D248D0B68A206D661203CFFB4AB403B70B1A968AFAE717722D924370EC213A22","A2C2A91E126E624598DF7FD3CD4D987F29B07DC829BA040AB46C9D21E9606100","614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719","Frozen pre-2021 discovery. Both eras profitable and no more than 2% below same-era control. Center continuous net >= control +4%; CAGR >= control +0.06 point; PF >= control; DD <= min(1.20%, control +0.10 point); recovery and return/DD >=97% control. At least 4 of 6 neighbors pass both eras, continuous net >=control +2%, same PF/DD/97% efficiency floors. Confirmed behavior change required. No post-result rescue."
"4","rvpr_center","2","center","reversion_partial_runner_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","80","2.00","0.50","0.45","0.25","0.15","0.15","0.15","0.75","rvpr_center_older_2015_2018_m1","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\004_rvpr_center_older_2015_2018_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\004_rvpr_center_older_2015_2018_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_center_older_2015_2018_m1","C67E95FE95E6825CEB92C7BCE920514B4D3C0674690791AA009CC6FCDE3BAC3E","3D115B1459EB6D701E2F48115A06A9AEBC66593579AC0115EC329CA077AC05FB","614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719","Frozen pre-2021 discovery. Both eras profitable and no more than 2% below same-era control. Center continuous net >= control +4%; CAGR >= control +0.06 point; PF >= control; DD <= min(1.20%, control +0.10 point); recovery and return/DD >=97% control. At least 4 of 6 neighbors pass both eras, continuous net >=control +2%, same PF/DD/97% efficiency floors. Confirmed behavior change required. No post-result rescue."
"5","rvpr_center","2","center","reversion_partial_runner_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","true","80","2.00","0.50","0.45","0.25","0.15","0.15","0.15","0.75","rvpr_center_later_2019_2020_m1","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\005_rvpr_center_later_2019_2020_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\005_rvpr_center_later_2019_2020_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_center_later_2019_2020_m1","82A2A913A644E68FB603D3F8BA047D08258FEF6411D30E191983CC8CB2F95B31","3D115B1459EB6D701E2F48115A06A9AEBC66593579AC0115EC329CA077AC05FB","614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719","Frozen pre-2021 discovery. Both eras profitable and no more than 2% below same-era control. Center continuous net >= control +4%; CAGR >= control +0.06 point; PF >= control; DD <= min(1.20%, control +0.10 point); recovery and return/DD >=97% control. At least 4 of 6 neighbors pass both eras, continuous net >=control +2%, same PF/DD/97% efficiency floors. Confirmed behavior change required. No post-result rescue."
"6","rvpr_center","2","center","reversion_partial_runner_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","80","2.00","0.50","0.45","0.25","0.15","0.15","0.15","0.75","rvpr_center_continuous_2015_2020_m1","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\006_rvpr_center_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\006_rvpr_center_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_center_continuous_2015_2020_m1","72609699E6192E422C5CBE97DA82047ED511D8375DED6069FADC313B4A3A636A","3D115B1459EB6D701E2F48115A06A9AEBC66593579AC0115EC329CA077AC05FB","614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719","Frozen pre-2021 discovery. Both eras profitable and no more than 2% below same-era control. Center continuous net >= control +4%; CAGR >= control +0.06 point; PF >= control; DD <= min(1.20%, control +0.10 point); recovery and return/DD >=97% control. At least 4 of 6 neighbors pass both eras, continuous net >=control +2%, same PF/DD/97% efficiency floors. Confirmed behavior change required. No post-result rescue."
"7","rvpr_close75","3","close_neighbor_low","reversion_partial_runner_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","75","2.00","0.50","0.45","0.25","0.15","0.15","0.15","0.75","rvpr_close75_older_2015_2018_m1","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\007_rvpr_close75_older_2015_2018_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\007_rvpr_close75_older_2015_2018_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_close75_older_2015_2018_m1","0B23C486510DEDA72A8A9E261EDA2B99AB3E1A90BF5EA98CECE8DB8088E025BD","61E7532A7E3A745BEFD6764ABFA8514510BB53E11E9916EB3AE17E47DC1DB3D2","614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719","Frozen pre-2021 discovery. Both eras profitable and no more than 2% below same-era control. Center continuous net >= control +4%; CAGR >= control +0.06 point; PF >= control; DD <= min(1.20%, control +0.10 point); recovery and return/DD >=97% control. At least 4 of 6 neighbors pass both eras, continuous net >=control +2%, same PF/DD/97% efficiency floors. Confirmed behavior change required. No post-result rescue."
"8","rvpr_close75","3","close_neighbor_low","reversion_partial_runner_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","true","75","2.00","0.50","0.45","0.25","0.15","0.15","0.15","0.75","rvpr_close75_later_2019_2020_m1","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\008_rvpr_close75_later_2019_2020_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\008_rvpr_close75_later_2019_2020_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_close75_later_2019_2020_m1","6C589300EC4D4CB7C1F761CA7BB0505AD512BE0E721851E164E341B7DAA15541","61E7532A7E3A745BEFD6764ABFA8514510BB53E11E9916EB3AE17E47DC1DB3D2","614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719","Frozen pre-2021 discovery. Both eras profitable and no more than 2% below same-era control. Center continuous net >= control +4%; CAGR >= control +0.06 point; PF >= control; DD <= min(1.20%, control +0.10 point); recovery and return/DD >=97% control. At least 4 of 6 neighbors pass both eras, continuous net >=control +2%, same PF/DD/97% efficiency floors. Confirmed behavior change required. No post-result rescue."
"9","rvpr_close75","3","close_neighbor_low","reversion_partial_runner_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","75","2.00","0.50","0.45","0.25","0.15","0.15","0.15","0.75","rvpr_close75_continuous_2015_2020_m1","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\009_rvpr_close75_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\009_rvpr_close75_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_close75_continuous_2015_2020_m1","FC6508B40CA4250F706408A667EE0FF0261E88C8B60C6F4164F59D2E51514EB9","61E7532A7E3A745BEFD6764ABFA8514510BB53E11E9916EB3AE17E47DC1DB3D2","614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719","Frozen pre-2021 discovery. Both eras profitable and no more than 2% below same-era control. Center continuous net >= control +4%; CAGR >= control +0.06 point; PF >= control; DD <= min(1.20%, control +0.10 point); recovery and return/DD >=97% control. At least 4 of 6 neighbors pass both eras, continuous net >=control +2%, same PF/DD/97% efficiency floors. Confirmed behavior change required. No post-result rescue."
"10","rvpr_close85","4","close_neighbor_high","reversion_partial_runner_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","85","2.00","0.50","0.45","0.25","0.15","0.15","0.15","0.75","rvpr_close85_older_2015_2018_m1","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\010_rvpr_close85_older_2015_2018_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\010_rvpr_close85_older_2015_2018_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_close85_older_2015_2018_m1","040DD87D418F45325778C1156731BE0C846F9ACC85BE942093208D994A759C74","2541363B483356C03A34808E69A2B16591F4C30CD46CE35D012EE2F19FDA9844","614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719","Frozen pre-2021 discovery. Both eras profitable and no more than 2% below same-era control. Center continuous net >= control +4%; CAGR >= control +0.06 point; PF >= control; DD <= min(1.20%, control +0.10 point); recovery and return/DD >=97% control. At least 4 of 6 neighbors pass both eras, continuous net >=control +2%, same PF/DD/97% efficiency floors. Confirmed behavior change required. No post-result rescue."
"11","rvpr_close85","4","close_neighbor_high","reversion_partial_runner_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","true","85","2.00","0.50","0.45","0.25","0.15","0.15","0.15","0.75","rvpr_close85_later_2019_2020_m1","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\011_rvpr_close85_later_2019_2020_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\011_rvpr_close85_later_2019_2020_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_close85_later_2019_2020_m1","92A076C00AD15E6F37E132F4D65119107EDCF6644F62EA13ED2C33A94907B768","2541363B483356C03A34808E69A2B16591F4C30CD46CE35D012EE2F19FDA9844","614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719","Frozen pre-2021 discovery. Both eras profitable and no more than 2% below same-era control. Center continuous net >= control +4%; CAGR >= control +0.06 point; PF >= control; DD <= min(1.20%, control +0.10 point); recovery and return/DD >=97% control. At least 4 of 6 neighbors pass both eras, continuous net >=control +2%, same PF/DD/97% efficiency floors. Confirmed behavior change required. No post-result rescue."
"12","rvpr_close85","4","close_neighbor_high","reversion_partial_runner_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","85","2.00","0.50","0.45","0.25","0.15","0.15","0.15","0.75","rvpr_close85_continuous_2015_2020_m1","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\012_rvpr_close85_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\configs\012_rvpr_close85_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_partial_runner_discovery_model1_package\reports_here\rvpr_close85_continuous_2015_2020_m1","995106B64D7F4AF2A1301E2FA95A55F30D8F89AC6D80690C50D1AB32F3BD52F8","2541363B483356C03A34808E69A2B16591F4C30CD46CE35D012EE2F19FDA9844","614DCF5B0C55DF25DABDCF903C3193A0CE248AA2671788A400B5C39A4209F719","Frozen pre-2021 discovery. Both eras profitable and no more than 2% below same-era control. Center continuous net >= control +4%; CAGR >= control +0.06 point; PF >= control; DD <= min(1.20%, control +0.10 point); recovery and return/DD >=97% control. At least 4 of 6 neighbors pass both eras, continuous net >=control +2%, same PF/DD/97% efficiency floors. Confirmed behavior change required. No post-result rescue."
