"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","PullbackEMAPeriod","PullbackLookbackBars","MinimumADX","TakeProfitR","UseSignalVolumeFilter","StopRule"
"11","m15tpb_pb2","4","independent_m15_trend_pullback","1","discovery_model1","m15tpb_pb2.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_m15tpb_pb2_discovery_2019_2020_m1.ini","m15tpb_pb2_discovery_2019_2020_m1","profiles\m15tpb_pb2.set","8AAD820D5DCDAD41C944BC35546D0B1BC0D09AE960705611F294EA0545A7D8F6","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","2","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"12","m15tpb_pb2","4","independent_m15_trend_pullback","1","discovery_model1","m15tpb_pb2.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_m15tpb_pb2_continuous_2015_2020_m1.ini","m15tpb_pb2_continuous_2015_2020_m1","profiles\m15tpb_pb2.set","8AAD820D5DCDAD41C944BC35546D0B1BC0D09AE960705611F294EA0545A7D8F6","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","2","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"13","m15tpb_pb4","5","independent_m15_trend_pullback","1","discovery_model1","m15tpb_pb4.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_m15tpb_pb4_older_2015_2018_m1.ini","m15tpb_pb4_older_2015_2018_m1","profiles\m15tpb_pb4.set","1F6D095C77E357F6774814324A19E174DE29EC1F41B4835AC32178331C73EA97","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","4","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"14","m15tpb_pb4","5","independent_m15_trend_pullback","1","discovery_model1","m15tpb_pb4.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_m15tpb_pb4_discovery_2019_2020_m1.ini","m15tpb_pb4_discovery_2019_2020_m1","profiles\m15tpb_pb4.set","1F6D095C77E357F6774814324A19E174DE29EC1F41B4835AC32178331C73EA97","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","4","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"15","m15tpb_pb4","5","independent_m15_trend_pullback","1","discovery_model1","m15tpb_pb4.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_m15tpb_pb4_continuous_2015_2020_m1.ini","m15tpb_pb4_continuous_2015_2020_m1","profiles\m15tpb_pb4.set","1F6D095C77E357F6774814324A19E174DE29EC1F41B4835AC32178331C73EA97","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","4","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"16","m15tpb_adx14","6","independent_m15_trend_pullback","1","discovery_model1","m15tpb_adx14.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_m15tpb_adx14_older_2015_2018_m1.ini","m15tpb_adx14_older_2015_2018_m1","profiles\m15tpb_adx14.set","4329F48015B60EC7609D233DF00DB15C94F69EB1E56D9E829EC8E8FB04F1DC84","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","3","14.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"17","m15tpb_adx14","6","independent_m15_trend_pullback","1","discovery_model1","m15tpb_adx14.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_m15tpb_adx14_discovery_2019_2020_m1.ini","m15tpb_adx14_discovery_2019_2020_m1","profiles\m15tpb_adx14.set","4329F48015B60EC7609D233DF00DB15C94F69EB1E56D9E829EC8E8FB04F1DC84","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","3","14.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"18","m15tpb_adx14","6","independent_m15_trend_pullback","1","discovery_model1","m15tpb_adx14.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_m15tpb_adx14_continuous_2015_2020_m1.ini","m15tpb_adx14_continuous_2015_2020_m1","profiles\m15tpb_adx14.set","4329F48015B60EC7609D233DF00DB15C94F69EB1E56D9E829EC8E8FB04F1DC84","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","3","14.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"19","m15tpb_adx22","7","independent_m15_trend_pullback","1","discovery_model1","m15tpb_adx22.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_m15tpb_adx22_older_2015_2018_m1.ini","m15tpb_adx22_older_2015_2018_m1","profiles\m15tpb_adx22.set","D646F3A586F8B5FF321220A9EF7DEB2F8FF07A64D742946D20B3A5F671BEDB05","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","3","22.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"20","m15tpb_adx22","7","independent_m15_trend_pullback","1","discovery_model1","m15tpb_adx22.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_m15tpb_adx22_discovery_2019_2020_m1.ini","m15tpb_adx22_discovery_2019_2020_m1","profiles\m15tpb_adx22.set","D646F3A586F8B5FF321220A9EF7DEB2F8FF07A64D742946D20B3A5F671BEDB05","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","3","22.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
