"Metric","Value"
"OriginalInputCount","1802"
"KeptInputCount","355"
"ConvertedToGlobals","1447"
"OutSourcePath",".\outputs\Professional_XAUUSD_EA_LOWATR_EXIT_SWEEP_COMPACT.mq5"
