"Rank","Priority","Profile","Phase","Set","Window","From","To","Status","NetProfit","Balance","LogTimestamp","RunnerStatus","Evidence"
"1","","stable","full","full","2024_to_2026","2024.01.01","2026.07.02","PARSED_FROM_LOG","1277.57","2277.57","2026-07-10T11:34:32","NO_REPORT","Tester finished but no report file was found for liquidity_stop_conflict_march_shortlist_stable_2024_to_2026."
"2","","stable","recent","recent","2026_ytd","2026.01.01","2026.07.02","PARSED_FROM_LOG","158.91","1158.91","2026-07-10T11:35:18","NO_REPORT","Tester finished but no report file was found for liquidity_stop_conflict_march_shortlist_stable_2026_ytd."
"3","","stable","oos","oos","2025_full","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.3","1214.3","2026-07-10T11:35:43","NO_REPORT","Tester finished but no report file was found for liquidity_stop_conflict_march_shortlist_stable_2025_full."
"4","","stable","train","train","2024_full","2024.01.01","2024.12.31","PARSED_FROM_LOG","1277.57","2277.57","2026-07-10T11:36:08","NO_REPORT","Tester finished but no report file was found for liquidity_stop_conflict_march_shortlist_stable_2024_full."
"5","","stable","target","target","2026_03","2026.03.01","2026.03.31","PARSED_FROM_LOG","158.91","1158.91","2026-07-10T11:36:25","NO_REPORT","Tester finished but no report file was found for liquidity_stop_conflict_march_shortlist_stable_2026_03."
"6","","stable","target","target","2026_05","2026.05.01","2026.05.31","PARSED_FROM_LOG","364.01","1364.01","2026-07-10T11:36:40","NO_REPORT","Tester finished but no report file was found for liquidity_stop_conflict_march_shortlist_stable_2026_05."
"7","","stable","guard","guard","2026_06","2026.06.01","2026.06.30","PARSED_FROM_LOG","0","1000","2026-07-10T11:36:56","NO_REPORT","Tester finished but no report file was found for liquidity_stop_conflict_march_shortlist_stable_2026_06."
"8","","conflict_march_only","full","full","2024_to_2026","2024.01.01","2026.07.02","PARSED_FROM_LOG","1277.57","2277.57","2026-07-10T11:38:14","NO_REPORT","Tester finished but no report file was found for liquidity_stop_conflict_march_shortlist_conflict_march_only_2024_to_2026."
"9","","conflict_march_only","recent","recent","2026_ytd","2026.01.01","2026.07.02","PARSED_FROM_LOG","893.69","1893.69","2026-07-10T11:38:58","NO_REPORT","Tester finished but no report file was found for liquidity_stop_conflict_march_shortlist_conflict_march_only_2026_ytd."
"10","","conflict_march_only","oos","oos","2025_full","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.3","1214.3","2026-07-10T11:39:24","NO_REPORT","Tester finished but no report file was found for liquidity_stop_conflict_march_shortlist_conflict_march_only_2025_full."
"11","","conflict_march_only","train","train","2024_full","2024.01.01","2024.12.31","PARSED_FROM_LOG","1277.57","2277.57","2026-07-10T11:39:52","NO_REPORT","Tester finished but no report file was found for liquidity_stop_conflict_march_shortlist_conflict_march_only_2024_full."
"12","","conflict_march_only","target","target","2026_03","2026.03.01","2026.03.31","PARSED_FROM_LOG","893.69","1893.69","2026-07-10T11:40:08","NO_REPORT","Tester finished but no report file was found for liquidity_stop_conflict_march_shortlist_conflict_march_only_2026_03."
"13","","conflict_march_only","target","target","2026_05","2026.05.01","2026.05.31","PARSED_FROM_LOG","364.01","1364.01","2026-07-10T11:40:23","NO_REPORT","Tester finished but no report file was found for liquidity_stop_conflict_march_shortlist_conflict_march_only_2026_05."
"14","","conflict_march_only","guard","guard","2026_06","2026.06.01","2026.06.30","PARSED_FROM_LOG","0","1000","2026-07-10T11:40:39","NO_REPORT","Tester finished but no report file was found for liquidity_stop_conflict_march_shortlist_conflict_march_only_2026_06."
