"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","BoxLookbackBars","MaximumBreakoutAgeBars","MinimumBoxRangeATR","MaximumBoxRangeATR","BreakRangeATR","ReclaimDepthRatio","BreakVolume","ReclaimVolume","MaximumADX","BoxOppositeTarget","MinimumTargetR","TakeProfitR","StopRule"
"1","m5fbt_b14_struct_r075","1","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b14_struct_r075.set","older_2015_2017","2015.01.01","2017.12.31","1","10000","configs\001_m5fbt_b14_struct_r075_older_2015_2017_m1.ini","m5fbt_b14_struct_r075_older_2015_2017_m1","profiles\m5fbt_b14_struct_r075.set","35BB5FE62A5844328BE3CE6CBBFA3613D7F8FDF4A5203774CF165C44BD2A2B83","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","14","4","0.80","2.50","0.45","0.15","false","false","26.0","true","0.75","1.50","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"2","m5fbt_b14_struct_r075","1","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b14_struct_r075.set","discovery_2018_2020","2018.01.01","2020.12.31","1","10000","configs\002_m5fbt_b14_struct_r075_discovery_2018_2020_m1.ini","m5fbt_b14_struct_r075_discovery_2018_2020_m1","profiles\m5fbt_b14_struct_r075.set","35BB5FE62A5844328BE3CE6CBBFA3613D7F8FDF4A5203774CF165C44BD2A2B83","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","14","4","0.80","2.50","0.45","0.15","false","false","26.0","true","0.75","1.50","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"3","m5fbt_b16_struct_r075","2","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b16_struct_r075.set","older_2015_2017","2015.01.01","2017.12.31","1","10000","configs\003_m5fbt_b16_struct_r075_older_2015_2017_m1.ini","m5fbt_b16_struct_r075_older_2015_2017_m1","profiles\m5fbt_b16_struct_r075.set","9511177A10CADE8237359FE8EC86529C1C3F94EB24A92C4C8C2CC0078C487573","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","16","4","0.80","2.50","0.45","0.15","false","false","26.0","true","0.75","1.50","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"4","m5fbt_b16_struct_r075","2","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b16_struct_r075.set","discovery_2018_2020","2018.01.01","2020.12.31","1","10000","configs\004_m5fbt_b16_struct_r075_discovery_2018_2020_m1.ini","m5fbt_b16_struct_r075_discovery_2018_2020_m1","profiles\m5fbt_b16_struct_r075.set","9511177A10CADE8237359FE8EC86529C1C3F94EB24A92C4C8C2CC0078C487573","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","16","4","0.80","2.50","0.45","0.15","false","false","26.0","true","0.75","1.50","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"5","m5fbt_b18_struct_r075","3","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b18_struct_r075.set","older_2015_2017","2015.01.01","2017.12.31","1","10000","configs\005_m5fbt_b18_struct_r075_older_2015_2017_m1.ini","m5fbt_b18_struct_r075_older_2015_2017_m1","profiles\m5fbt_b18_struct_r075.set","B1CB82F5ACC0B5D024FD6DE722BCEDCD4CCE352FB7BBB336EE87EC6D46829568","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","18","4","0.80","2.50","0.45","0.15","false","false","26.0","true","0.75","1.50","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"6","m5fbt_b18_struct_r075","3","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b18_struct_r075.set","discovery_2018_2020","2018.01.01","2020.12.31","1","10000","configs\006_m5fbt_b18_struct_r075_discovery_2018_2020_m1.ini","m5fbt_b18_struct_r075_discovery_2018_2020_m1","profiles\m5fbt_b18_struct_r075.set","B1CB82F5ACC0B5D024FD6DE722BCEDCD4CCE352FB7BBB336EE87EC6D46829568","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","18","4","0.80","2.50","0.45","0.15","false","false","26.0","true","0.75","1.50","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"7","m5fbt_b14_fixed_r125","4","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b14_fixed_r125.set","older_2015_2017","2015.01.01","2017.12.31","1","10000","configs\007_m5fbt_b14_fixed_r125_older_2015_2017_m1.ini","m5fbt_b14_fixed_r125_older_2015_2017_m1","profiles\m5fbt_b14_fixed_r125.set","13C8972140B59DB9E94941F0222042A48E3863F0B82C803956A2CDB30F67C594","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","14","4","0.80","2.50","0.45","0.15","false","false","26.0","false","1.00","1.25","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"8","m5fbt_b14_fixed_r125","4","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b14_fixed_r125.set","discovery_2018_2020","2018.01.01","2020.12.31","1","10000","configs\008_m5fbt_b14_fixed_r125_discovery_2018_2020_m1.ini","m5fbt_b14_fixed_r125_discovery_2018_2020_m1","profiles\m5fbt_b14_fixed_r125.set","13C8972140B59DB9E94941F0222042A48E3863F0B82C803956A2CDB30F67C594","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","14","4","0.80","2.50","0.45","0.15","false","false","26.0","false","1.00","1.25","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"9","m5fbt_b14_fixed_r150","5","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b14_fixed_r150.set","older_2015_2017","2015.01.01","2017.12.31","1","10000","configs\009_m5fbt_b14_fixed_r150_older_2015_2017_m1.ini","m5fbt_b14_fixed_r150_older_2015_2017_m1","profiles\m5fbt_b14_fixed_r150.set","D6B63A8CC13E4B5A65F6F3CEB79A3E7B9A08ADD6ED89B1F626E70CFE3A8A2259","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","14","4","0.80","2.50","0.45","0.15","false","false","26.0","false","1.00","1.50","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"10","m5fbt_b14_fixed_r150","5","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b14_fixed_r150.set","discovery_2018_2020","2018.01.01","2020.12.31","1","10000","configs\010_m5fbt_b14_fixed_r150_discovery_2018_2020_m1.ini","m5fbt_b14_fixed_r150_discovery_2018_2020_m1","profiles\m5fbt_b14_fixed_r150.set","D6B63A8CC13E4B5A65F6F3CEB79A3E7B9A08ADD6ED89B1F626E70CFE3A8A2259","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","14","4","0.80","2.50","0.45","0.15","false","false","26.0","false","1.00","1.50","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
