"Candidate","OlderNetProfit","OlderProfitFactor","OlderTrades","LaterNetProfit","LaterProfitFactor","LaterTrades","ContinuousNetProfit","ContinuousCagrPercent","ContinuousProfitFactor","ContinuousTrades","ContinuousMaxDrawdownPercent","NumericPass","AdjacentPass","PassingNeighbors","Decision"
"ods2_buffer02","-136.66","0.78","121","41.47","1.21","48","-100.56","-0.17","0.88","169","2.33","False","False","","REJECT_BEFORE_HOLDOUT"
"ods2_buffer08","38.22","1.07","125","20.15","1.11","44","58.37","0.1","1.08","169","1.28","False","False","","REJECT_BEFORE_HOLDOUT"
"ods2_center","16.16","1.03","123","13.31","1.07","48","34.47","0.06","1.04","171","1.63","False","False","","REJECT_BEFORE_HOLDOUT"
"ods2_entry8","60.36","1.11","122","63.13","1.33","51","136.89","0.23","1.19","174","0.77","False","False","","REJECT_BEFORE_HOLDOUT"
"ods2_lookback3","-80.76","0.87","123","23.51","1.12","49","-56.15","-0.09","0.93","172","1.64","False","False","","REJECT_BEFORE_HOLDOUT"
"ods2_lookback6","102.56","1.19","124","9.25","1.05","46","114.17","0.19","1.15","170","1.02","False","False","","REJECT_BEFORE_HOLDOUT"
"ods2_maxstop25","22.28","1.04","122","13.31","1.07","48","39.34","0.07","1.05","170","1.57","False","False","","REJECT_BEFORE_HOLDOUT"
"ods2_maxstop45","16.16","1.03","123","13.31","1.07","48","34.47","0.06","1.04","171","1.63","False","False","","REJECT_BEFORE_HOLDOUT"
"ods2_minstop03","16.16","1.03","123","13.31","1.07","48","34.47","0.06","1.04","171","1.63","False","False","","REJECT_BEFORE_HOLDOUT"
"ods2_minstop08","16.16","1.03","123","11.91","1.06","48","33.07","0.06","1.04","171","1.63","False","False","","REJECT_BEFORE_HOLDOUT"
"ods2_signal25","-6.3","0.99","131","9.77","1.04","54","-1.53","0","1","185","1.64","False","False","","REJECT_BEFORE_HOLDOUT"
"ods2_tp125","-40.08","0.93","123","11.04","1.06","48","-29.04","-0.05","0.96","171","1.69","False","False","","REJECT_BEFORE_HOLDOUT"
"ods2_tp175","14.13","1.02","123","30.55","1.16","48","50.51","0.08","1.06","171","1.61","False","False","","REJECT_BEFORE_HOLDOUT"
