"Profile","Parsed","Expected","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows"
"block_r115","7","7","1759.56","806.46","98.84","153.9","806.46","-106.1","-106.1","1"
"base_r115","7","7","1565.88","806.46","98.84","153.9","806.46","-299.78","-108.6","3"
"block_r100","7","7","1728.03","801.84","84.72","124.51","801.84","-84.88","-84.88","1"
"base_r100","7","7","1557.58","801.84","84.72","124.51","801.84","-255.33","-99.55","3"
"block_mfe_r125","7","7","1469.14","660.82","112.96","140.64","660.82","-106.1","-106.1","1"
"mfe_r125","7","7","1259.32","660.82","112.96","140.64","660.82","-315.92","-117.65","3"
"block_r125","7","7","1361.88","607.19","112.96","140.64","607.19","-106.1","-106.1","1"
"base_r125","7","7","1152.06","607.19","112.96","140.64","607.19","-315.92","-117.65","3"
"block_r150","7","7","680.28","262.45","124.36","179.56","262.45","-148.54","-148.54","1"
"base_r150","7","7","429.13","262.45","124.36","179.56","262.45","-399.69","-148.54","3"
