"Metric","Value"
"OriginalInputCount","1802"
"KeptInputCount","368"
"ConvertedToGlobals","1434"
"OutSourcePath",".\outputs\Professional_XAUUSD_EA_PEAK_R20_DRAWDOWN_COMPACT.mq5"
