"QueueRank","Candidate","SourceType","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","SourceSha256","StopRule","Rationale"
"1","dgf_hp_control","dgf_highprofit_risk_shape","continuous_model4","dgf_hp_control.set","continuous_2019_2026","2019.01.01","2026.07.12","4","configs\001_dgf_hp_control_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_control_continuous_2019_2026_m4","profiles\dgf_hp_control.set","C8B25273CC6A42F433F38C1DB78A65A454E6890EBC91379F09885C5DBE5AB207","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","8D62D907EBF8295DAA44F85DECD0C86690CF4D9A3FE6B858DFD9223E7CF8DF7A","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze.","Current high-profit DGF continuous lead control."
"2","dgf_hp_risk050","dgf_highprofit_risk_shape","continuous_model4","dgf_hp_risk050.set","continuous_2019_2026","2019.01.01","2026.07.12","4","configs\002_dgf_hp_risk050_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_risk050_continuous_2019_2026_m4","profiles\dgf_hp_risk050.set","819D56A5C404F2470348A51911C257DAF314D59AD7C95A92B202F6909DA83D6A","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","8D62D907EBF8295DAA44F85DECD0C86690CF4D9A3FE6B858DFD9223E7CF8DF7A","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze.","Scale base risk from 1.00% to 0.50%."
"3","dgf_hp_risk060","dgf_highprofit_risk_shape","continuous_model4","dgf_hp_risk060.set","continuous_2019_2026","2019.01.01","2026.07.12","4","configs\003_dgf_hp_risk060_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_risk060_continuous_2019_2026_m4","profiles\dgf_hp_risk060.set","554611B7A8F8FC35530942D3014F78BFA2F8497A0A7425CA216346F00534C21E","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","8D62D907EBF8295DAA44F85DECD0C86690CF4D9A3FE6B858DFD9223E7CF8DF7A","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze.","Scale base risk from 1.00% to 0.60%."
"4","dgf_hp_risk070","dgf_highprofit_risk_shape","continuous_model4","dgf_hp_risk070.set","continuous_2019_2026","2019.01.01","2026.07.12","4","configs\004_dgf_hp_risk070_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_risk070_continuous_2019_2026_m4","profiles\dgf_hp_risk070.set","039297AAAE7929B73AFB73E9C03A714B9D2AF76D558EA3EF6391703437D8012A","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","8D62D907EBF8295DAA44F85DECD0C86690CF4D9A3FE6B858DFD9223E7CF8DF7A","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze.","Scale base risk from 1.00% to 0.70%."
"5","dgf_hp_risk080","dgf_highprofit_risk_shape","continuous_model4","dgf_hp_risk080.set","continuous_2019_2026","2019.01.01","2026.07.12","4","configs\005_dgf_hp_risk080_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_risk080_continuous_2019_2026_m4","profiles\dgf_hp_risk080.set","FC64C9F6D9946090E574A368EE97D0D48923829DF8CC11B453EE702B7BA9CF25","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","8D62D907EBF8295DAA44F85DECD0C86690CF4D9A3FE6B858DFD9223E7CF8DF7A","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze.","Scale base risk from 1.00% to 0.80%."
"6","dgf_hp_risk060_loss_scale","dgf_highprofit_risk_shape","continuous_model4","dgf_hp_risk060_loss_scale.set","continuous_2019_2026","2019.01.01","2026.07.12","4","configs\006_dgf_hp_risk060_loss_scale_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_risk060_loss_scale_continuous_2019_2026_m4","profiles\dgf_hp_risk060_loss_scale.set","9BA20D63588B4FF4DCEFB5FD93756C151AAF35A82CC001A1546A66E92B17FA6F","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","8D62D907EBF8295DAA44F85DECD0C86690CF4D9A3FE6B858DFD9223E7CF8DF7A","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze.","0.60% base risk plus daily/weekly/monthly loss-risk scaling."
"7","dgf_hp_risk080_loss_scale","dgf_highprofit_risk_shape","continuous_model4","dgf_hp_risk080_loss_scale.set","continuous_2019_2026","2019.01.01","2026.07.12","4","configs\007_dgf_hp_risk080_loss_scale_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_risk080_loss_scale_continuous_2019_2026_m4","profiles\dgf_hp_risk080_loss_scale.set","9DF4723EA6B1C4CFE3B3A8027345120B58845025ECB6F0EB3D8067FA22CE402B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","8D62D907EBF8295DAA44F85DECD0C86690CF4D9A3FE6B858DFD9223E7CF8DF7A","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze.","0.80% base risk plus daily/weekly/monthly loss-risk scaling."
"8","dgf_hp_risk080_dd12","dgf_highprofit_risk_shape","continuous_model4","dgf_hp_risk080_dd12.set","continuous_2019_2026","2019.01.01","2026.07.12","4","configs\008_dgf_hp_risk080_dd12_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_risk080_dd12_continuous_2019_2026_m4","profiles\dgf_hp_risk080_dd12.set","9D4CA569D5C6F2BC851E555EA0D33502958A51831CDD4F53A80C6A19AA58869B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","8D62D907EBF8295DAA44F85DECD0C86690CF4D9A3FE6B858DFD9223E7CF8DF7A","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze.","0.80% base risk plus 12% max-equity-drawdown safety cap."
"9","dgf_hp_peaktrail_20p70gb","dgf_highprofit_risk_shape","continuous_model4","dgf_hp_peaktrail_20p70gb.set","continuous_2019_2026","2019.01.01","2026.07.12","4","configs\009_dgf_hp_peaktrail_20p70gb_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_peaktrail_20p70gb_continuous_2019_2026_m4","profiles\dgf_hp_peaktrail_20p70gb.set","2FDD1D7E0191987BE66DD7050B4BBC94DDEAF9835E232354957B58B5DFD553FB","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","8D62D907EBF8295DAA44F85DECD0C86690CF4D9A3FE6B858DFD9223E7CF8DF7A","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze.","Late profit lock after 20% gain with 70% peak-profit giveback."
"10","dgf_hp_peaktrail_35p70gb","dgf_highprofit_risk_shape","continuous_model4","dgf_hp_peaktrail_35p70gb.set","continuous_2019_2026","2019.01.01","2026.07.12","4","configs\010_dgf_hp_peaktrail_35p70gb_continuous_2019_2026_m4.ini","dgf_hp_risk_shape_dgf_hp_peaktrail_35p70gb_continuous_2019_2026_m4","profiles\dgf_hp_peaktrail_35p70gb.set","28CE2706FBA9E2014E0CD5130BD3BFDAB3122DE98E23DD1131A4183D647FB30F","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","8D62D907EBF8295DAA44F85DECD0C86690CF4D9A3FE6B858DFD9223E7CF8DF7A","Reject if net/DD efficiency weakens, if drawdown remains above trade-ready range, or if profit comes from an early global freeze.","Later profit lock after 35% gain with 70% peak-profit giveback."
