"Profile","Parsed","Expected","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows"
"mfe_lock_balanced","17","17","13075.49","6633.61","720.23","214.3","2406.27","","0","0"
"mfe_lock_loose_runner","17","17","12846.58","6456.57","706.23","214.3","2390.2","","0","0"
"partial_runner_lock","17","17","12560.21","6384.35","838.19","236.3","2071.74","","0","0"
"base","17","17","13377.92","6222.35","1107.93","214.3","2390.2","","0","0"
"runner_tp_quality","17","17","13377.92","6222.35","1107.93","214.3","2390.2","","0","0"
"tp_stretch_mfe_lock","17","17","3501.12","378.18","621.58","413.61","378.18","","-217.6","1"
