QueueRank,Candidate,Role,Window,From,To,NetProfit,TotalReturnPercent,CagrPercent,ProfitFactor,TotalTrades,MaxDrawdownPercent,RecoveryFactor,ReturnDrawdown,SourceSha256,BinarySha256,ProfileSha256,ConfigSha256,ReportSha256
11,jsa_center_r065,center,later_2019_2020,2019.01.01,2020.12.31,354.69,3.55,1.76,1.86,75,0.93,3.7474,3.8172,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,EE54CAC7D5A3169B136A5266E38A9354149DE6E7D184F36163711847E964647E,4AB3EE2DF44D0127A458A00DC039C4AA154189571014402F14AE98092115871E,52763E3A6260871F569F2B54A75E291AAAC1BEBACDA4D1D273F2F2A74F01847E
12,jsa_center_r065,center,continuous_2015_2020,2015.01.01,2020.12.31,1327.11,13.27,2.1,1.83,265,1.06,11.2305,12.5189,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,EE54CAC7D5A3169B136A5266E38A9354149DE6E7D184F36163711847E964647E,98494A90F701769A5EF3B252EF6B23517894B24F929ED25C9FE7439906F4C773,E7052B6A89353EEA71BE8D017C34CA789E51567A8B92A91B129A5C94BADDFF0F
13,jsa_r070,risk_upper_neighbor,older_2015_2018,2015.01.01,2018.12.31,986.83,9.87,2.38,1.88,187,1.11,8.4193,8.8919,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,16BB22F4E2837ED1B765FEEA0CC350C6420F96443E1688B6947074A5FCA2CAC4,8B8D39096389927662A62748CAEC21AAE124888DCFF99104C8AF383C24759F21,3FC8F3EF0D04F8C32BA7C7E725D9951934AA6A11DBD01156BBDADDBBE75139AA
14,jsa_r070,risk_upper_neighbor,later_2019_2020,2019.01.01,2020.12.31,354.69,3.55,1.76,1.86,75,0.93,3.7474,3.8172,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,16BB22F4E2837ED1B765FEEA0CC350C6420F96443E1688B6947074A5FCA2CAC4,2C89B19158F4B5CE05AE3C4F53281565D88743088AF003326299956E13E41641,CD5FEE111CA9635DD29F00E223C959666797E44188DB063F7F71CE2F93A5390D
15,jsa_r070,risk_upper_neighbor,continuous_2015_2020,2015.01.01,2020.12.31,1327.11,13.27,2.1,1.83,265,1.06,11.2305,12.5189,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,16BB22F4E2837ED1B765FEEA0CC350C6420F96443E1688B6947074A5FCA2CAC4,809C13B9013D084817B01E6E055E8931DAEB135F545453BD9D72E4D1C80E8A3D,FF1B81B515AB88A67C1B3DF711FC27BE849AAE50532DE3B2A176C79F373322F4
16,jsa_body0225,body_lower_neighbor,older_2015_2018,2015.01.01,2018.12.31,1029.61,10.3,2.48,1.92,187,1.21,8.0747,8.5124,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,927116F0E2C00A47CE0AC91A9ABFCC0ACED170A5A131596E13BB78A859B090B3,4F8D70032F694ABD249818A9BDA58AE72890C8E98C6779388A53D8BA3D76BBF3,9969B21145242F825ED109A4CF1B404E6A08501F4225FDA90794E860C19A37BE
17,jsa_body0225,body_lower_neighbor,later_2019_2020,2019.01.01,2020.12.31,354.69,3.55,1.76,1.86,75,0.93,3.7474,3.8172,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,927116F0E2C00A47CE0AC91A9ABFCC0ACED170A5A131596E13BB78A859B090B3,5E1E5F038B98A6F19593D5229AD26D7F715123B0EA31DC57E26546ECC82BF074,BDB82AD482F3F2145BCB3A44D0B58CB901E08346EC6F6BBF47D741078000A9A4
18,jsa_body0225,body_lower_neighbor,continuous_2015_2020,2015.01.01,2020.12.31,1369.84,13.7,2.16,1.85,265,1.21,10.743,11.3223,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,927116F0E2C00A47CE0AC91A9ABFCC0ACED170A5A131596E13BB78A859B090B3,316CAFD03A839033154389DEF14E7C4D3BD5CBE34ABBF6D6953D79F73CCD3235,5474FE8B98AD4EF0390561954906B7662C3DFB5C2E8EA9AE36735E543981AB46
19,jsa_body0275,body_upper_neighbor,older_2015_2018,2015.01.01,2018.12.31,986.83,9.87,2.38,1.88,187,1.11,8.4193,8.8919,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,1E6E8AACC314DC3BC02C04404E9ACED7D1BD48385366FAE7FBC083215D7237CB,F67B0A219D58688B48AA0E1822FAE269CE93490B02C5B28161AF1D6418B50DD6,4959CA58EA34CF425C0626D5C64870CDB73D818FBAE8524BE4A1DE31AEDC4E07
20,jsa_body0275,body_upper_neighbor,later_2019_2020,2019.01.01,2020.12.31,330.02,3.3,1.64,1.84,75,0.93,3.4867,3.5484,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,1E6E8AACC314DC3BC02C04404E9ACED7D1BD48385366FAE7FBC083215D7237CB,8294CB42B7A6307B68530805237845333E728826E2DAABDADCE007362F9CD45C,192E739F140E879D6596F7A442FDBBAE3647192C91CEB96285F4316CEF1C7CE8
21,jsa_body0275,body_upper_neighbor,continuous_2015_2020,2015.01.01,2020.12.31,1302.44,13.02,2.06,1.82,265,1.06,11.0217,12.283,C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91,21DDE8A2C1E04CB1D26C76E791A1EA1F0F26167667F19479F29A98BAE1D905A4,1E6E8AACC314DC3BC02C04404E9ACED7D1BD48385366FAE7FBC083215D7237CB,F8E73DB935647DC7BD200AB851E4A62D29352A7999ED435F8EC449813870765F,6D2934348A0B30D521EA5BD2731C339C701DE4A54A0FB917FACC0FF08CFB021D
