"QueueRank","Profile","Candidate","Phase","Set","Window","From","To","Model","Deposit","RiskScale","RVRiskPercent","MORiskPercent","ATBRiskPercent","PortfolioOpenRiskPercent","PackageConfig","ExpectedReportName","ReportDestination","ConfigSha256","SourceSha256","ProfileSha256"
"1","tlat_rc2_growth_100","tlat_rc2_growth_100","growth","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","1","10000","1.00","0.45","0.15","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_model1_package\configs\001_tlat_rc2_growth_100_older_2015_2018_m1.ini","tlat_rc2_growth_100_older_2015_2018_m1","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_100_older_2015_2018_m1","12F9162383D716193221A280E256468645582C0D26AD505859CC48435781F169","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","BF4A6E4384A45AF53941CBBD46D4CFD806CFC993D7121224079867E0D029581B"
"2","tlat_rc2_growth_100","tlat_rc2_growth_100","growth","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","1","10000","1.00","0.45","0.15","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_model1_package\configs\002_tlat_rc2_growth_100_middle_2019_2022_m1.ini","tlat_rc2_growth_100_middle_2019_2022_m1","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_100_middle_2019_2022_m1","81CDCF8389F8D82E9AEDD9B12DD902381927C413837670B123329A76E6BB4AF0","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","BF4A6E4384A45AF53941CBBD46D4CFD806CFC993D7121224079867E0D029581B"
"3","tlat_rc2_growth_100","tlat_rc2_growth_100","growth","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","1","10000","1.00","0.45","0.15","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_model1_package\configs\003_tlat_rc2_growth_100_recent_2023_2026_m1.ini","tlat_rc2_growth_100_recent_2023_2026_m1","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_100_recent_2023_2026_m1","48B1D28FA60B80064FF6182CC64B8958C9CCA8FDC1FEAB77E950CF40A3236230","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","BF4A6E4384A45AF53941CBBD46D4CFD806CFC993D7121224079867E0D029581B"
"4","tlat_rc2_growth_100","tlat_rc2_growth_100","growth","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","1.00","0.45","0.15","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_model1_package\configs\004_tlat_rc2_growth_100_continuous_2015_2026_m1.ini","tlat_rc2_growth_100_continuous_2015_2026_m1","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_100_continuous_2015_2026_m1","D39C5ABA6944332328D75221BA955798C611C5A9EB3ABEB6CDC642E39DD31E84","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","BF4A6E4384A45AF53941CBBD46D4CFD806CFC993D7121224079867E0D029581B"
"5","tlat_rc2_growth_125","tlat_rc2_growth_125","growth","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","1","10000","1.25","0.5625","0.1875","0.125","0.9375","outputs\three_lane_trade_ready_rc2_growth_model1_package\configs\005_tlat_rc2_growth_125_older_2015_2018_m1.ini","tlat_rc2_growth_125_older_2015_2018_m1","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_125_older_2015_2018_m1","2D2E062017CE7FC80269520AD71E4F380F6F05708F70E8434637DCBEE3839329","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","8502A0D4FE736FFB5B219CCE20C2FD97AF4CB2EA4BFC2BA1FEC0788E18B4D32F"
"6","tlat_rc2_growth_125","tlat_rc2_growth_125","growth","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","1","10000","1.25","0.5625","0.1875","0.125","0.9375","outputs\three_lane_trade_ready_rc2_growth_model1_package\configs\006_tlat_rc2_growth_125_middle_2019_2022_m1.ini","tlat_rc2_growth_125_middle_2019_2022_m1","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_125_middle_2019_2022_m1","D7E6FA7795A98CC48453D917AEE4E4DE41C94C3B63E4CD8D975BF48BB9F7CD42","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","8502A0D4FE736FFB5B219CCE20C2FD97AF4CB2EA4BFC2BA1FEC0788E18B4D32F"
"7","tlat_rc2_growth_125","tlat_rc2_growth_125","growth","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","1","10000","1.25","0.5625","0.1875","0.125","0.9375","outputs\three_lane_trade_ready_rc2_growth_model1_package\configs\007_tlat_rc2_growth_125_recent_2023_2026_m1.ini","tlat_rc2_growth_125_recent_2023_2026_m1","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_125_recent_2023_2026_m1","E93FC42A9AF1185E671F926C8EEE271673A9A1EBBF12B5406B1F82E18E923892","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","8502A0D4FE736FFB5B219CCE20C2FD97AF4CB2EA4BFC2BA1FEC0788E18B4D32F"
"8","tlat_rc2_growth_125","tlat_rc2_growth_125","growth","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","1.25","0.5625","0.1875","0.125","0.9375","outputs\three_lane_trade_ready_rc2_growth_model1_package\configs\008_tlat_rc2_growth_125_continuous_2015_2026_m1.ini","tlat_rc2_growth_125_continuous_2015_2026_m1","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_125_continuous_2015_2026_m1","67CA5425989A2F7E894EBDF35BFF39BBD1154FB309418480A46D060A104E31A2","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","8502A0D4FE736FFB5B219CCE20C2FD97AF4CB2EA4BFC2BA1FEC0788E18B4D32F"
"9","tlat_rc2_growth_150","tlat_rc2_growth_150","growth","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","1","10000","1.50","0.675","0.225","0.15","1.125","outputs\three_lane_trade_ready_rc2_growth_model1_package\configs\009_tlat_rc2_growth_150_older_2015_2018_m1.ini","tlat_rc2_growth_150_older_2015_2018_m1","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_150_older_2015_2018_m1","C50B73382241929476D466088306FF442AEEFAC0F9694678938303965C2ACCE9","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","E8D89F15B22AD48ADD794F6F0FAAEAD5ACA9D429F2DE6FD695672E2C61EA3C26"
"10","tlat_rc2_growth_150","tlat_rc2_growth_150","growth","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","1","10000","1.50","0.675","0.225","0.15","1.125","outputs\three_lane_trade_ready_rc2_growth_model1_package\configs\010_tlat_rc2_growth_150_middle_2019_2022_m1.ini","tlat_rc2_growth_150_middle_2019_2022_m1","outputs\three_lane_trade_ready_rc2_growth_model1_package\reports_here\tlat_rc2_growth_150_middle_2019_2022_m1","5F8880CAF4F6F401870601863E6588FD29DC0C89110C651FE100000A9A8F04BC","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","E8D89F15B22AD48ADD794F6F0FAAEAD5ACA9D429F2DE6FD695672E2C61EA3C26"
