"QueueRank","Profile","Candidate","Phase","Set","Window","From","To","Model","Deposit","RiskScale","RVRiskPercent","MORiskPercent","ATBRiskPercent","PortfolioOpenRiskPercent","PackageConfig","ExpectedReportName","ReportDestination","ConfigSha256","SourceSha256","ProfileSha256"
"2","tlat_rc2_growth_125","tlat_rc2_growth_125","growthannual","trade_ready_rc2","year_2015","2015.01.01","2015.12.31","4","10000","1.25","0.5625","0.1875","0.125","0.9375","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\configs\001_tlat_rc2_growth_125_year_2015_m4.ini","tlat_rc2_growth_125_year_2015_m4","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2015_m4","73AEB3CD9743011E480E6D6E5C7EC1729EF7D9400B0A866E7F05A63E9449262B","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","90A6F38CF1001DE660627B4C05E37A2474656D4BA6E4D0056B6C31C638601613"
"4","tlat_rc2_growth_125","tlat_rc2_growth_125","growthannual","trade_ready_rc2","year_2016","2016.01.01","2016.12.31","4","10000","1.25","0.5625","0.1875","0.125","0.9375","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\configs\002_tlat_rc2_growth_125_year_2016_m4.ini","tlat_rc2_growth_125_year_2016_m4","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2016_m4","BEF9FBEBBF3B5F10C0AC9FCA27F34BE9FDF253ADF9936555D03D18314C599A17","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","90A6F38CF1001DE660627B4C05E37A2474656D4BA6E4D0056B6C31C638601613"
"6","tlat_rc2_growth_125","tlat_rc2_growth_125","growthannual","trade_ready_rc2","year_2017","2017.01.01","2017.12.31","4","10000","1.25","0.5625","0.1875","0.125","0.9375","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\configs\003_tlat_rc2_growth_125_year_2017_m4.ini","tlat_rc2_growth_125_year_2017_m4","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2017_m4","9F0F094C8F2C87419EEDF2440876A55890EA90140DD85E12EEFFCEA1F8E9AFA7","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","90A6F38CF1001DE660627B4C05E37A2474656D4BA6E4D0056B6C31C638601613"
"8","tlat_rc2_growth_125","tlat_rc2_growth_125","growthannual","trade_ready_rc2","year_2018","2018.01.01","2018.12.31","4","10000","1.25","0.5625","0.1875","0.125","0.9375","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\configs\004_tlat_rc2_growth_125_year_2018_m4.ini","tlat_rc2_growth_125_year_2018_m4","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2018_m4","8B5D545FA13177ED86A399C5D598DF7D1A4BC2FB5687323797CC5950CE9AB58A","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","90A6F38CF1001DE660627B4C05E37A2474656D4BA6E4D0056B6C31C638601613"
"10","tlat_rc2_growth_125","tlat_rc2_growth_125","growthannual","trade_ready_rc2","year_2019","2019.01.01","2019.12.31","4","10000","1.25","0.5625","0.1875","0.125","0.9375","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\configs\005_tlat_rc2_growth_125_year_2019_m4.ini","tlat_rc2_growth_125_year_2019_m4","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2019_m4","AD28CCF18481ADB035DCC730C9FC8447B2CC25AB02DCA5C34F9E8D61E301D88D","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","90A6F38CF1001DE660627B4C05E37A2474656D4BA6E4D0056B6C31C638601613"
"12","tlat_rc2_growth_125","tlat_rc2_growth_125","growthannual","trade_ready_rc2","year_2020","2020.01.01","2020.12.31","4","10000","1.25","0.5625","0.1875","0.125","0.9375","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\configs\006_tlat_rc2_growth_125_year_2020_m4.ini","tlat_rc2_growth_125_year_2020_m4","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2020_m4","00441F56B1DBA5819A3153388E4A926344AC1A03EBD92B3E219220868F1F8A59","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","90A6F38CF1001DE660627B4C05E37A2474656D4BA6E4D0056B6C31C638601613"
"14","tlat_rc2_growth_125","tlat_rc2_growth_125","growthannual","trade_ready_rc2","year_2021","2021.01.01","2021.12.31","4","10000","1.25","0.5625","0.1875","0.125","0.9375","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\configs\007_tlat_rc2_growth_125_year_2021_m4.ini","tlat_rc2_growth_125_year_2021_m4","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2021_m4","1CCC4EF627FFFBDB27C8861CD27E6BBF1F7BFCCC0543C29D2BC4AD7839745FC7","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","90A6F38CF1001DE660627B4C05E37A2474656D4BA6E4D0056B6C31C638601613"
"16","tlat_rc2_growth_125","tlat_rc2_growth_125","growthannual","trade_ready_rc2","year_2022","2022.01.01","2022.12.31","4","10000","1.25","0.5625","0.1875","0.125","0.9375","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\configs\008_tlat_rc2_growth_125_year_2022_m4.ini","tlat_rc2_growth_125_year_2022_m4","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2022_m4","FCC7DCD468B916637A7212D4FEC62DBC286F2BEA399B3D89F5BF0C3D5B4F3A5B","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","90A6F38CF1001DE660627B4C05E37A2474656D4BA6E4D0056B6C31C638601613"
"18","tlat_rc2_growth_125","tlat_rc2_growth_125","growthannual","trade_ready_rc2","year_2023","2023.01.01","2023.12.31","4","10000","1.25","0.5625","0.1875","0.125","0.9375","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\configs\009_tlat_rc2_growth_125_year_2023_m4.ini","tlat_rc2_growth_125_year_2023_m4","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2023_m4","2D0E0F51AD8196FE113C3B845F2AC54FEF281B6B73B8E1C3B901926DDD2FEF40","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","90A6F38CF1001DE660627B4C05E37A2474656D4BA6E4D0056B6C31C638601613"
"20","tlat_rc2_growth_125","tlat_rc2_growth_125","growthannual","trade_ready_rc2","year_2024","2024.01.01","2024.12.31","4","10000","1.25","0.5625","0.1875","0.125","0.9375","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\configs\010_tlat_rc2_growth_125_year_2024_m4.ini","tlat_rc2_growth_125_year_2024_m4","outputs\three_lane_trade_ready_rc2_growth_annual_model4_package\reports_here\tlat_rc2_growth_125_year_2024_m4","42A548400D252538FCD69D13DE174E6184A92F4DC068E0CF1AB71B0BF3026C55","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","90A6F38CF1001DE660627B4C05E37A2474656D4BA6E4D0056B6C31C638601613"
