"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","SetupAge","BreakBufferATR","BreakRangeATR","BreakBodyPercent","RetestToleranceATR","RetestPenetrationATR","RetestReclaimATR","TrendFilter","ADXFilter","SessionFilter","TakeProfitR","StopRule"
"1","pwbr_base","1","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_base.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_pwbr_base_older_2015_2018_m1.ini","pwbr_base_older_2015_2018_m1","profiles\pwbr_base.set","646489ECE3B965AF244E714F62A4165BB98D0B65C9A7A269781EE3984B1C2929","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"2","pwbr_base","1","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_base.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_pwbr_base_discovery_2019_2020_m1.ini","pwbr_base_discovery_2019_2020_m1","profiles\pwbr_base.set","646489ECE3B965AF244E714F62A4165BB98D0B65C9A7A269781EE3984B1C2929","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"3","pwbr_base","1","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_base.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_pwbr_base_continuous_2015_2020_m1.ini","pwbr_base_continuous_2015_2020_m1","profiles\pwbr_base.set","646489ECE3B965AF244E714F62A4165BB98D0B65C9A7A269781EE3984B1C2929","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"4","pwbr_break_loose","2","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_break_loose.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_pwbr_break_loose_older_2015_2018_m1.ini","pwbr_break_loose_older_2015_2018_m1","profiles\pwbr_break_loose.set","F559D649784641ED5DD1ED0428EBE101A544DCF371F592BFEC5F7CD0B63E2A85","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.50","30.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"5","pwbr_break_loose","2","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_break_loose.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_pwbr_break_loose_discovery_2019_2020_m1.ini","pwbr_break_loose_discovery_2019_2020_m1","profiles\pwbr_break_loose.set","F559D649784641ED5DD1ED0428EBE101A544DCF371F592BFEC5F7CD0B63E2A85","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.50","30.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"6","pwbr_break_loose","2","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_break_loose.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_pwbr_break_loose_continuous_2015_2020_m1.ini","pwbr_break_loose_continuous_2015_2020_m1","profiles\pwbr_break_loose.set","F559D649784641ED5DD1ED0428EBE101A544DCF371F592BFEC5F7CD0B63E2A85","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.50","30.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"7","pwbr_break_strict","3","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_break_strict.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_pwbr_break_strict_older_2015_2018_m1.ini","pwbr_break_strict_older_2015_2018_m1","profiles\pwbr_break_strict.set","192E25888EB5EF194531541B8B9E34910AC9D1E4BB03D840C1DEBABEFA2B6C00","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","1.00","50.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"8","pwbr_break_strict","3","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_break_strict.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_pwbr_break_strict_discovery_2019_2020_m1.ini","pwbr_break_strict_discovery_2019_2020_m1","profiles\pwbr_break_strict.set","192E25888EB5EF194531541B8B9E34910AC9D1E4BB03D840C1DEBABEFA2B6C00","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","1.00","50.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"9","pwbr_break_strict","3","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_break_strict.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_pwbr_break_strict_continuous_2015_2020_m1.ini","pwbr_break_strict_continuous_2015_2020_m1","profiles\pwbr_break_strict.set","192E25888EB5EF194531541B8B9E34910AC9D1E4BB03D840C1DEBABEFA2B6C00","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","1.00","50.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"10","pwbr_buffer15","4","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_buffer15.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_pwbr_buffer15_older_2015_2018_m1.ini","pwbr_buffer15_older_2015_2018_m1","profiles\pwbr_buffer15.set","D95A9FBC63BFC92864373643B83D12D3FF3D956C2EA764B120296E54F233EDE3","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.15","0.70","40.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
