"Metric","Value"
"OriginalInputCount","1809"
"KeptInputCount","356"
"ConvertedToGlobals","1453"
"OutSourcePath",".\outputs\Professional_XAUUSD_EA_PEAK_R20_DFG_SPREAD_RISK_MODEL4_COMPACT.mq5"
