"QueueRank","Rank","Candidate","Profile","Phase","Set","Window","From","To","Model","Deposit","PackageConfig","ExpectedReportName","ReportDestination","ProfileSha256","SourceSha256","RunLabel","StopRule"
"2","2","rsg_mo015_control","rsg_mo015_control","discovery_model1","reversion_shock_guard_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\002_rsg_mo015_control_repair_2019_m1.ini","rsg_mo015_control_repair_2019_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_control_repair_2019_m1","AF44DDFDBB8EBC0F7AB1BBD3DD0480C9C5AE621BFCFFBB1F27AC3B8F7A2C8F48","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"4","4","rsg_mo015_control","rsg_mo015_control","discovery_model1","reversion_shock_guard_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\004_rsg_mo015_control_continuous_2015_2020_m1.ini","rsg_mo015_control_continuous_2015_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_control_continuous_2015_2020_m1","AF44DDFDBB8EBC0F7AB1BBD3DD0480C9C5AE621BFCFFBB1F27AC3B8F7A2C8F48","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"31","31","rsg_mo020_control","rsg_mo020_control","discovery_model1","reversion_shock_guard_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\031_rsg_mo020_control_repair_2020_m1.ini","rsg_mo020_control_repair_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_control_repair_2020_m1","348F25E195D220A566541EA8A21404055894C4D0C0A672B1C541C52817A3442B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"45","45","rsg_mo020_combo25","rsg_mo020_combo25","discovery_model1","reversion_shock_guard_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\045_rsg_mo020_combo25_older_2015_2018_m1.ini","rsg_mo020_combo25_older_2015_2018_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo25_older_2015_2018_m1","9B6C49F54D94F5AE1327CF6F822DDF0133C5D7A357C01587E3C25E8464E650D6","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"46","46","rsg_mo020_combo25","rsg_mo020_combo25","discovery_model1","reversion_shock_guard_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\046_rsg_mo020_combo25_repair_2019_m1.ini","rsg_mo020_combo25_repair_2019_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo25_repair_2019_m1","9B6C49F54D94F5AE1327CF6F822DDF0133C5D7A357C01587E3C25E8464E650D6","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
