"QueueRank","Profile","Candidate","Phase","Set","Window","From","To","Model","Deposit","RiskScale","RVRiskPercent","MORiskPercent","ATBRiskPercent","PortfolioOpenRiskPercent","PackageConfig","ExpectedReportName","ReportDestination","ConfigSha256","SourceSha256","ProfileSha256"
"1","tlat_rc2_decomp_control","tlat_rc2_decomp_control","growthdecomp","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","4","10000","control","0.45","0.15","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\001_tlat_rc2_decomp_control_older_2015_2018_m4.ini","tlat_rc2_decomp_control_older_2015_2018_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_control_older_2015_2018_m4","11A0D92437B9E20685AFFD6B458C05E942EA3E9D6CDB693A636DD4F570356684","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","EA0538B304A850D5CE39DB59F49BF4E6D5FAF7755BB6F7E7F6FDDE90EBDA794B"
"2","tlat_rc2_decomp_control","tlat_rc2_decomp_control","growthdecomp","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","4","10000","control","0.45","0.15","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\002_tlat_rc2_decomp_control_middle_2019_2022_m4.ini","tlat_rc2_decomp_control_middle_2019_2022_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_control_middle_2019_2022_m4","5BF08B9EA38C2795D3D72C2C736841278CC5F46351986EF46C5349822845D750","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","EA0538B304A850D5CE39DB59F49BF4E6D5FAF7755BB6F7E7F6FDDE90EBDA794B"
"3","tlat_rc2_decomp_control","tlat_rc2_decomp_control","growthdecomp","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","4","10000","control","0.45","0.15","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\003_tlat_rc2_decomp_control_recent_2023_2026_m4.ini","tlat_rc2_decomp_control_recent_2023_2026_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_control_recent_2023_2026_m4","EF64F25724D7337D426DEB8C20E7A16FD73BCEF8AB84D36A0FF23101876D0936","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","EA0538B304A850D5CE39DB59F49BF4E6D5FAF7755BB6F7E7F6FDDE90EBDA794B"
"4","tlat_rc2_decomp_control","tlat_rc2_decomp_control","growthdecomp","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","4","10000","control","0.45","0.15","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\004_tlat_rc2_decomp_control_continuous_2015_2026_m4.ini","tlat_rc2_decomp_control_continuous_2015_2026_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_control_continuous_2015_2026_m4","B547F2F81A7C5CD37B6FD255CB3F2898DE0D56211E0604D0A2778AE5A9A88B07","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","EA0538B304A850D5CE39DB59F49BF4E6D5FAF7755BB6F7E7F6FDDE90EBDA794B"
"5","tlat_rc2_decomp_atb125","tlat_rc2_decomp_atb125","growthdecomp","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","4","10000","atb_1.25","0.45","0.15","0.125","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\005_tlat_rc2_decomp_atb125_older_2015_2018_m4.ini","tlat_rc2_decomp_atb125_older_2015_2018_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_atb125_older_2015_2018_m4","0AF1810CC410756EB26BD3C33D351C2D78F3D3CE78A2A690191E3442B5333EF9","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","87E108850E8E5AD6CFCF61134C5B3911707C9955DB1C50817493C9E33085C516"
"6","tlat_rc2_decomp_atb125","tlat_rc2_decomp_atb125","growthdecomp","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","4","10000","atb_1.25","0.45","0.15","0.125","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\006_tlat_rc2_decomp_atb125_middle_2019_2022_m4.ini","tlat_rc2_decomp_atb125_middle_2019_2022_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_atb125_middle_2019_2022_m4","4E19B3627D3A2175C4AA8962EEE7E783901FB9FB79308AED18FA4CFCBE1F9633","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","87E108850E8E5AD6CFCF61134C5B3911707C9955DB1C50817493C9E33085C516"
"7","tlat_rc2_decomp_atb125","tlat_rc2_decomp_atb125","growthdecomp","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","4","10000","atb_1.25","0.45","0.15","0.125","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\007_tlat_rc2_decomp_atb125_recent_2023_2026_m4.ini","tlat_rc2_decomp_atb125_recent_2023_2026_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_atb125_recent_2023_2026_m4","F973D8D028FF3D6D9E9CD2956CBE3564FE98B75E17C8C0998601E8ED7339E8C7","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","87E108850E8E5AD6CFCF61134C5B3911707C9955DB1C50817493C9E33085C516"
"8","tlat_rc2_decomp_atb125","tlat_rc2_decomp_atb125","growthdecomp","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","4","10000","atb_1.25","0.45","0.15","0.125","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\008_tlat_rc2_decomp_atb125_continuous_2015_2026_m4.ini","tlat_rc2_decomp_atb125_continuous_2015_2026_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_atb125_continuous_2015_2026_m4","D43F6F34F2FDFCC784CCDADD5BB84749C59EB7C8B44CDAB4326D18CF143C1292","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","87E108850E8E5AD6CFCF61134C5B3911707C9955DB1C50817493C9E33085C516"
"9","tlat_rc2_decomp_atb150","tlat_rc2_decomp_atb150","growthdecomp","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","4","10000","atb_1.50","0.45","0.15","0.15","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\009_tlat_rc2_decomp_atb150_older_2015_2018_m4.ini","tlat_rc2_decomp_atb150_older_2015_2018_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_atb150_older_2015_2018_m4","3CF938D8D4DA2F32551230819D980A4229E6AA7CAABE6EFF70592CEAF9729EB8","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","705E2154CF6D123151B67757FFCA3EBF7D8BD525CD859E8237F89674CF70DC4E"
"10","tlat_rc2_decomp_atb150","tlat_rc2_decomp_atb150","growthdecomp","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","4","10000","atb_1.50","0.45","0.15","0.15","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\010_tlat_rc2_decomp_atb150_middle_2019_2022_m4.ini","tlat_rc2_decomp_atb150_middle_2019_2022_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_atb150_middle_2019_2022_m4","4E825DF42E506D07C4D78A6AAD8C514E902CAD6BAB47B761EC4F323970E9A273","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","705E2154CF6D123151B67757FFCA3EBF7D8BD525CD859E8237F89674CF70DC4E"
