"Rank","Profile","Phase","Set","Window","Config","Passed","FailedChecks","Sha256"
"1","tp38_sl18","phase1_fast_triage","stress","2024_Q1","outputs\next_test_handoff\configs\001_tp38_sl18_stress_2024_Q1_phase1_fast_triage.ini","True","","096B8FCEDBD7402FF19D79A8EF88D619BD717CB6B76C66363A7FF4E8A76849B2"
"2","tp38_sl18","phase1_fast_triage","stress","2024_Q3","outputs\next_test_handoff\configs\002_tp38_sl18_stress_2024_Q3_phase1_fast_triage.ini","True","","124871F5F5D379D473B55322CCAC48BA305481F938B90B00640864695A1586F5"
"3","tp38_sl18","phase1_fast_triage","stress","2025_Q2","outputs\next_test_handoff\configs\003_tp38_sl18_stress_2025_Q2_phase1_fast_triage.ini","True","","5D1156993C2A293226AB5CCCCD0894AFA1FB6507DCD24111856DA8D4C5EAA1D0"
"4","tp38_sl18","phase1_fast_triage","stress","2025_Q3","outputs\next_test_handoff\configs\004_tp38_sl18_stress_2025_Q3_phase1_fast_triage.ini","True","","C1CFD1C97B9DE1149ECD68F65432357825C9601528B6B6688554488D79679A06"
"5","tp38_sl18","phase1_fast_triage","full","full","outputs\next_test_handoff\configs\005_tp38_sl18_full_full_phase1_fast_triage.ini","True","","57D2E7C7515283CE1911BE1D08D67621DA0701F9EC6FB52EB308B15D30CEB66E"
"6","baseline_promoted","phase1_fast_triage","stress","2024_Q1","outputs\next_test_handoff\configs\006_baseline_promoted_stress_2024_Q1_phase1_fast_triage.ini","True","","B100DEDBDED9464C576C49F1FD6AFEDD4FBA5E4BB93502262C123100D81B0750"
"7","baseline_promoted","phase1_fast_triage","stress","2024_Q3","outputs\next_test_handoff\configs\007_baseline_promoted_stress_2024_Q3_phase1_fast_triage.ini","True","","589FFA262BE331462D072494B48598F911FB32ED2A11D9037F9986707EB1D0FC"
"8","baseline_promoted","phase1_fast_triage","stress","2025_Q2","outputs\next_test_handoff\configs\008_baseline_promoted_stress_2025_Q2_phase1_fast_triage.ini","True","","FDB5476EF234FFF7FBD65958C1138FC55C408DB9768E22DD96D339FFB144C986"
"9","baseline_promoted","phase1_fast_triage","stress","2025_Q3","outputs\next_test_handoff\configs\009_baseline_promoted_stress_2025_Q3_phase1_fast_triage.ini","True","","2971931F525BE7FAD2590A9EB87A0D9F6AFDFA3F4FDFEB4D7F359440B349D816"
"10","baseline_promoted","phase1_fast_triage","full","full","outputs\next_test_handoff\configs\010_baseline_promoted_full_full_phase1_fast_triage.ini","True","","2B8FA006265D834539ACC2E69E3547337D0BB5DB556E102A756FDB5A3E48ACA5"
"11","tp38_sl18","phase1_fast_triage","opportunity","2024_Q4","outputs\next_test_handoff\configs\011_tp38_sl18_opportunity_2024_Q4_phase1_fast_triage.ini","True","","3CC8AA6D4617AF5E7C7370A71FBE0222ED5E339A01640810A54DC4487230969D"
