"Candidate","Older2015To2018Net","Older2015To2018ProfitFactor","Discovery2019To2020Net","Discovery2019To2020ProfitFactor","Continuous2015To2020Net","ContinuousProfitFactor","ContinuousTrades","ContinuousMaxDrawdownPercent","ContinuousRecoveryFactor","ContinuousCagrPercent","BothDisjointErasPositive","ProfitFactorAtLeast125","TradesAtLeast80","DrawdownAtMost300","RecoveryAtLeast150","BaseGatePass","ThreeVariantFamilySupport","DiscoveryGatePass","Decision"
"dnrb_noema","25.09","2.1","-14.75","0","10.34","1.28","14","0.35","0.2932","0.02","False","True","False","True","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dnrb_nr10","6.24","1.9","0","0","6.24","1.9","5","0.21","0.2962","0.01","False","True","False","True","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dnrb_maxatr070","1.62","1.14","-8.5","0","-6.88","0.66","7","0.26","-0.2678","-0.01","False","False","False","True","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dnrb_ema100","-0.2","0.99","-11.02","0","-11.22","0.63","11","0.34","-0.334","-0.02","False","False","False","True","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dnrb_tp200","-0.72","0.96","-11.02","0","-11.74","0.61","10","0.34","-0.3495","-0.02","False","False","False","True","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dnrb_nr5","-6.28","0.68","-7.06","0.36","-13.34","0.56","11","0.34","-0.3971","-0.02","False","False","False","True","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dnrb_ema20","-2.65","0.82","-11.02","0","-13.67","0.47","8","0.3","-0.4563","-0.02","False","False","False","True","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dnrb_buffer000","-4.78","0.75","-10.68","0","-15.46","0.49","10","0.32","-0.4818","-0.03","False","False","False","True","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dnrb_volume115","-4.46","0.75","-11.02","0","-15.48","0.46","9","0.25","-0.6119","-0.03","False","False","False","True","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dnrb_no_trail","-14.13","0.66","-1.46","0.91","-15.59","0.73","10","0.6","-0.2576","-0.03","False","False","False","True","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dnrb_body025","-5.3","0.73","-11.02","0","-16.32","0.46","11","0.33","-0.5005","-0.03","False","False","False","True","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dnrb_adx18","-6.28","0.68","-11.02","0","-17.3","0.43","10","0.34","-0.515","-0.03","False","False","False","True","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dnrb_tp400","-6.28","0.68","-11.02","0","-17.3","0.43","10","0.34","-0.515","-0.03","False","False","False","True","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dnrb_maxatr100","-6.28","0.68","-11.02","0","-17.3","0.43","10","0.34","-0.515","-0.03","False","False","False","True","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dnrb_center","-6.28","0.68","-11.02","0","-17.3","0.43","10","0.34","-0.515","-0.03","False","False","False","True","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dnrb_buffer010","-13.14","0.5","-11.02","0","-24.16","0.35","11","0.4","-0.5973","-0.04","False","False","False","True","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dnrb_body045","-13.77","0.07","-11.02","0","-24.79","0.04","8","0.37","-0.6705","-0.04","False","False","False","True","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dnrb_volume000","-16.29","0.45","-11.02","0","-27.31","0.33","14","0.45","-0.6125","-0.05","False","False","False","True","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
