"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","EntryLookback","ExitLookback","EMAFilter","FixedTakeProfit","TakeProfitR","SessionFilter","StopLookback","MaxStopATR","MaxStopPriceDistance","StopRule"
"1","m30sc_24_12_tp20","1","independent_m30_structure_channel","1","discovery_model1","m30sc_24_12_tp20.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_m30sc_24_12_tp20_older_2015_2018_m1.ini","m30sc_24_12_tp20_older_2015_2018_m1","profiles\m30sc_24_12_tp20.set","76E4238247E205150F48CD12C8A22BD50BFE1BF7FD3347D9F9111411D7065FEC","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","24","12","true","true","2.00","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"2","m30sc_24_12_tp20","1","independent_m30_structure_channel","1","discovery_model1","m30sc_24_12_tp20.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_m30sc_24_12_tp20_discovery_2019_2020_m1.ini","m30sc_24_12_tp20_discovery_2019_2020_m1","profiles\m30sc_24_12_tp20.set","76E4238247E205150F48CD12C8A22BD50BFE1BF7FD3347D9F9111411D7065FEC","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","24","12","true","true","2.00","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"3","m30sc_24_12_tp20","1","independent_m30_structure_channel","1","discovery_model1","m30sc_24_12_tp20.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_m30sc_24_12_tp20_continuous_2015_2020_m1.ini","m30sc_24_12_tp20_continuous_2015_2020_m1","profiles\m30sc_24_12_tp20.set","76E4238247E205150F48CD12C8A22BD50BFE1BF7FD3347D9F9111411D7065FEC","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","24","12","true","true","2.00","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"4","m30sc_48_24_tp20","2","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_tp20.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_m30sc_48_24_tp20_older_2015_2018_m1.ini","m30sc_48_24_tp20_older_2015_2018_m1","profiles\m30sc_48_24_tp20.set","25B863BF9DC8E08CDAA529F86BA323FA3B8FC513FAAB42C604688A3C3FD41488","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","true","2.00","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"5","m30sc_48_24_tp20","2","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_tp20.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_m30sc_48_24_tp20_discovery_2019_2020_m1.ini","m30sc_48_24_tp20_discovery_2019_2020_m1","profiles\m30sc_48_24_tp20.set","25B863BF9DC8E08CDAA529F86BA323FA3B8FC513FAAB42C604688A3C3FD41488","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","true","2.00","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"6","m30sc_48_24_tp20","2","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_tp20.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_m30sc_48_24_tp20_continuous_2015_2020_m1.ini","m30sc_48_24_tp20_continuous_2015_2020_m1","profiles\m30sc_48_24_tp20.set","25B863BF9DC8E08CDAA529F86BA323FA3B8FC513FAAB42C604688A3C3FD41488","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","true","2.00","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"7","m30sc_72_36_tp20","3","independent_m30_structure_channel","1","discovery_model1","m30sc_72_36_tp20.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_m30sc_72_36_tp20_older_2015_2018_m1.ini","m30sc_72_36_tp20_older_2015_2018_m1","profiles\m30sc_72_36_tp20.set","5402879C4DC8B2D4365C0B15781A8C652000022F48BAFB141770F065182A29F4","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","72","36","true","true","2.00","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"8","m30sc_72_36_tp20","3","independent_m30_structure_channel","1","discovery_model1","m30sc_72_36_tp20.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_m30sc_72_36_tp20_discovery_2019_2020_m1.ini","m30sc_72_36_tp20_discovery_2019_2020_m1","profiles\m30sc_72_36_tp20.set","5402879C4DC8B2D4365C0B15781A8C652000022F48BAFB141770F065182A29F4","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","72","36","true","true","2.00","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"9","m30sc_72_36_tp20","3","independent_m30_structure_channel","1","discovery_model1","m30sc_72_36_tp20.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_m30sc_72_36_tp20_continuous_2015_2020_m1.ini","m30sc_72_36_tp20_continuous_2015_2020_m1","profiles\m30sc_72_36_tp20.set","5402879C4DC8B2D4365C0B15781A8C652000022F48BAFB141770F065182A29F4","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","72","36","true","true","2.00","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"10","m30sc_48_24_tp15","4","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_tp15.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_m30sc_48_24_tp15_older_2015_2018_m1.ini","m30sc_48_24_tp15_older_2015_2018_m1","profiles\m30sc_48_24_tp15.set","3AE01BEE59077B4C73158993A92F9DA6032E36CF5642561404C00123C6C11A29","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","true","1.50","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"11","m30sc_48_24_tp15","4","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_tp15.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_m30sc_48_24_tp15_discovery_2019_2020_m1.ini","m30sc_48_24_tp15_discovery_2019_2020_m1","profiles\m30sc_48_24_tp15.set","3AE01BEE59077B4C73158993A92F9DA6032E36CF5642561404C00123C6C11A29","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","true","1.50","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"12","m30sc_48_24_tp15","4","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_tp15.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_m30sc_48_24_tp15_continuous_2015_2020_m1.ini","m30sc_48_24_tp15_continuous_2015_2020_m1","profiles\m30sc_48_24_tp15.set","3AE01BEE59077B4C73158993A92F9DA6032E36CF5642561404C00123C6C11A29","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","true","1.50","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
