"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","RetracementEntryEnabled","RetracementEntryOffsetATR","RetracementEntryLifetimeBars","Status","ReportPath","ProfileSha256","SourceSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"1","rre_control","1","control","reversion_retracement_entry_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","0.00","1","PARSED","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_control_older_2015_2018_m1.htm","1C79D7108911B0811A6C6BABFF3550AA3B6A93D9F5EC893631A0324A91271430","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","10000","1460","3.9973","1036.19","11036.19","10.36","2.59","2.5","1.96","5.63","5.45","45.65","184","6","117.21","1.11","8.8405"
"2","rre_control","1","control","reversion_retracement_entry_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","false","0.00","1","PARSED","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_control_later_2019_2020_m1.htm","1C79D7108911B0811A6C6BABFF3550AA3B6A93D9F5EC893631A0324A91271430","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","10000","730","1.9986","370.6","10370.6","3.71","1.85","1.84","1.94","5.01","5.64","47.3","74","6","94.65","0.93","3.9155"
"3","rre_control","1","control","reversion_retracement_entry_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","0.00","1","PARSED","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_control_continuous_2015_2020_m1.htm","1C79D7108911B0811A6C6BABFF3550AA3B6A93D9F5EC893631A0324A91271430","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","10000","2191","5.9986","1379.93","11379.93","13.8","2.3","2.18","1.88","5.29","5.15","45.98","261","6","118.17","1.05","11.6775"
"4","rre_offset10","2","lower_offset_support","reversion_retracement_entry_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","0.10","1","PARSED","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_offset10_older_2015_2018_m1.htm","978E6432BECD304F7BB822DB971720C0B326B9D356EB5DD4B1EEBDAB8C6E2617","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","10000","1460","3.9973","880.49","10880.49","8.8","2.2","2.13","1.87","4.86","5.27","45.3","181","6","102.66","0.99","8.5768"
"5","rre_offset10","2","lower_offset_support","reversion_retracement_entry_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","true","0.10","1","PARSED","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_offset10_later_2019_2020_m1.htm","978E6432BECD304F7BB822DB971720C0B326B9D356EB5DD4B1EEBDAB8C6E2617","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","10000","730","1.9986","376.99","10376.99","3.77","1.89","1.87","1.96","5.09","5.69","47.3","74","6","94.65","0.93","3.983"
"6","rre_offset10","2","lower_offset_support","reversion_retracement_entry_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","0.10","1","PARSED","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_offset10_continuous_2015_2020_m1.htm","978E6432BECD304F7BB822DB971720C0B326B9D356EB5DD4B1EEBDAB8C6E2617","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","10000","2191","5.9986","1250.3","11250.3","12.5","2.08","1.98","1.85","4.85","5.1","45.74","258","6","112.66","1.02","11.098"
"7","rre_center15","3","center","reversion_retracement_entry_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","0.15","1","PARSED","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_center15_older_2015_2018_m1.htm","FCC697383A81870B8454BA73687A56CA8E346AE56829D6E8372B79BF2C5592E2","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","10000","1460","3.9973","682.44","10682.44","6.82","1.71","1.67","1.7","3.86","4.6","44.63","177","6","101.36","0.99","6.7328"
"8","rre_center15","3","center","reversion_retracement_entry_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","true","0.15","1","PARSED","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_center15_later_2019_2020_m1.htm","FCC697383A81870B8454BA73687A56CA8E346AE56829D6E8372B79BF2C5592E2","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","10000","730","1.9986","384.19","10384.19","3.84","1.92","1.9","1.97","5.19","5.92","47.3","74","6","94.65","0.93","4.0591"
"9","rre_center15","3","center","reversion_retracement_entry_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","0.15","1","PARSED","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_center15_continuous_2015_2020_m1.htm","FCC697383A81870B8454BA73687A56CA8E346AE56829D6E8372B79BF2C5592E2","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","10000","2191","5.9986","1067.56","11067.56","10.68","1.78","1.71","1.75","4.24","4.84","45.24","252","6","112.66","1.04","9.4759"
"10","rre_offset20","4","upper_offset_support","reversion_retracement_entry_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","0.20","1","PARSED","outputs\three_lane_reversion_retracement_entry_discovery_model1_package\reports_here\rre_offset20_older_2015_2018_m1.htm","0557F1E0193F72109C5A0F8E97085C8C9B9C59687F02245E886AED164307C9E4","76F0E1B6E7841BAB5B2BCA9D273AE04AD88047F1E90539E3052C0134A0A9A4C8","10000","1460","3.9973","708.94","10708.94","7.09","1.77","1.73","1.74","4.01","4.79","44.63","177","6","99.54","0.96","7.1222"
