"PositionIdentifier","EntryTime","ExitTime","Year","TrainingSplit","Side","InitialVolume","ExitVolume","ExitDeals","EntryPrice","InitialStop","InitialRiskMoney","Profit","RiskR","HoldHours","BreakoutATR","BodyRatio","CloseLocation","RangeATR","ExpansionRatio","ChannelWidthATR","SqueezeRangeATR","TickVolumeRatio","ATRPercent","ADX","TrendDistanceATR","TrendSlopeATR","SqueezeRatioMean","SqueezeRatioMax","StopATR"
"72","2015-12-15T09:30:00.0000000","2015-12-15T09:31:40.0000000","2015","training_2015_2016","sell","0.12","0.12","1","1062.8","1063.62","9.84","-9.84","-1","0.0278","0.275172","0.632075","0.650943","1.325829","1.156364","2.263915","1.14655","1.170435","0.075222","16.642365","9.07284","0.498504","0.695401","0.715047","1.025578"
"76","2015-12-22T08:00:00.0000000","2015-12-22T09:22:20.0000000","2015","training_2015_2016","buy","0.08","0.08","1","1078.5","1077.26","9.92","0.96","0.096774","1.3722","0.046795","0.666667","0.91954","0.814226","1.248804","1.12307","0.652004","0.736855","0.099103","22.291562","9.05739","0.533125","0.782004","0.790541","1.157557"
"82","2015-12-30T09:45:00.0000000","2015-12-30T10:21:40.0000000","2015","training_2015_2016","sell","0.18","0.18","2","1069.61","1070.15","9.72","22.28","2.292181","0.6111","0.08008","0.671642","0.731343","1.341341","1.331126","2.662663","1.007674","1.791477","0.046699","34.439674","2.705212","0.067147","0.508814","0.550185","1.080981"
"91","2016-01-27T15:15:00.0000000","2016-01-27T15:45:40.0000000","2016","training_2015_2016","buy","0.06","0.06","1","1119.83","1118.27","9.36","-9.36","-1","0.5111","0.350598","0.415584","0.727273","1.227092","1.301408","2.231076","0.942895","1.59613","0.112102","27.305155","8.930725","0.473548","0.700774","0.733828","1.239442"
"96","2016-02-01T14:45:00.0000000","2016-02-01T14:51:40.0000000","2016","training_2015_2016","buy","0.08","0.08","1","1123.96","1122.76","9.6","-9.6","-1","0.1111","0.103252","0.646018","0.734513","1.166753","1.223827","2.127001","0.953364","1.258555","0.086189","26.437528","8.492723","0.419313","0.850517","0.891683","1.235777"
"101","2016-03-03T13:45:00.0000000","2016-03-03T15:21:20.0000000","2016","training_2015_2016","buy","0.06","0.06","1","1244.18","1242.52","9.96","-9.96","-1","1.6056","0.58218","0.714286","0.93985","0.944267","1.435252","1.938232","0.65791","0.972161","0.113232","27.963437","6.569982","0.318539","0.814178","0.866393","1.179162"
"121","2016-05-23T08:45:00.0000000","2016-05-23T09:13:40.0000000","2016","training_2015_2016","sell","0.1","0.1","2","1252.69","1253.73","10.4","17.64","1.696154","0.4778","0.414703","0.659259","0.659259","1.272385","1.478102","2.158341","0.860823","1.197623","0.084695","19.457661","7.699194","0.375926","0.776577","0.816351","0.976532"
"124","2016-05-24T06:30:00.0000000","2016-05-24T10:01:40.0000000","2016","training_2015_2016","sell","0.07","0.07","2","1245.81","1247.28","10.29","15.93","1.548105","3.5278","0.588469","0.564972","0.728814","1.407555","1.58982","1.638171","0.885355","1.265502","0.100934","20.072612","8.701615","0.437083","0.872959","0.911911","1.165606"
"131","2016-06-14T14:00:00.0000000","2016-06-14T14:55:40.0000000","2016","training_2015_2016","buy","0.07","0.07","2","1281.42","1280.07","9.45","13.68","1.447619","0.9278","0.119716","0.770992","0.770992","0.980172","1.198171","1.870557","0.818057","0.612791","0.104315","15.541845","8.846006","0.492511","0.766617","0.781689","1.012832"
"134","2016-06-15T08:00:00.0000000","2016-06-15T08:06:40.0000000","2016","training_2015_2016","buy","0.07","0.07","1","1285.4","1284.03","9.59","-9.59","-1","0.1111","0.636771","0.640288","0.676259","1.246637","1.820961","1.174888","0.684604","0.923368","0.086765","16.571163","10.15481","0.587986","0.619527","0.848509","1.230045"
