Scenario,Trials,Seed,BootstrapWithReplacement,MaxSlippageR,MaxDelayR,MaxSpreadShockR,SpreadShockProbability,MissedWinnerProbability,P05NetProfit,MedianNetProfit,P95NetProfit,MedianProfitFactor,P95MaxClosedDrawdownPercent,P95MaxConsecutiveLosses,RedTrialPercent,GatePass
standard,10000,26071801,True,0.04,0.06,0.08,0.1,0.05,158.22,1132.1,2147.8,1.2931,6.3829,15.0,2.77,False
severe,10000,26071802,True,0.08,0.12,0.16,0.2,0.1,-539.32,435.84,1445.93,1.1052,9.629,16.0,23.33,False
