"Profile","Parsed","TotalNet","Continuous","Full2024","Full2025","Ytd2026","Q4_2024","Q4_2025","WorstWindow","LosingWindows"
"no_m1shock","6","4075.62","1288.93","1425.73","214.3","955.21","-4.55","196","-4.55","1"
"conflict_march","6","3663.13","1277.57","1277.57","214.3","893.69","0","0","0","0"
"may235","6","3663.13","1277.57","1277.57","214.3","893.69","0","0","0","0"
"stable_mar1_may225","6","2928.35","1277.57","1277.57","214.3","158.91","0","0","0","0"
