"QueueRank","Candidate","Role","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","BaseProfileSha256","ContractSha256","RVMinimumDIEdge","DistanceGuardEnabled","LongDistanceLookbackBars","MinimumAlignedDistanceATR","StopRule"
"11","rddi_di10_m12","loose_neighbor","repair_2020","2020.01.01","2020.12.31","1","10000","configs\011_rddi_di10_m12_repair_2020_m1.ini","rddi_di10_m12_repair_2020_m1","profiles\rddi_di10_m12.set","6DD21EBFFB4908E960D919E210E706A6E31C0273BBB32C281C72A5434C5A0E12","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-12.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
"12","rddi_di10_m12","loose_neighbor","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_rddi_di10_m12_continuous_2015_2020_m1.ini","rddi_di10_m12_continuous_2015_2020_m1","profiles\rddi_di10_m12.set","6DD21EBFFB4908E960D919E210E706A6E31C0273BBB32C281C72A5434C5A0E12","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-12.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
"13","rddi_di10_m10_center","center","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_rddi_di10_m10_center_older_2015_2018_m1.ini","rddi_di10_m10_center_older_2015_2018_m1","profiles\rddi_di10_m10_center.set","652CEA1E94335DAD384E9A0CD6FB8512FE16961366EC21F051E91A461C5A4A9B","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-10.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
"14","rddi_di10_m10_center","center","repair_2019","2019.01.01","2019.12.31","1","10000","configs\014_rddi_di10_m10_center_repair_2019_m1.ini","rddi_di10_m10_center_repair_2019_m1","profiles\rddi_di10_m10_center.set","652CEA1E94335DAD384E9A0CD6FB8512FE16961366EC21F051E91A461C5A4A9B","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-10.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
"15","rddi_di10_m10_center","center","repair_2020","2020.01.01","2020.12.31","1","10000","configs\015_rddi_di10_m10_center_repair_2020_m1.ini","rddi_di10_m10_center_repair_2020_m1","profiles\rddi_di10_m10_center.set","652CEA1E94335DAD384E9A0CD6FB8512FE16961366EC21F051E91A461C5A4A9B","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-10.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
"16","rddi_di10_m10_center","center","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\016_rddi_di10_m10_center_continuous_2015_2020_m1.ini","rddi_di10_m10_center_continuous_2015_2020_m1","profiles\rddi_di10_m10_center.set","652CEA1E94335DAD384E9A0CD6FB8512FE16961366EC21F051E91A461C5A4A9B","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-10.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
"17","rddi_di10_m8","strict_neighbor","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\017_rddi_di10_m8_older_2015_2018_m1.ini","rddi_di10_m8_older_2015_2018_m1","profiles\rddi_di10_m8.set","1DE0CCCC21481B7EA481EF1ABE8C2746C2079532B1ABE598C3CD9FF1EDAD46B3","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-8.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
"18","rddi_di10_m8","strict_neighbor","repair_2019","2019.01.01","2019.12.31","1","10000","configs\018_rddi_di10_m8_repair_2019_m1.ini","rddi_di10_m8_repair_2019_m1","profiles\rddi_di10_m8.set","1DE0CCCC21481B7EA481EF1ABE8C2746C2079532B1ABE598C3CD9FF1EDAD46B3","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-8.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
"19","rddi_di10_m8","strict_neighbor","repair_2020","2020.01.01","2020.12.31","1","10000","configs\019_rddi_di10_m8_repair_2020_m1.ini","rddi_di10_m8_repair_2020_m1","profiles\rddi_di10_m8.set","1DE0CCCC21481B7EA481EF1ABE8C2746C2079532B1ABE598C3CD9FF1EDAD46B3","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-8.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
"20","rddi_di10_m8","strict_neighbor","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\020_rddi_di10_m8_continuous_2015_2020_m1.ini","rddi_di10_m8_continuous_2015_2020_m1","profiles\rddi_di10_m8.set","1DE0CCCC21481B7EA481EF1ABE8C2746C2079532B1ABE598C3CD9FF1EDAD46B3","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","8B3A06E9776EA99C1DDE02A14F098B0837653B34B0AAD56491D0FE0248FEEC57","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-8.0","Each era positive; continuous PF>=1.50, trades>=180, DD<=2.80%; net>=DI parent; DD<=DI parent; center plus one adjacent distance neighbor pass. No post-2020 data."
