"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","SameSideExitCooldownEnabled","SameSideExitCooldownMinutes","MomentumRiskPercent","ReversionRiskPercent","AdaptiveRiskPercent","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","msec_control","1","control","momentum_same_side_exit_cooldown_recent_model1","early_2021_2023","2021.01.01","2023.12.31","1","10000","false","0","0.15","0.45","0.15","0.75","msec_control_early_2021_2023_m1","outputs\three_lane_momentum_same_side_exit_cooldown_recent_model1_package\configs\001_msec_control_early_2021_2023_m1.ini","outputs\three_lane_momentum_same_side_exit_cooldown_recent_model1_package\configs\001_msec_control_early_2021_2023_m1.ini","outputs\three_lane_momentum_same_side_exit_cooldown_recent_model1_package\reports_here\msec_control_early_2021_2023_m1","2C6272AB207F2873C279BBF10DAD0F19BCB275F9957F2079A372AA2BC155129A","E02D2BC573B1CD2725089230768C43BBED24F3CF66A482CCFD603C25233E400A","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen 2021-2026 historical confirmation after the preregistered discovery pass. Every report must parse exactly. Center net must be no worse than control in both disjoint eras and strictly improve continuous net; continuous PF/recovery/return-DD must be no worse than control; DD <=control +0.03 point; trades >=98% of control. No post-result rescue."
"2","msec_control","1","control","momentum_same_side_exit_cooldown_recent_model1","recent_2024_2026","2024.01.01","2026.07.12","1","10000","false","0","0.15","0.45","0.15","0.75","msec_control_recent_2024_2026_m1","outputs\three_lane_momentum_same_side_exit_cooldown_recent_model1_package\configs\002_msec_control_recent_2024_2026_m1.ini","outputs\three_lane_momentum_same_side_exit_cooldown_recent_model1_package\configs\002_msec_control_recent_2024_2026_m1.ini","outputs\three_lane_momentum_same_side_exit_cooldown_recent_model1_package\reports_here\msec_control_recent_2024_2026_m1","1FA69BCAA0FC75A6E27C441B543AD16708A29ED6023FABDF2B839FC454461979","E02D2BC573B1CD2725089230768C43BBED24F3CF66A482CCFD603C25233E400A","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen 2021-2026 historical confirmation after the preregistered discovery pass. Every report must parse exactly. Center net must be no worse than control in both disjoint eras and strictly improve continuous net; continuous PF/recovery/return-DD must be no worse than control; DD <=control +0.03 point; trades >=98% of control. No post-result rescue."
"3","msec_control","1","control","momentum_same_side_exit_cooldown_recent_model1","continuous_2021_2026","2021.01.01","2026.07.12","1","10000","false","0","0.15","0.45","0.15","0.75","msec_control_continuous_2021_2026_m1","outputs\three_lane_momentum_same_side_exit_cooldown_recent_model1_package\configs\003_msec_control_continuous_2021_2026_m1.ini","outputs\three_lane_momentum_same_side_exit_cooldown_recent_model1_package\configs\003_msec_control_continuous_2021_2026_m1.ini","outputs\three_lane_momentum_same_side_exit_cooldown_recent_model1_package\reports_here\msec_control_continuous_2021_2026_m1","687072A866DFA86658A1D6F6346984AAB917649DD207836C3FB99D321F9C83D5","E02D2BC573B1CD2725089230768C43BBED24F3CF66A482CCFD603C25233E400A","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen 2021-2026 historical confirmation after the preregistered discovery pass. Every report must parse exactly. Center net must be no worse than control in both disjoint eras and strictly improve continuous net; continuous PF/recovery/return-DD must be no worse than control; DD <=control +0.03 point; trades >=98% of control. No post-result rescue."
"4","msec_center_060","2","center","momentum_same_side_exit_cooldown_recent_model1","early_2021_2023","2021.01.01","2023.12.31","1","10000","true","60","0.15","0.45","0.15","0.75","msec_center_060_early_2021_2023_m1","outputs\three_lane_momentum_same_side_exit_cooldown_recent_model1_package\configs\004_msec_center_060_early_2021_2023_m1.ini","outputs\three_lane_momentum_same_side_exit_cooldown_recent_model1_package\configs\004_msec_center_060_early_2021_2023_m1.ini","outputs\three_lane_momentum_same_side_exit_cooldown_recent_model1_package\reports_here\msec_center_060_early_2021_2023_m1","0CA1FECFE96CB285F6BAFF47AACDA78FF6C51FAFD8D9B139266B7E547A91AACA","E2D4F4522B48EFCCC6D7843ABA4D471392C94AB688C3C40A9F34DFCBE1607F16","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen 2021-2026 historical confirmation after the preregistered discovery pass. Every report must parse exactly. Center net must be no worse than control in both disjoint eras and strictly improve continuous net; continuous PF/recovery/return-DD must be no worse than control; DD <=control +0.03 point; trades >=98% of control. No post-result rescue."
"5","msec_center_060","2","center","momentum_same_side_exit_cooldown_recent_model1","recent_2024_2026","2024.01.01","2026.07.12","1","10000","true","60","0.15","0.45","0.15","0.75","msec_center_060_recent_2024_2026_m1","outputs\three_lane_momentum_same_side_exit_cooldown_recent_model1_package\configs\005_msec_center_060_recent_2024_2026_m1.ini","outputs\three_lane_momentum_same_side_exit_cooldown_recent_model1_package\configs\005_msec_center_060_recent_2024_2026_m1.ini","outputs\three_lane_momentum_same_side_exit_cooldown_recent_model1_package\reports_here\msec_center_060_recent_2024_2026_m1","710AB691923740DEE28507BC927FC645B614FA6345F9CD6D91CEE4A48D744F05","E2D4F4522B48EFCCC6D7843ABA4D471392C94AB688C3C40A9F34DFCBE1607F16","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen 2021-2026 historical confirmation after the preregistered discovery pass. Every report must parse exactly. Center net must be no worse than control in both disjoint eras and strictly improve continuous net; continuous PF/recovery/return-DD must be no worse than control; DD <=control +0.03 point; trades >=98% of control. No post-result rescue."
"6","msec_center_060","2","center","momentum_same_side_exit_cooldown_recent_model1","continuous_2021_2026","2021.01.01","2026.07.12","1","10000","true","60","0.15","0.45","0.15","0.75","msec_center_060_continuous_2021_2026_m1","outputs\three_lane_momentum_same_side_exit_cooldown_recent_model1_package\configs\006_msec_center_060_continuous_2021_2026_m1.ini","outputs\three_lane_momentum_same_side_exit_cooldown_recent_model1_package\configs\006_msec_center_060_continuous_2021_2026_m1.ini","outputs\three_lane_momentum_same_side_exit_cooldown_recent_model1_package\reports_here\msec_center_060_continuous_2021_2026_m1","1E20C5B5846F2BBB7E04A3A881EB21C26597368FB49BE57EADBFFDDDE3B84925","E2D4F4522B48EFCCC6D7843ABA4D471392C94AB688C3C40A9F34DFCBE1607F16","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen 2021-2026 historical confirmation after the preregistered discovery pass. Every report must parse exactly. Center net must be no worse than control in both disjoint eras and strictly improve continuous net; continuous PF/recovery/return-DD must be no worse than control; DD <=control +0.03 point; trades >=98% of control. No post-result rescue."
