"QueueRank","Candidate","CandidateRank","Control","Phase","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","RVRiskPercent","MORiskPercent","PortfolioOpenRiskPercent","StopRule","Status","ReportPath","ReportSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence"
"11","tpg_rv050_mo015","3","False","growth_discovery_model1","recent_2023_2026","2023.01.01","2026.07.16","1","10000","configs\011_tpg_rv050_mo015_recent_2023_2026_m1.ini","tpg_rv050_mo015_recent_2023_2026_m1","profiles\tpg_rv050_mo015.set","0CAD5E1925B848BFC9DBCA462EDBA42975EEE90718344B8BFF3828E04FD40295","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.50","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv050_mo015_recent_2023_2026_m1.htm","0EAA0CDD6535550F0ABA4C265690400483197646436CC8F3F7D9D420D79A0B19","10000","1292","3.5373","570.88","10570.88","5.71","1.61","1.58","1.97","7.23","4.6","46.84","79","6","141.38","1.35","112.54","141.38","4.0379","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"12","tpg_rv050_mo015","3","False","growth_discovery_model1","continuous_2015_2026","2015.01.01","2026.07.16","1","10000","configs\012_tpg_rv050_mo015_continuous_2015_2026_m1.ini","tpg_rv050_mo015_continuous_2015_2026_m1","profiles\tpg_rv050_mo015.set","0CAD5E1925B848BFC9DBCA462EDBA42975EEE90718344B8BFF3828E04FD40295","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.50","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv050_mo015_continuous_2015_2026_m1.htm","9B8FA4BD1408F2A345AFE4B46143FF6CFAE6E054F26C3417A4F96D99E7EB3483","10000","4214","11.5373","1576.21","11576.21","15.76","1.37","1.28","1.55","4.26","4.13","42.7","370","8","422.95","3.86","349.78","422.95","3.7267","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"13","tpg_rv055_mo010","4","False","growth_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_tpg_rv055_mo010_older_2015_2018_m1.ini","tpg_rv055_mo010_older_2015_2018_m1","profiles\tpg_rv055_mo010.set","09E6C51390B18D95F78ECD8EB5386C73B787C32985068F02122F9012473F3F13","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.55","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv055_mo010_older_2015_2018_m1.htm","80CCAD2AFCD48C68A5ECFA4D0281E9D2FC537259941CAE407181402B13986E3C","10000","1460","3.9973","635.91","10635.91","6.36","1.59","1.55","1.98","4.18","7.06","46.05","152","5","89.79","0.89","67.27","89.79","7.0822","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"14","tpg_rv055_mo010","4","False","growth_discovery_model1","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\014_tpg_rv055_mo010_middle_2019_2022_m1.ini","tpg_rv055_mo010_middle_2019_2022_m1","profiles\tpg_rv055_mo010.set","09E6C51390B18D95F78ECD8EB5386C73B787C32985068F02122F9012473F3F13","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.55","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv055_mo010_middle_2019_2022_m1.htm","E02C1CED3EA9C621F1767BE96B8FC792CCBB3885912EDDD4BBD3AFC406E365B8","10000","1460","3.9973","270.94","10270.94","2.71","0.68","0.67","1.3","1.96","2.47","36.96","138","8","417.94","4.13","353.26","417.94","0.6483","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"15","tpg_rv055_mo010","4","False","growth_discovery_model1","recent_2023_2026","2023.01.01","2026.07.16","1","10000","configs\015_tpg_rv055_mo010_recent_2023_2026_m1.ini","tpg_rv055_mo010_recent_2023_2026_m1","profiles\tpg_rv055_mo010.set","09E6C51390B18D95F78ECD8EB5386C73B787C32985068F02122F9012473F3F13","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.55","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv055_mo010_recent_2023_2026_m1.htm","2EB162439FD559A1A69CAD1906A924CFE0DF0C13A1018E648C1383A8B57C61DE","10000","1292","3.5373","541.89","10541.89","5.42","1.53","1.5","2.04","6.86","4.21","46.84","79","6","162.55","1.55","123.27","162.55","3.3337","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"16","tpg_rv055_mo010","4","False","growth_discovery_model1","continuous_2015_2026","2015.01.01","2026.07.16","1","10000","configs\016_tpg_rv055_mo010_continuous_2015_2026_m1.ini","tpg_rv055_mo010_continuous_2015_2026_m1","profiles\tpg_rv055_mo010.set","09E6C51390B18D95F78ECD8EB5386C73B787C32985068F02122F9012473F3F13","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.55","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv055_mo010_continuous_2015_2026_m1.htm","08847D3470BC4EB115EA5AE566B1F902D341F8F14EDAB486B7EDE8FCC2A9877A","10000","4214","11.5373","1589.29","11589.29","15.89","1.38","1.29","1.74","4.3","4.12","42.7","370","8","446.85","4.15","373.13","446.85","3.5567","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"17","tpg_rv055_mo015","5","False","growth_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\017_tpg_rv055_mo015_older_2015_2018_m1.ini","tpg_rv055_mo015_older_2015_2018_m1","profiles\tpg_rv055_mo015.set","FE230D7059A4E91AE9392FD2B2D276410129BD295DC4F7F2895E3E24E7106558","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.55","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv055_mo015_older_2015_2018_m1.htm","B4D86827270E0DCB15C7F1545BFCBCE427F5E459185006AF1484647D24A8E9F4","10000","1460","3.9973","810.14","10810.14","8.1","2.03","1.97","1.86","5.33","7.3","46.05","152","5","105.51","1.01","75.68","105.51","7.6783","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"18","tpg_rv055_mo015","5","False","growth_discovery_model1","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\018_tpg_rv055_mo015_middle_2019_2022_m1.ini","tpg_rv055_mo015_middle_2019_2022_m1","profiles\tpg_rv055_mo015.set","FE230D7059A4E91AE9392FD2B2D276410129BD295DC4F7F2895E3E24E7106558","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.55","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv055_mo015_middle_2019_2022_m1.htm","7BA64E8C30354FD71F2887274B99FD113597C7EB8C47BEBF041996360BB15A3E","10000","1460","3.9973","248.31","10248.31","2.48","0.62","0.62","1.22","1.8","2.11","36.96","138","8","426.52","4.19","353.35","426.52","0.5822","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"19","tpg_rv055_mo015","5","False","growth_discovery_model1","recent_2023_2026","2023.01.01","2026.07.16","1","10000","configs\019_tpg_rv055_mo015_recent_2023_2026_m1.ini","tpg_rv055_mo015_recent_2023_2026_m1","profiles\tpg_rv055_mo015.set","FE230D7059A4E91AE9392FD2B2D276410129BD295DC4F7F2895E3E24E7106558","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.55","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv055_mo015_recent_2023_2026_m1.htm","E2EEDBDEA73AA8954354E268AEC43C55B9C070680D84A064F13EFB58F707BAF3","10000","1292","3.5373","592.59","10592.59","5.93","1.68","1.64","1.97","7.5","4.54","46.84","79","6","162.55","1.55","120.16","162.55","3.6456","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"20","tpg_rv055_mo015","5","False","growth_discovery_model1","continuous_2015_2026","2015.01.01","2026.07.16","1","10000","configs\020_tpg_rv055_mo015_continuous_2015_2026_m1.ini","tpg_rv055_mo015_continuous_2015_2026_m1","profiles\tpg_rv055_mo015.set","FE230D7059A4E91AE9392FD2B2D276410129BD295DC4F7F2895E3E24E7106558","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.55","0.15","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv055_mo015_continuous_2015_2026_m1.htm","7EE2A7EEE18B646B2ADB81E6124FC0E8C0C1B67B4689F98B3EF9A916537D1D4F","10000","4214","11.5373","1710.85","11710.85","17.11","1.48","1.38","1.59","4.62","4.16","42.7","370","8","466.65","4.26","384.44","466.65","3.6662","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"21","tpg_rv060_mo010","6","False","growth_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\021_tpg_rv060_mo010_older_2015_2018_m1.ini","tpg_rv060_mo010_older_2015_2018_m1","profiles\tpg_rv060_mo010.set","30A2A386B6E2EBBA7DFC8AA0E803191C6A61C0F17E7CDCB2435CA351274F365D","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.60","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv060_mo010_older_2015_2018_m1.htm","44E76952EC5BB48BB7552688165F84FF134DE14C0C7EEAF621944CE1B37319A6","10000","1460","3.9973","635.91","10635.91","6.36","1.59","1.55","1.98","4.18","7.06","46.05","152","5","89.79","0.89","67.27","89.79","7.0822","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"22","tpg_rv060_mo010","6","False","growth_discovery_model1","middle_2019_2022","2019.01.01","2022.12.31","1","10000","configs\022_tpg_rv060_mo010_middle_2019_2022_m1.ini","tpg_rv060_mo010_middle_2019_2022_m1","profiles\tpg_rv060_mo010.set","30A2A386B6E2EBBA7DFC8AA0E803191C6A61C0F17E7CDCB2435CA351274F365D","5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3","0.60","0.10","0.75","Require every broad era positive, continuous net at least 15% above the same-source control, PF at least 1.50, at least 330 trades, DD at or below 4%, recovery at least 4, and at least one adjacent passing growth allocation before Model4.","PARSED","outputs\transferable_portfolio_growth_discovery_model1_package\reports_here\tpg_rv060_mo010_middle_2019_2022_m1.htm","9BB98AFC463A1939D0DA39D21434452C02040318C657429FEF11B20D7EDFEE3E","10000","1460","3.9973","247.03","10247.03","2.47","0.62","0.61","1.26","1.79","2.14","36.96","138","8","461.64","4.56","387.92","461.64","0.5351","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
