"Stage","Candidate","Older2015To2018Net","OlderProfitFactor","Newer2019To2020Net","NewerProfitFactor","Continuous2015To2020Net","AnnualizedReturnPercent","ContinuousProfitFactor","ContinuousMaxDrawdownPercent","ContinuousTrades","ContinuousWinRatePercent","ContinuousRecoveryFactor","BothDisjointErasPositive","ProfitFactorAtLeast120","TradesAtLeast60","DrawdownAtMost5Percent","QuantitativeGatePass","NeighborSupportPass","FinalPromotionGatePass","Decision"
"initial_discovery","fbt_box16","16.25","1.28","16.41","2.9","32.66","0.05","1.49","0.27","16","56.25","1.19","True","True","False","True","False","False","False","REJECTED_DISCOVERY_GATE"
"initial_discovery","fbt_both_volume","-1.25","0.98","11.19","1.29","9.94","0.02","1.09","0.45","23","47.83","0.22","False","False","False","True","False","False","False","REJECTED_DISCOVERY_GATE"
"initial_discovery","fbt_box_tight","-45.24","0.02","15.71","1.82","-29.53","-0.05","0.55","0.57","11","36.36","-0.52","False","False","False","True","False","False","False","REJECTED_DISCOVERY_GATE"
"initial_discovery","fbt_reclaim25","1.96","1.05","-32.11","0.27","-30.15","-0.05","0.63","0.57","14","35.71","-0.53","False","False","False","True","False","False","False","REJECTED_DISCOVERY_GATE"
"initial_discovery","fbt_reclaim_strict","-17.49","0.87","-22.86","0.82","-40.35","-0.07","0.84","0.72","47","40.43","-0.56","False","False","False","True","False","False","False","REJECTED_DISCOVERY_GATE"
"initial_discovery","fbt_break_volume","-31.42","0.72","-9.83","0.86","-42.09","-0.07","0.77","0.8","32","37.5","-0.52","False","False","False","True","False","False","False","REJECTED_DISCOVERY_GATE"
"initial_discovery","fbt_adx22","-10.08","0.9","-35.78","0.61","-46.7","-0.08","0.76","0.64","36","38.89","-0.73","False","False","False","True","False","False","False","REJECTED_DISCOVERY_GATE"
"initial_discovery","fbt_fixed_r15","-105.34","0.81","27.87","1.08","-75.51","-0.13","0.92","1.56","185","43.78","-0.48","False","False","True","True","False","False","False","REJECTED_DISCOVERY_GATE"
"initial_discovery","fbt_base","-46.25","0.71","-40.12","0.69","-87.21","-0.15","0.7","0.9","49","34.69","-0.97","False","False","False","True","False","False","False","REJECTED_DISCOVERY_GATE"
"initial_discovery","fbt_age2","-56.35","0.62","-33.06","0.75","-97.31","-0.16","0.65","1","46","32.61","-0.97","False","False","False","True","False","False","False","REJECTED_DISCOVERY_GATE"
"initial_discovery","fbt_adx30","-65.04","0.73","-34.75","0.79","-99.79","-0.17","0.76","1.28","72","37.5","-0.78","False","False","True","True","False","False","False","REJECTED_DISCOVERY_GATE"
"initial_discovery","fbt_age6","-63.44","0.64","-40.12","0.69","-104.4","-0.17","0.66","1.07","51","33.33","-0.98","False","False","False","True","False","False","False","REJECTED_DISCOVERY_GATE"
"initial_discovery","fbt_break_strict","-62.11","0.59","-41.59","0.6","-104.54","-0.17","0.59","1.11","41","31.71","-0.94","False","False","False","True","False","False","False","REJECTED_DISCOVERY_GATE"
"initial_discovery","fbt_box_wide","-165.8","0.55","-47.23","0.83","-213.31","-0.36","0.67","2.52","112","33.93","-0.84","False","False","True","True","False","False","False","REJECTED_DISCOVERY_GATE"
"initial_discovery","fbt_box8","-152.7","0.65","-73.6","0.7","-219.09","-0.37","0.67","2.41","120","37.5","-0.91","False","False","True","True","False","False","False","REJECTED_DISCOVERY_GATE"
"initial_discovery","fbt_reclaim10","-170.81","0.45","-68.59","0.59","-237.21","-0.4","0.49","2.4","72","27.78","-0.99","False","False","True","True","False","False","False","REJECTED_DISCOVERY_GATE"
"liveness_followup","fbt_b14_fixed_r200","110.75","1.46","0.76","1","112.52","0.19","1.28","0.84","95","50.53","1.32","True","True","True","True","True","False","False","REJECTED_UNSUPPORTED_NUMERIC_PASS"
"liveness_followup","fbt_b16_fixed_r200","65.89","1.42","29.31","1.53","95.2","0.16","1.45","0.6","54","53.7","1.57","True","True","False","True","False","True","False","REJECTED_ACTIVITY_FLOOR"
"liveness_followup","fbt_b16_fixed_r150","61.33","1.39","29.87","1.54","91.2","0.15","1.43","0.65","54","53.7","1.39","True","True","False","True","False","True","False","REJECTED_ACTIVITY_FLOOR"
"liveness_followup","fbt_b14_fixed_r150","75.03","1.31","-4.26","0.97","72.29","0.12","1.18","0.81","95","50.53","0.88","False","False","True","True","False","False","False","REJECTED_DISCOVERY_GATE"
"liveness_followup","fbt_b16_fixed_r125","34.9","1.22","20.43","1.37","55.33","0.09","1.26","0.58","54","53.7","0.95","True","True","False","True","False","True","False","REJECTED_ACTIVITY_FLOOR"
"liveness_followup","fbt_b14_fixed_r125","55.62","1.22","-8.87","0.94","46.75","0.08","1.11","0.73","96","50","0.64","False","False","True","True","False","False","False","REJECTED_DISCOVERY_GATE"
"liveness_followup","fbt_b16_struct_r075","18.59","1.22","17.14","1.74","35.73","0.06","1.33","0.39","28","53.57","0.92","True","True","False","True","False","False","False","REJECTED_DISCOVERY_GATE"
"liveness_followup","fbt_b14_struct_r075","51.88","1.43","-19.91","0.79","31.97","0.05","1.15","0.6","51","50.98","0.52","False","False","False","True","False","False","False","REJECTED_DISCOVERY_GATE"
