"Candidate","MomentumRiskPercent","DIThreshold","Older2015To2018Net","Net2019","PF2019","Net2020","PF2020","Repair2019To2020Net","Continuous2015To2020Net","ContinuousProfitFactor","ContinuousExpectedPayoff","ContinuousTrades","ContinuousMaxDrawdownPercent","ContinuousReturnToDrawdown","BaseGatePass","FailedBaseGates","FamilyDiscoveryPass","Decision"
"dir_mo015_di12_control","0.15","-12","814.7","-4.98","0.98","-100.47","0.77","-105.45","694.13","1.42","3.09","225","2.77","2.51","False","2020-net;2020-pf;repair-sum;continuous-pf","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dir_mo015_di10_center","0.15","-10","663.37","-4.98","0.98","66.3","1.25","61.32","719.25","1.51","3.33","216","1.49","4.83","True","","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dir_mo015_di08_strict","0.15","-8","566.94","26.32","1.13","163.81","1.9","190.13","736.17","1.57","3.51","210","1.11","6.63","True","","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dir_mo020_di12_control","0.2","-12","936.3","-2.17","0.99","-82.98","0.84","-85.15","889.12","1.41","3.95","225","3.05","2.92","False","2020-net;2020-pf;repair-sum;continuous-pf;drawdown","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dir_mo020_di10_center","0.2","-10","816.88","-2.17","0.99","83.79","1.24","81.62","954.8","1.49","4.42","216","1.74","5.49","False","continuous-pf","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"dir_mo020_di08_strict","0.2","-8","707.08","29.13","1.1","179.59","1.66","208.72","939.03","1.52","4.47","210","1.44","6.52","True","","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
