Window,Lane,Trades,NetProfit,MaximumInitialRiskPercent,Outcome
2019,MTSM,24,-3.11,0.0995,Losing
2019,DDB,1,6.26,0.1784,Profitable
2019,RRO,0,0.00,,Inactive
2019,Primary,0,0.00,,Inactive
2022,MTSM,25,-48.12,0.0996,Losing
2022,RRO,2,87.90,0.3087,Profitable
2022,DDB,0,0.00,,Inactive
2022,Primary,0,0.00,,Inactive
