"Profile","Parsed","Expected","StatsParsed","ActiveWindows","ZeroTradeWindows","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows","TotalTrades","WorstEquityDrawdownPct","MinProfitFactor","AvgProfitFactor","ProfitFactorNonZeroSamples","MinNonZeroProfitFactor","AvgNonZeroProfitFactor","MinRecoveryFactor","AvgSharpeRatio"
"current","9","9","9","9","0","6898.84","1195.69","955.21","214.3","1353.53","","214.3","0","53","30.9408","0","5.2194","8","1.4914","5.8719","0.3948","10.2739"
"mar200_may220","9","9","9","9","0","5659.05","993.28","1238.4","105.51","993.28","","-196.16","1","55","28.6598","0","2.5618","7","1.1572","3.2938","-0.8363","3.871"
"mar175_may280","9","9","9","9","0","4046.9","464.46","1032.92","-8.6","464.46","","-8.6","2","34","30.9408","0.8924","2.9555","9","0.8924","2.9555","-0.0319","1.7425"
"mar150_may280","9","9","9","9","0","3527.75","395.91","901.82","-8.35","395.91","","-8.35","2","34","30.9408","0.8775","3.1226","9","0.8775","3.1226","-0.0368","1.7677"
"mar150_may240","9","9","9","9","0","3444.76","395.91","931.99","-8.35","395.91","","-8.35","2","34","35.9388","0.8775","3.0868","9","0.8775","3.0868","-0.0368","1.714"
"mar125_may280","9","9","9","9","0","2461.79","73.92","691.74","262.02","73.92","","-122.22","1","46","30.9408","0","3.3507","8","1.3078","3.7696","-1","2.0491"
