"QueueRank","Candidate","CandidateRank","Family","Role","Phase","Window","From","To","Model","Deposit","SignalTimeframe","ATRPeriod","ADXPeriod","RSIPeriod","BollingerPeriod","VWAPLookbackBars","StopLookbackBars","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"11","rvtf_m30_duration","4","m30","duration_normalized","reversion_timeframe_transfer_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","30","28","28","28","40","96","10","rvtf_m30_duration_discovery_2019_2020_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\011_rvtf_m30_duration_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\011_rvtf_m30_duration_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_duration_discovery_2019_2020_m1","B1FDF530066540D4C9A7BDFBEA30218AA3F0DD5DDCFA83A5E21CCF53193F4ACD","5731AEBD362C20174809224098121934DDFCF236AE140BE3C53B9744FEE4AD53","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
"12","rvtf_m30_duration","4","m30","duration_normalized","reversion_timeframe_transfer_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","30","28","28","28","40","96","10","rvtf_m30_duration_continuous_2015_2020_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\012_rvtf_m30_duration_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\012_rvtf_m30_duration_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_m30_duration_continuous_2015_2020_m1","E656CFBE080F122472CC9FE0EFB245F964EF82C04FB3C266501E3CBA562AF01F","5731AEBD362C20174809224098121934DDFCF236AE140BE3C53B9744FEE4AD53","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
"13","rvtf_h2_local","5","h2","local_bars","reversion_timeframe_transfer_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","16386","14","14","14","20","48","5","rvtf_h2_local_older_2015_2018_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\013_rvtf_h2_local_older_2015_2018_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\013_rvtf_h2_local_older_2015_2018_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_local_older_2015_2018_m1","9A476966FD530ACE2663489A6E30A69FF423DBB0FC31934F7FD431CD3DB96307","4892043C0AEE0FE468AE7D5A2098B87792676ED7E54253636EA15C1EE2F9F53D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
"14","rvtf_h2_local","5","h2","local_bars","reversion_timeframe_transfer_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","16386","14","14","14","20","48","5","rvtf_h2_local_discovery_2019_2020_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\014_rvtf_h2_local_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\014_rvtf_h2_local_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_local_discovery_2019_2020_m1","AA5DF12D807EEABB213B737CFE504803DAB987C461EF4294F9D97C952D36ACFC","4892043C0AEE0FE468AE7D5A2098B87792676ED7E54253636EA15C1EE2F9F53D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
"15","rvtf_h2_local","5","h2","local_bars","reversion_timeframe_transfer_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","16386","14","14","14","20","48","5","rvtf_h2_local_continuous_2015_2020_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\015_rvtf_h2_local_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\015_rvtf_h2_local_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_local_continuous_2015_2020_m1","AB4AB131FC49DEBB074EEF491BF708A6605659787BAF39291DEF6B7A62AD9DB0","4892043C0AEE0FE468AE7D5A2098B87792676ED7E54253636EA15C1EE2F9F53D","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
"16","rvtf_h2_mid","6","h2","mid_duration","reversion_timeframe_transfer_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","16386","11","11","11","15","36","4","rvtf_h2_mid_older_2015_2018_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\016_rvtf_h2_mid_older_2015_2018_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\016_rvtf_h2_mid_older_2015_2018_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_mid_older_2015_2018_m1","762DA47BC1329124CD27E9458691BD8D0D9FAE438A02217DC947271895F3E76F","AD99EA0DFEB94B0C877184EBF67E7D8A29B5F13610D4AEFE941E8AD51D47D12E","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
"17","rvtf_h2_mid","6","h2","mid_duration","reversion_timeframe_transfer_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","16386","11","11","11","15","36","4","rvtf_h2_mid_discovery_2019_2020_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\017_rvtf_h2_mid_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\017_rvtf_h2_mid_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_mid_discovery_2019_2020_m1","17D57764689B31FBFB1F2BA2A1D9B838ECA9A6E8ECA5DADDE8D68BBE8FD01895","AD99EA0DFEB94B0C877184EBF67E7D8A29B5F13610D4AEFE941E8AD51D47D12E","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
"18","rvtf_h2_mid","6","h2","mid_duration","reversion_timeframe_transfer_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","16386","11","11","11","15","36","4","rvtf_h2_mid_continuous_2015_2020_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\018_rvtf_h2_mid_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\018_rvtf_h2_mid_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_mid_continuous_2015_2020_m1","E277EAF0947D99A73AA2FCE6BC9F960889DA0B653834FD62F7F15741597AA951","AD99EA0DFEB94B0C877184EBF67E7D8A29B5F13610D4AEFE941E8AD51D47D12E","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
"19","rvtf_h2_duration","7","h2","duration_normalized","reversion_timeframe_transfer_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","16386","7","7","7","10","24","3","rvtf_h2_duration_older_2015_2018_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\019_rvtf_h2_duration_older_2015_2018_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\019_rvtf_h2_duration_older_2015_2018_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_duration_older_2015_2018_m1","D79E4448B3DFE918290063155625258C8DE2BEE01D479E76C653BAE1BDB7B6FF","F084498C72E10AF70D5AEF9F9D2A742A581338D89F7557D77CD62DDD268E5B59","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
"20","rvtf_h2_duration","7","h2","duration_normalized","reversion_timeframe_transfer_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","16386","7","7","7","10","24","3","rvtf_h2_duration_discovery_2019_2020_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\020_rvtf_h2_duration_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\020_rvtf_h2_duration_discovery_2019_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_duration_discovery_2019_2020_m1","FFB267ECDD9D4352B8259C41301E60A2D20259CFC15E5C6EC03873CF77B53567","F084498C72E10AF70D5AEF9F9D2A742A581338D89F7557D77CD62DDD268E5B59","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
"21","rvtf_h2_duration","7","h2","duration_normalized","reversion_timeframe_transfer_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","16386","7","7","7","10","24","3","rvtf_h2_duration_continuous_2015_2020_m1","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\021_rvtf_h2_duration_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\configs\021_rvtf_h2_duration_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_timeframe_transfer_discovery_model1_package\reports_here\rvtf_h2_duration_continuous_2015_2020_m1","FAC56FF5CD6209984689295FB18567316C5632ED32031C4DE7BF46B51F669EB7","F084498C72E10AF70D5AEF9F9D2A742A581338D89F7557D77CD62DDD268E5B59","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Discovery only. A timeframe family may open post-2020 holdout only when at least two of its three fixed horizon interpretations are profitable in both disjoint eras, continuous PF >= 1.50, at least 24 trades, DD <= 1.50%, recovery >= 2.0, and at least one supported row improves isolated-H1 continuous net by >= 10% and CAGR by >= 0.10 point without fewer trades. No threshold rescue, risk increase, minimum-lot forcing, or Model 4 run after failure."
