"Profile","Parsed","Expected","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows"
"mar1_may2p50","7","7","3490.97","1277.57","158.91","214.3","1277.57","562.62","0","0"
"mar1_may1p00","7","7","3265.99","1277.57","158.91","214.3","1277.57","337.64","0","0"
