"QueueRank","Candidate","Phase","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","RunLabel","Role","LiquidityLookbackBars","MinimumBodyPercent","UsePostLossQuarantine","PostLossQuarantineDays","RiskPercent","EntryStartHour","EntryEndHour","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"11","tlr_q07","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","tlr_q07_repair_2020_m1","PARSED","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_q07_repair_2020_m1.htm","EBE2468B330C2F508116A146961070799F734684158AD76411A9DD83B15D11B6","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","quarantine_neighbor","12","20.0","true","7","0.10","9","11","10000","365","0.9993","88.04","10088.04","0.88","0.88","0.88","2.16","5.18","4.67","47.06","17","4","92.53","0.92","0.9515"
"12","tlr_q07","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","tlr_q07_continuous_2015_2020_m1","PARSED","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_q07_continuous_2015_2020_m1.htm","EBE2468B330C2F508116A146961070799F734684158AD76411A9DD83B15D11B6","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","quarantine_neighbor","12","20.0","true","7","0.10","9","11","10000","2191","5.9986","-31.32","9968.68","-0.31","-0.05","-0.05","0.92","-0.45","-1.3","37.68","69","9","178.21","1.78","-0.1757"
"13","tlr_q21","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","tlr_q21_older_2015_2018_m1","PARSED","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_q21_older_2015_2018_m1.htm","AD429CB88A011C2AF32912E0FD1B96131E0233E2896B20E397B8EA66655AAF2C","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","quarantine_neighbor","12","20.0","true","21","0.10","9","11","10000","1460","3.9973","-121.28","9878.72","-1.21","-0.3","-0.3","0.36","-4.33","-5","25","28","7","156.12","1.56","-0.7768"
"14","tlr_q21","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","tlr_q21_repair_2019_m1","PARSED","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_q21_repair_2019_m1.htm","AD429CB88A011C2AF32912E0FD1B96131E0233E2896B20E397B8EA66655AAF2C","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","quarantine_neighbor","12","20.0","true","21","0.10","9","11","10000","364","0.9966","49.83","10049.83","0.5","0.5","0.5","2.17","3.83","4.02","61.54","13","2","51.68","0.51","0.9642"
"15","tlr_q21","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","tlr_q21_repair_2020_m1","PARSED","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_q21_repair_2020_m1.htm","AD429CB88A011C2AF32912E0FD1B96131E0233E2896B20E397B8EA66655AAF2C","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","quarantine_neighbor","12","20.0","true","21","0.10","9","11","10000","365","0.9993","5.83","10005.83","0.06","0.06","0.06","1.1","0.45","0.28","46.15","13","4","88.01","0.87","0.0662"
"16","tlr_q21","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","tlr_q21_continuous_2015_2020_m1","PARSED","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_q21_continuous_2015_2020_m1.htm","AD429CB88A011C2AF32912E0FD1B96131E0233E2896B20E397B8EA66655AAF2C","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","quarantine_neighbor","12","20.0","true","21","0.10","9","11","10000","2191","5.9986","-65.62","9934.38","-0.66","-0.11","-0.11","0.77","-1.22","-3.71","38.89","54","7","156.12","1.56","-0.4203"
"17","tlr_body30","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","tlr_body30_older_2015_2018_m1","PARSED","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_body30_older_2015_2018_m1.htm","4895B9DF34E1D8292DBE31825C6C11EE0131A2FD6F16E1A4D4919693023C5360","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","structural_neighbor","12","30.0","true","14","0.10","9","11","10000","1460","3.9973","-98.71","9901.29","-0.99","-0.25","-0.25","0.35","-4.29","-5","26.09","23","9","103.81","1.04","-0.9509"
"18","tlr_body30","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","tlr_body30_repair_2019_m1","PARSED","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_body30_repair_2019_m1.htm","4895B9DF34E1D8292DBE31825C6C11EE0131A2FD6F16E1A4D4919693023C5360","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","structural_neighbor","12","30.0","true","14","0.10","9","11","10000","364","0.9966","-39.39","9960.61","-0.39","-0.4","-0.4","0.36","-3.58","-4.65","36.36","11","4","67.23","0.67","-0.5859"
"19","tlr_body30","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","tlr_body30_repair_2020_m1","PARSED","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_body30_repair_2020_m1.htm","4895B9DF34E1D8292DBE31825C6C11EE0131A2FD6F16E1A4D4919693023C5360","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","structural_neighbor","12","30.0","true","14","0.10","9","11","10000","365","0.9993","12.25","10012.25","0.12","0.12","0.12","1.23","0.94","0.5","53.85","13","3","88.01","0.87","0.1392"
"20","tlr_body30","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","tlr_body30_continuous_2015_2020_m1","PARSED","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_body30_continuous_2015_2020_m1.htm","4895B9DF34E1D8292DBE31825C6C11EE0131A2FD6F16E1A4D4919693023C5360","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","structural_neighbor","12","30.0","true","14","0.10","9","11","10000","2191","5.9986","-122.55","9877.45","-1.23","-0.2","-0.21","0.53","-2.61","-5","36.17","47","9","156.96","1.57","-0.7808"
"21","tlr_lookback08","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","tlr_lookback08_older_2015_2018_m1","PARSED","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_lookback08_older_2015_2018_m1.htm","55D7E95BE26CB65C6804549003050DDCA14B793001CB184474CB4FEDEC97504A","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","structural_neighbor","8","20.0","true","14","0.10","9","11","10000","1460","3.9973","-83.04","9916.96","-0.83","-0.21","-0.21","0.6","-2.37","-5","34.29","35","4","132.86","1.33","-0.625"
"22","tlr_lookback08","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","tlr_lookback08_repair_2019_m1","PARSED","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_lookback08_repair_2019_m1.htm","55D7E95BE26CB65C6804549003050DDCA14B793001CB184474CB4FEDEC97504A","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","structural_neighbor","8","20.0","true","14","0.10","9","11","10000","364","0.9966","21.29","10021.29","0.21","0.21","0.21","1.3","1.33","2.54","50","16","4","76.19","0.76","0.2794"
"23","tlr_lookback08","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","tlr_lookback08_repair_2020_m1","PARSED","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_lookback08_repair_2020_m1.htm","55D7E95BE26CB65C6804549003050DDCA14B793001CB184474CB4FEDEC97504A","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","structural_neighbor","8","20.0","true","14","0.10","9","11","10000","365","0.9993","-2.39","9997.61","-0.02","-0.02","-0.02","0.97","-0.15","-0.16","50","16","3","93.87","0.93","-0.0255"
"24","tlr_lookback08","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","tlr_lookback08_continuous_2015_2020_m1","PARSED","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_lookback08_continuous_2015_2020_m1.htm","55D7E95BE26CB65C6804549003050DDCA14B793001CB184474CB4FEDEC97504A","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","structural_neighbor","8","20.0","true","14","0.10","9","11","10000","2191","5.9986","-64.14","9935.86","-0.64","-0.11","-0.11","0.82","-0.96","-3.07","41.79","67","4","132.86","1.33","-0.4828"
"25","tlr_lookback20","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","tlr_lookback20_older_2015_2018_m1","PARSED","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_lookback20_older_2015_2018_m1.htm","BA584CEB4366EC45DAA198BAA6F58793F0128C7C54B23DD7CF337B8A617CC51C","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","structural_neighbor","20","20.0","true","14","0.10","9","11","10000","1460","3.9973","-125.25","9874.75","-1.25","-0.31","-0.31","0.23","-5.01","-5","28","25","8","130.35","1.3","-0.9609"
"26","tlr_lookback20","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","tlr_lookback20_repair_2019_m1","PARSED","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_lookback20_repair_2019_m1.htm","BA584CEB4366EC45DAA198BAA6F58793F0128C7C54B23DD7CF337B8A617CC51C","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","structural_neighbor","20","20.0","true","14","0.10","9","11","10000","364","0.9966","39.04","10039.04","0.39","0.39","0.39","1.74","3","3.13","53.85","13","2","61.47","0.61","0.6351"
"27","tlr_lookback20","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","tlr_lookback20_repair_2020_m1","PARSED","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_lookback20_repair_2020_m1.htm","BA584CEB4366EC45DAA198BAA6F58793F0128C7C54B23DD7CF337B8A617CC51C","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","structural_neighbor","20","20.0","true","14","0.10","9","11","10000","365","0.9993","-32.1","9967.9","-0.32","-0.32","-0.32","0.45","-2.68","-1.73","41.67","12","3","123.58","1.22","-0.2598"
"28","tlr_lookback20","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","tlr_lookback20_continuous_2015_2020_m1","PARSED","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_lookback20_continuous_2015_2020_m1.htm","BA584CEB4366EC45DAA198BAA6F58793F0128C7C54B23DD7CF337B8A617CC51C","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","structural_neighbor","20","20.0","true","14","0.10","9","11","10000","2191","5.9986","-118.31","9881.69","-1.18","-0.2","-0.2","0.57","-2.37","-5","38","50","8","135.47","1.35","-0.8733"
