"QueueRank","Candidate","CandidateRank","SourceType","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","BoxLookbackBars","MaximumBoxRangeATR","MaximumAverageBoxBarRangeATR","MinimumExpansionRatio","MinimumBreakBodyPercent","TakeProfitR","UseVolume","UseTrend","UseADX","StopRule","Status","ReportPath","ReportSha256","ReportSourceIdentityPass","ReportDisposition","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"11","m30ce_boxmax150","4","independent_m30_compression_expansion","discovery_model1","m30ce_boxmax150.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_m30ce_boxmax150_discovery_2019_2020_m1.ini","m30ce_boxmax150_discovery_2019_2020_m1","profiles\m30ce_boxmax150.set","2ED905B8B172D6C33DB2C7784976CD19D72FA93F32B67B271F9855E30305315C","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","10","1.50","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_boxmax150_discovery_2019_2020_m1.htm","2C86F2AFCE95908EA8A03CC5D541F2B240774306F1EAB4AFF92120B77FCB4558","True","FIRST_VALID_EXPORT","10000","730","1.9986","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"12","m30ce_boxmax150","4","independent_m30_compression_expansion","discovery_model1","m30ce_boxmax150.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_m30ce_boxmax150_continuous_2015_2020_m1.ini","m30ce_boxmax150_continuous_2015_2020_m1","profiles\m30ce_boxmax150.set","2ED905B8B172D6C33DB2C7784976CD19D72FA93F32B67B271F9855E30305315C","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","10","1.50","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_boxmax150_continuous_2015_2020_m1.htm","567A0CB10BD25008FE30C62D76F96B8DB20475AB7BEB30CE0F7306E68F12529C","True","FIRST_VALID_EXPORT","10000","2191","5.9986","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"13","m30ce_boxmax210","5","independent_m30_compression_expansion","discovery_model1","m30ce_boxmax210.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_m30ce_boxmax210_older_2015_2018_m1.ini","m30ce_boxmax210_older_2015_2018_m1","profiles\m30ce_boxmax210.set","B0AD5B3C17F5A6B6AF1AF47FEE09FC22DC9B91EBBB4A1D276B76299435014E03","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","10","2.10","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_boxmax210_older_2015_2018_m1.htm","540F4656D431CAD0015A52CD93F35E49B31CAD3152F4B5117B078E284735F1AF","True","FIRST_VALID_EXPORT","10000","1460","3.9973","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"14","m30ce_boxmax210","5","independent_m30_compression_expansion","discovery_model1","m30ce_boxmax210.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_m30ce_boxmax210_discovery_2019_2020_m1.ini","m30ce_boxmax210_discovery_2019_2020_m1","profiles\m30ce_boxmax210.set","B0AD5B3C17F5A6B6AF1AF47FEE09FC22DC9B91EBBB4A1D276B76299435014E03","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","10","2.10","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_boxmax210_discovery_2019_2020_m1.htm","B4BFC18B8D8214647B3D6158FC49DBEEA46150F3010FC7EB0ED0473700384DAB","True","FIRST_VALID_EXPORT","10000","730","1.9986","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"15","m30ce_boxmax210","5","independent_m30_compression_expansion","discovery_model1","m30ce_boxmax210.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_m30ce_boxmax210_continuous_2015_2020_m1.ini","m30ce_boxmax210_continuous_2015_2020_m1","profiles\m30ce_boxmax210.set","B0AD5B3C17F5A6B6AF1AF47FEE09FC22DC9B91EBBB4A1D276B76299435014E03","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","10","2.10","0.45","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_boxmax210_continuous_2015_2020_m1.htm","CF956071572B74C9D66B67E018CBB528469C2F3E90FBEBBF1E27369D03C8DC60","True","FIRST_VALID_EXPORT","10000","2191","5.9986","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"16","m30ce_avg035","6","independent_m30_compression_expansion","discovery_model1","m30ce_avg035.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_m30ce_avg035_older_2015_2018_m1.ini","m30ce_avg035_older_2015_2018_m1","profiles\m30ce_avg035.set","8C05DB9A3CA87AC84028601237192BC642406B0C3689CE41C0D26BA93281C218","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","10","1.80","0.35","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_avg035_older_2015_2018_m1.htm","84AA5FED9E8A3BAFE1E26BFD5E2EBE2C49CA8B2A25CDFC3D31CD4E4C79DCD76B","True","FIRST_VALID_EXPORT","10000","1460","3.9973","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"17","m30ce_avg035","6","independent_m30_compression_expansion","discovery_model1","m30ce_avg035.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_m30ce_avg035_discovery_2019_2020_m1.ini","m30ce_avg035_discovery_2019_2020_m1","profiles\m30ce_avg035.set","8C05DB9A3CA87AC84028601237192BC642406B0C3689CE41C0D26BA93281C218","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","10","1.80","0.35","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_avg035_discovery_2019_2020_m1.htm","50E92D595F095D3130D655B9C17EF306AF101BFAEC1791CC421B74AF5E4C085E","True","FIRST_VALID_EXPORT","10000","730","1.9986","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"18","m30ce_avg035","6","independent_m30_compression_expansion","discovery_model1","m30ce_avg035.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_m30ce_avg035_continuous_2015_2020_m1.ini","m30ce_avg035_continuous_2015_2020_m1","profiles\m30ce_avg035.set","8C05DB9A3CA87AC84028601237192BC642406B0C3689CE41C0D26BA93281C218","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","10","1.80","0.35","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_avg035_continuous_2015_2020_m1.htm","8446B5BA7448A3FBC8F94C662E8F943BC116A2D01A68442431DCD5805D43BADE","True","FIRST_VALID_EXPORT","10000","2191","5.9986","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"19","m30ce_avg055","7","independent_m30_compression_expansion","discovery_model1","m30ce_avg055.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_m30ce_avg055_older_2015_2018_m1.ini","m30ce_avg055_older_2015_2018_m1","profiles\m30ce_avg055.set","B5439F9602A24A343E217B83434AE565CED01DEE1CF6BD39BFA437DC512D263F","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","10","1.80","0.55","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_avg055_older_2015_2018_m1.htm","82E36F0656DE4A2371E19BBDEBA0A780D4F41D7EEA81D2AAEEF230B455AB6641","True","FIRST_VALID_EXPORT","10000","1460","3.9973","-9.43","9990.57","-0.09","-0.02","-0.02","0.63","-2.36","-0.22","25","4","3","25.96","0.26","25.68","25.96","-0.3633"
"20","m30ce_avg055","7","independent_m30_compression_expansion","discovery_model1","m30ce_avg055.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_m30ce_avg055_discovery_2019_2020_m1.ini","m30ce_avg055_discovery_2019_2020_m1","profiles\m30ce_avg055.set","B5439F9602A24A343E217B83434AE565CED01DEE1CF6BD39BFA437DC512D263F","15F22472BE6FCF3AD195B212727C55EEF1669CD961F25422DD6F6EC397462440","10","1.80","0.55","1.40","35.0","1.75","false","false","false","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 100, DD <= 5%, and an adjacent compression/payoff shape must pass before opening 2021-2026.","PARSED","outputs\independent_m30_compression_expansion_discovery_model1_package\reports_here\m30ce_avg055_discovery_2019_2020_m1.htm","6D1BFC5A742EC75CF5C69B9AD331281801895C75033786E0BAEB533AFCEC0621","True","FIRST_VALID_EXPORT","10000","730","1.9986","18.48","10018.48","0.18","0.09","0.09","3.21","6.16","0.61","66.67","3","1","15.44","0.15","8.36","15.44","1.1969"
