"Window","EntryTime","ExitTime","Year","Month","MonthName","Ticket","Bias","Lane","EntryReason","ExitReason","Volume","EntryPrice","ExitPrice","EntryRR","RealizedR","Profit","EntryATR","EntrySpread","MaxFavorableR","MaxAdverseR","HeldBars","IsWin"
"2019_full","2019-03-08 16:45:00","2019-03-08 18:16:40","2019","3","2019-03","2","sell","DiagnosticFallback","Diagnostic trend fallback;","sl 1298.85","0.05","1297.07","1298.85","1.53","-4.22","-8.9","1.84","21","0.3","-0.3","6","0"
"2019_full","2019-08-05 09:00:00","2019-08-05 09:14:40","2019","8","2019-08","4","sell","DiagnosticFallback","Diagnostic trend fallback;","sl 1456.77","0.06","1452.81","1456.77","2.14","-10.01","-23.76","2.42","23",,,"0","0"
"2019_full","2019-08-06 07:30:00","2019-08-06 10:40:40","2019","8","2019-08","6","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 1459.25","0.05","1460.83","1459.25","2.47","-3.51","-7.9","3.18","25","0.53","-0.21","12","0"
"2019_full","2019-08-12 10:15:00","2019-08-12 10:23:40","2019","8","2019-08","8","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 1489.61","0.07","1492.68","1489.61","1.54","-10","-21.49","1.35","24",,,"0","0"
"2019_full","2019-11-12 16:30:00","2019-11-12 17:00:20","2019","11","2019-11","10","sell","ISLP","In-session liquidity pullback score 9;ISLP fast EMA;ISLP trend EMA;ISLP EMA pullback;ISLP VWAP pullback;ISLP liquidity/retest;ISLP order flow;ISLP;In-session liquidity pullback;Liquidity sweep;Diagnostic trend fallback;In-session liquidity pullback lane;Flat month opportunity x1.15;","tp 1451.92","0.08","1454.64","1451.92","2.06","20.58","21.76","2.01","21","1.8","0.47","2","1"
"2021_full","2021-03-03 07:15:00","2021-03-03 09:17:40","2021","3","2021-03","2","sell","LiquiditySweep","Liquidity sweep;","sl 1734.01","0.1","1735.05","1734.01","2.02","4.27","10.4","1.4","5","1.4","0.42","8","1"
"2021_full","2021-03-04 07:15:00","2021-03-04 07:36:40","2021","3","2021-03","4","sell","LiquiditySweep","Liquidity sweep;Diagnostic trend fallback;","sl 1717.44","0.09","1714.64","1717.44","2.83","-9.98","-25.2","2.27","12","-0.09","-0.09","1","0"
"2021_full","2021-05-04 08:45:00","2021-05-04 09:12:40","2021","5","2021-05","6","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 1785.19","0.09","1786.64","1785.19","1.7","-5.43","-13.05","1.3","4","0.23","0.23","1","0"
"2021_full","2021-05-05 07:45:00","2021-05-05 09:20:40","2021","5","2021-05","8","sell","DiagnosticFallback","Diagnostic trend fallback;","tp 1777.34","0.09","1781.26","1777.34","1.57","15.66","35.28","1.12","5","1.16","0.17","6","1"
"2021_full","2021-05-06 13:00:00","2021-05-06 14:03:40","2021","5","2021-05","10","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 1790.19","0.08","1793.48","1790.19","1.97","-9.78","-26.32","1.89","1","-0.15","-0.6","4","0"
"2021_full","2021-07-12 15:30:00","2021-07-12 16:10:40","2021","7","2021-07","12","buy","FMR","Flat month micro reversion score 7;FMR liquidity;FMR rejection;FMR location extreme;FMR VWAP;Flat month micro reversion;Diagnostic trend fallback;Range reversion stop/target;Range reversion trade RR 0.89;Flat month opportunity x1.15;","tp 1804.25","0.03","1801.55","1804.25","0.89","8.93","8.1","2.13","6","0.4","0.19","2","1"
"2021_full","2021-08-03 14:00:00","2021-08-03 15:15:20","2021","8","2021-08","14","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 1808.23","0.07","1811.07","1808.23","1.54","-8.67","-19.88","1.44","17","-0.19","-0.77","5","0"
"2021_full","2021-08-04 10:00:00","2021-08-04 11:36:40","2021","8","2021-08","16","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 1812.34","0.08","1814.29","1812.34","1.54","-7.12","-15.6","1.2","20","0.15","-0.36","6","0"
"2021_full","2021-08-09 08:00:00","2021-08-09 08:28:40","2021","8","2021-08","18","sell","DiagnosticFallback","Diagnostic trend fallback;","sl 1742.95","0.05","1738.61","1742.95","2.71","-10","-21.7","3.37","8","-0.32","-0.32","1","0"
"2021_full","2021-10-18 15:45:00","2021-10-18 16:28:40","2021","10","2021-10","20","buy","FMR","Flat month micro reversion score 7;FMR liquidity;FMR rejection;FMR location extreme;FMR VWAP;Flat month micro reversion;Range reversion stop/target;Range reversion trade RR 0.92;Flat month opportunity x1.15;","tp 1768.21","0.02","1765.05","1768.21","0.92","9.16","6.32","2.6","5","0.03","-0.04","2","1"
"2022_full","2022-03-03 07:30:00","2022-03-03 09:20:40","2022","3","2022-03","2","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 1925.45","0.12","1923.78","1925.45","3.24","8.29","20.04","1.87","5","2.47","0.69","7","1"
"2022_full","2022-03-04 08:15:00","2022-03-04 10:12:40","2022","3","2022-03","4","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 1934.89","0.08","1936.91","1934.89","2.5","-6.58","-16.16","2.19","5","0.52","-0.77","7","0"
"2022_full","2022-05-03 09:45:00","2022-05-03 09:56:20","2022","5","2022-05","6","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 1856.75","0.07","1859.97","1856.75","2.24","-10.01","-22.54","2.06","9",,,"0","0"
"2022_full","2022-05-04 07:30:00","2022-05-04 09:57:40","2022","5","2022-05","8","sell","DiagnosticFallback","Diagnostic trend fallback;","sl 1865.62","0.06","1863.53","1865.62","1.61","-5.83","-12.54","1.65","9","0.11","-0.62","9","0"
"2022_full","2022-05-09 15:45:00","2022-05-09 16:18:40","2022","5","2022-05","10","sell","LiquiditySweep","Liquidity sweep;Diagnostic trend fallback;","sl 1870.03","0.03","1866.11","1870.03","1.75","-5.4","-11.76","3.63","9","0.22","-0.48","2","0"
"2022_full","2022-07-15 08:45:00","2022-07-15 09:07:40","2022","7","2022-07","12","buy","FMR","Flat month micro reversion score 7;FMR liquidity;FMR rejection;FMR location extreme;FMR VWAP;Flat month micro reversion;Diagnostic trend fallback;Range reversion stop/target;Range reversion trade RR 1.12;Flat month opportunity x1.15;","sl 1707.28","0.04","1709.36","1707.28","1.12","-10.01","-8.32","2.09","8","0.07","0.07","1","0"
"2022_full","2022-08-03 09:45:00","2022-08-03 13:24:40","2022","8","2022-08","14","sell","DiagnosticFallback","Diagnostic trend fallback;","tp 1761.30","0.06","1767.25","1761.3","1.51","15.1","35.7","1.7","8","0.68","-0.19","14","1"
"2022_full","2022-08-04 16:45:00","2022-08-04 18:21:40","2022","8","2022-08","16","buy","LiquiditySweep","Liquidity sweep;Diagnostic trend fallback;","tp 1788.54","0.05","1777.89","1788.54","2.33","23.27","53.25","3.04","1","1.79","1.23","6","1"
"2022_full","2022-08-05 08:30:00","2022-08-05 09:13:40","2022","8","2022-08","18","buy","LiquiditySweep","Liquidity sweep;Diagnostic trend fallback;","sl 1790.29","0.09","1791","1790.29","1.73","-2.63","-6.39","1.33","7","0.54","0.16","2","0"
"2022_full","2022-08-05 10:45:00","2022-08-05 14:53:40","2022","8","2022-08","20","sell","DiagnosticFallback","Diagnostic trend fallback;","sl 1788.12","0.06","1789.71","1788.12","1.55","3.94","9.54","1.79","8","1.17","-0.22","16","1"
"2022_full","2022-08-08 09:15:00","2022-08-08 10:10:40","2022","8","2022-08","22","sell","DiagnosticFallback","Diagnostic trend fallback;","sl 1776.41","0.09","1773.63","1776.41","1.63","-10","-25.02","1.29","10","-0.38","-0.5","3","0"
"2022_full","2022-08-09 10:45:00","2022-08-09 11:03:40","2022","8","2022-08","24","buy","DiagnosticFallback","Diagnostic trend fallback;","tp 1789.84","0.16","1784.78","1789.84","3.24","32.39","80.96","1.45","10","1.47","1.47","1","1"
"2022_full","2022-08-10 08:45:00","2022-08-10 08:59:40","2022","8","2022-08","26","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 1788.30","0.13","1790.31","1788.3","1.64","-10","-26.13","0.94","10",,,"0","0"
"2022_full","2022-08-15 07:00:00","2022-08-15 08:21:40","2022","8","2022-08","28","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 1793.47","0.13","1795.5","1793.47","2.83","-9.98","-26.39","1.65","10","-0.51","-0.8","5","0"
"2022_full","2022-08-24 08:30:00","2022-08-24 09:20:40","2022","8","2022-08","30","sell","LiquiditySweep","Liquidity sweep;","sl 1746.37","0.24","1747.67","1746.37","3.24","12.36","31.2","0.97","10","2.14","0.78","3","1"
"2022_full","2022-08-25 13:45:00","2022-08-25 15:00:40","2022","8","2022-08","32","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 1762.16","0.07","1763.17","1762.16","1.74","-2.85","-7.07","1.77","10","0.52","-0.19","5","0"
"2022_full","2022-08-26 08:00:00","2022-08-26 09:05:20","2022","8","2022-08","34","sell","DiagnosticFallback","Diagnostic trend fallback;","sl 1757.16","0.12","1755.75","1757.16","1.96","-6.67","-16.92","1.19","10","0.16","-0.21","4","0"
"2022_full","2022-08-29 14:15:00","2022-08-29 15:21:20","2022","8","2022-08","36","sell","DiagnosticFallback","Diagnostic trend fallback;","sl 1729.74","0.11","1728.16","1729.74","3.24","-7.1","-17.38","2.06","10","0.76","0.16","4","0"
"2023_full","2023-03-03 15:30:00","2023-03-03 16:21:40","2023","3","2023-03","2","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 1844.40","0.07","1846.79","1844.4","1.8","-6.9","-16.73","1.78","8","0.14","0.05","3","0"
"2023_full","2023-03-06 14:15:00","2023-03-06 17:05:40","2023","3","2023-03","4","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 1850.35","0.09","1849.71","1850.35","2.44","2.6","5.76","1.72","8","1.36","0.16","11","1"
"2023_full","2023-03-07 09:45:00","2023-03-07 11:49:40","2023","3","2023-03","6","sell","LiquiditySweep","Liquidity sweep;Diagnostic trend fallback;","tp 1844.32","0.1","1849.91","1844.32","2.47","24.65","55.9","1.6","8","2.13","0.6","8","1"
"2023_full","2023-03-08 09:15:00","2023-03-08 09:41:40","2023","3","2023-03","8","sell","LiquiditySweep","Liquidity sweep;","sl 1815.10","0.19","1813.79","1815.1","3.24","-9.99","-24.89","1.21","8","0.03","0.03","1","0"
