"QueueRank","Candidate","Role","StrongSignalRiskEnabled","AddOnEnabled","AddOnTriggerR","AddOnPrimaryLockR","AddOnRiskPercent","AddOnEntries","Window","From","To","Model","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","rvpwa_control","control","true","false","1","0.5","0.15","0","older_2015_2018","2015.01.01","2018.12.31","1","7C071CF891E15661603A137C8FA462BA5FA5DA9155EB4FD9EE5E1E2BF9CC2228","1C28EC85646409F3C82E584AD2DA66E6A4FA936CEFAE142D09846694E5369FE2","E4F17841780D7C6DCB96FCE88AFAF17626958571AD3D4844B9C55BC804070CFD","PARSED","860.86","8.61","2.09","1.79","187","44.92","1.01","8.159","8.5248","5.1","6","21D0060863BD5F51874208B1BC2364C6C5802B0AEE7A48A74EC1FC017E54D3A3"
"2","rvpwa_control","control","true","false","1","0.5","0.15","0","later_2019_2020","2019.01.01","2020.12.31","1","7C071CF891E15661603A137C8FA462BA5FA5DA9155EB4FD9EE5E1E2BF9CC2228","1C28EC85646409F3C82E584AD2DA66E6A4FA936CEFAE142D09846694E5369FE2","E4F17841780D7C6DCB96FCE88AFAF17626958571AD3D4844B9C55BC804070CFD","PARSED","330.02","3.3","1.64","1.84","75","46.67","0.93","3.4867","3.5484","5.54","6","ED16751783FB48204DE8084835D83493EA5C3BD0A608CA733A863944899DDDAD"
"3","rvpwa_control","control","true","false","1","0.5","0.15","0","continuous_2015_2020","2015.01.01","2020.12.31","1","7C071CF891E15661603A137C8FA462BA5FA5DA9155EB4FD9EE5E1E2BF9CC2228","1C28EC85646409F3C82E584AD2DA66E6A4FA936CEFAE142D09846694E5369FE2","E4F17841780D7C6DCB96FCE88AFAF17626958571AD3D4844B9C55BC804070CFD","PARSED","1191.69","11.92","1.89","1.77","265","45.28","1.02","10.5778","11.6863","4.96","6","30BD149E849C7B283078B2C209C19394B0F7229128DC9543E50FFF158C771EC2"
"4","rvpwa_trigger075","lower_trigger","true","true","0.75","0.4","0.15","0","older_2015_2018","2015.01.01","2018.12.31","1","52FB7556AA9376923863DAD69E99236B64BEAC7095581062B93CC3FDF5B12D86","1C28EC85646409F3C82E584AD2DA66E6A4FA936CEFAE142D09846694E5369FE2","E4F17841780D7C6DCB96FCE88AFAF17626958571AD3D4844B9C55BC804070CFD","PARSED","860.86","8.61","2.09","1.79","187","44.92","1.01","8.159","8.5248","5.1","6","22E86FF525296996E0108470548C768C288BC53B8F39FE8C6E8C5A6EAA0D7212"
"5","rvpwa_trigger075","lower_trigger","true","true","0.75","0.4","0.15","0","later_2019_2020","2019.01.01","2020.12.31","1","52FB7556AA9376923863DAD69E99236B64BEAC7095581062B93CC3FDF5B12D86","1C28EC85646409F3C82E584AD2DA66E6A4FA936CEFAE142D09846694E5369FE2","E4F17841780D7C6DCB96FCE88AFAF17626958571AD3D4844B9C55BC804070CFD","PARSED","330.02","3.3","1.64","1.84","75","46.67","0.93","3.4867","3.5484","5.54","6","079814AF9A025F2AE4FF6CA5563C96D7A45E519874D5ECDA3360CDF518948A31"
"6","rvpwa_trigger075","lower_trigger","true","true","0.75","0.4","0.15","0","continuous_2015_2020","2015.01.01","2020.12.31","1","52FB7556AA9376923863DAD69E99236B64BEAC7095581062B93CC3FDF5B12D86","1C28EC85646409F3C82E584AD2DA66E6A4FA936CEFAE142D09846694E5369FE2","E4F17841780D7C6DCB96FCE88AFAF17626958571AD3D4844B9C55BC804070CFD","PARSED","1191.69","11.92","1.89","1.77","265","45.28","1.02","10.5778","11.6863","4.96","6","44402BD548E0903FC8618168BF353D0506ECC0931C023C27E6A33AB06E269E63"
"7","rvpwa_center","center","true","true","1","0.5","0.15","0","older_2015_2018","2015.01.01","2018.12.31","1","237A3DF4842CBEE84E185683B86B11651AAE03B8E2D9C1A89ADA615AFC79AE70","1C28EC85646409F3C82E584AD2DA66E6A4FA936CEFAE142D09846694E5369FE2","E4F17841780D7C6DCB96FCE88AFAF17626958571AD3D4844B9C55BC804070CFD","PARSED","860.86","8.61","2.09","1.79","187","44.92","1.01","8.159","8.5248","5.1","6","BCCE944BF40163C1241396EE1D4DD9BFEF8A851057596424B39A338E0065567F"
"8","rvpwa_center","center","true","true","1","0.5","0.15","0","later_2019_2020","2019.01.01","2020.12.31","1","237A3DF4842CBEE84E185683B86B11651AAE03B8E2D9C1A89ADA615AFC79AE70","1C28EC85646409F3C82E584AD2DA66E6A4FA936CEFAE142D09846694E5369FE2","E4F17841780D7C6DCB96FCE88AFAF17626958571AD3D4844B9C55BC804070CFD","PARSED","330.02","3.3","1.64","1.84","75","46.67","0.93","3.4867","3.5484","5.54","6","A281D596315C14B879F9D6B63CC63F06D6AFDFAB7B4445689413D2AD7E11F92A"
"9","rvpwa_center","center","true","true","1","0.5","0.15","0","continuous_2015_2020","2015.01.01","2020.12.31","1","237A3DF4842CBEE84E185683B86B11651AAE03B8E2D9C1A89ADA615AFC79AE70","1C28EC85646409F3C82E584AD2DA66E6A4FA936CEFAE142D09846694E5369FE2","E4F17841780D7C6DCB96FCE88AFAF17626958571AD3D4844B9C55BC804070CFD","PARSED","1191.69","11.92","1.89","1.77","265","45.28","1.02","10.5778","11.6863","4.96","6","CDBBE7DD7B76370A3ADEE4B69F0BD7965204BEBD2F9FB71E016B4C058FF3D4BC"
"10","rvpwa_trigger125","upper_trigger","true","true","1.25","0.75","0.15","3","older_2015_2018","2015.01.01","2018.12.31","1","80E552A1468159E224386B6AB0AF5593A5AF7E8849A12DC251DFF26FCD4664C5","1C28EC85646409F3C82E584AD2DA66E6A4FA936CEFAE142D09846694E5369FE2","E4F17841780D7C6DCB96FCE88AFAF17626958571AD3D4844B9C55BC804070CFD","PARSED","845.52","8.46","2.05","1.77","190","45.26","1.01","8.0136","8.3762","4.75","6","3999FF9D90D6FA7EC0EACF989B51E433109C80B4641124E33074800D3EFBA1A6"
"11","rvpwa_trigger125","upper_trigger","true","true","1.25","0.75","0.15","1","later_2019_2020","2019.01.01","2020.12.31","1","80E552A1468159E224386B6AB0AF5593A5AF7E8849A12DC251DFF26FCD4664C5","1C28EC85646409F3C82E584AD2DA66E6A4FA936CEFAE142D09846694E5369FE2","E4F17841780D7C6DCB96FCE88AFAF17626958571AD3D4844B9C55BC804070CFD","PARSED","215.16","2.15","1.07","1.53","75","45.33","0.93","2.2732","2.3118","4.15","6","D8D218FB9B51BD38DE73AD82153D104EAF5C79BF463BB7A23BFD67D45931792F"
"12","rvpwa_trigger125","upper_trigger","true","true","1.25","0.75","0.15","4","continuous_2015_2020","2015.01.01","2020.12.31","1","80E552A1468159E224386B6AB0AF5593A5AF7E8849A12DC251DFF26FCD4664C5","1C28EC85646409F3C82E584AD2DA66E6A4FA936CEFAE142D09846694E5369FE2","E4F17841780D7C6DCB96FCE88AFAF17626958571AD3D4844B9C55BC804070CFD","PARSED","1088.37","10.88","1.74","1.69","269","45.35","1.02","9.6607","10.6667","4.45","6","B9D3727774A6F5055756E3B45E753BFDFD9219DDF6A5F8A5EF8098F492B4BA7A"
"13","rvpwa_risk010","lower_risk","true","true","1","0.5","0.1","4","older_2015_2018","2015.01.01","2018.12.31","1","3C29545728718D496929FF65BF01A375E7AEF8DB05F442CBB949D2B3396D6287","1C28EC85646409F3C82E584AD2DA66E6A4FA936CEFAE142D09846694E5369FE2","E4F17841780D7C6DCB96FCE88AFAF17626958571AD3D4844B9C55BC804070CFD","PARSED","747.67","7.48","1.82","1.69","190","45.26","1.02","7.0862","7.3333","4.77","6","FD6DC1FECB18A0A82A394A3458A3FBD0A75FFC84E0E5C1BEE0DFF04D226CD83A"
