"FromYear","ToYear","CooldownMinutes","CooldownHours","AffectedTrades","AffectedNet","AffectedProfitFactor","MomentumControlTrades","MomentumControlNet","PortfolioControlTrades","PortfolioControlNet","OfflineProjectedPortfolioNet","OfflineProjectedImprovement","LedgerSha256"
"2015","2018","1440","24","4","-24.53","0","133","488.25","185","999.09","1023.62","24.53","6D880F634BD792281DAB72C5ACC6BF9F2C617888184881BD9AFA2D84DCEFAC40"
"2015","2018","2160","36","4","-24.53","0","133","488.25","185","999.09","1023.62","24.53","6D880F634BD792281DAB72C5ACC6BF9F2C617888184881BD9AFA2D84DCEFAC40"
"2015","2018","2880","48","7","-2.58","0.9312","133","488.25","185","999.09","1001.67","2.58","6D880F634BD792281DAB72C5ACC6BF9F2C617888184881BD9AFA2D84DCEFAC40"
"2015","2018","4320","72","9","-18.5","0.6538","133","488.25","185","999.09","1017.59","18.5","6D880F634BD792281DAB72C5ACC6BF9F2C617888184881BD9AFA2D84DCEFAC40"
