"Profile","Parsed","Expected","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows"
"block115_fmb_bal","7","7","1762.48","807.92","98.84","153.9","807.92","-106.1","-106.1","1"
"block115_fmb_strict","7","7","1762.48","807.92","98.84","153.9","807.92","-106.1","-106.1","1"
"block115","7","7","1759.56","806.46","98.84","153.9","806.46","-106.1","-106.1","1"
"block","7","7","1728.03","801.84","84.72","124.51","801.84","-84.88","-84.88","1"
"base","7","7","1557.58","801.84","84.72","124.51","801.84","-255.33","-99.55","3"
"block_fmb_bal","7","7","1695.05","785.35","84.72","124.51","785.35","-84.88","-84.88","1"
"block_fmb_range","7","7","1695.05","785.35","84.72","124.51","785.35","-84.88","-84.88","1"
"base_fmb_strict","7","7","1524.6","785.35","84.72","124.51","785.35","-255.33","-99.55","3"
"base_fmb_bal","7","7","1524.6","785.35","84.72","124.51","785.35","-255.33","-99.55","3"
"base_fmb_loose","7","7","1524.6","785.35","84.72","124.51","785.35","-255.33","-99.55","3"
