"QueueRank","Candidate","Window","Status","ConfigSha256","ProfileSha256","SourceSha256","PortableBinarySha256","ReportSha256","IdentityCreatedUtc","AddOnEntries"
"12","pwa_lookback8","continuous_2015_2020","REPORT_FOUND","ECD171089FD54D351FBA5FA050C563284E064E15A0A7461D9C23D5972AC069DC","B7CF25DE09A7B594881FB2CAF46795C92F2C5B8277EEF4E852B97C82C90D6C00","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","29E8A312B63F9AB0063D3031632D3D69CCDDA48497AC0796A20ACB5ED166EC40","2026-07-19T16:39:39.2245499Z","6"
"13","pwa_trigger100","older_2015_2018","REPORT_FOUND","EA01ADDD31D3111ADB764109814B0D5AF8631B3917A1107716DB6D0BCFC7C527","50CC443F2FE19D53EA38B15D10CD92242D7A291452B603EC4B2B7A67F0C78F42","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","5AB61E190E4ECF8A4FE632B28D714B7C73AA83F977006D3F953C1B3C034C2262","2026-07-19T16:39:59.7869516Z","8"
"14","pwa_trigger100","discovery_2019_2020","REPORT_FOUND","AA162B899916DB8207D256419815E38943FFD6E9983C7611FBA8DC05AF5487EE","50CC443F2FE19D53EA38B15D10CD92242D7A291452B603EC4B2B7A67F0C78F42","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","01FD232C1238A141638CA9019ECD610092EBF97EDB1DD2354FD64C8C499C63C9","2026-07-19T16:40:19.0071106Z","1"
"15","pwa_trigger100","continuous_2015_2020","REPORT_FOUND","9F256861D36C809366351B7FA75281B9E44FD43A47BB91C6F0F59C7FCF6D703E","50CC443F2FE19D53EA38B15D10CD92242D7A291452B603EC4B2B7A67F0C78F42","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","6E016E90BB214B253276069CFDF6E8CA1E087B8B7F5F8AB6EA82B609CAF94802","2026-07-19T16:40:40.8225189Z","9"
"16","pwa_trigger150","older_2015_2018","REPORT_FOUND","D5FBCF227ECA19BB5403C5640733FFFEF4B065FD028FCA01343BE7E404FE4A0E","C157EAA0CF21485D118D1B2D05504D6D96148F31EF10C3A048C48502B1C788A5","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","416A2DF1D9E4FFF4A77324AC99B871DABA06A0151F221F6EF776BC905A8EF2A1","2026-07-19T16:41:00.0092903Z","4"
"17","pwa_trigger150","discovery_2019_2020","REPORT_FOUND","3E0A20A5C5C5DEBEC3033DAB4F25725A4AF6FE3D8658978EE838E398A8EEF08D","C157EAA0CF21485D118D1B2D05504D6D96148F31EF10C3A048C48502B1C788A5","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","CCAC78B4A1B580A70FC829F72BBBAA727CD978E8F9B01974D7BCE16E63EF16B0","2026-07-19T16:41:17.6217293Z","1"
"18","pwa_trigger150","continuous_2015_2020","REPORT_FOUND","A32FA25FA98EED5061F454F86D3AF1D0C7568F4758AA7CCD34B6C8F7EBEF84D3","C157EAA0CF21485D118D1B2D05504D6D96148F31EF10C3A048C48502B1C788A5","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","528502CB770B6F70BCCE463E87F7F03F550D1BE96CC9E99C171D952C62ED25C5","2026-07-19T16:41:42.2257235Z","5"
"19","pwa_risk025","older_2015_2018","REPORT_FOUND","F059E9C322B810D7B1555F0EF72004916A500186B10A24B6DD13D816245D2CD7","9F7E6B4733CF0FA7EC5063385B63788E2F113F64B893034C5C9C40B95DF6B2A4","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","315EA9AF499F0F28A1587FEA73DE77B25BE9A0430B101DC676770D53E9E5B6DF","2026-07-19T16:42:05.3729567Z","1"
"20","pwa_risk025","discovery_2019_2020","REPORT_FOUND","D028E5B97FE1B395F5F83B868C1E301898DB50BCC5645AF462D6CD035CEEAC16","9F7E6B4733CF0FA7EC5063385B63788E2F113F64B893034C5C9C40B95DF6B2A4","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","195CD3F797BC40BED964E4BEB15A616150DC5F3D45840462716453ED7FEA5842","2026-07-19T16:42:22.7789067Z","0"
"21","pwa_risk025","continuous_2015_2020","REPORT_FOUND","D7A2BA7927E52E20C00315B8F8A06EFBEEB70F698A235671CF24E4B2DCA50730","9F7E6B4733CF0FA7EC5063385B63788E2F113F64B893034C5C9C40B95DF6B2A4","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","46FBB17431434B68FFEEEA181172148DBC558CFB7FA8EED2E905582F8EB6765F","2026-07-19T16:42:44.6730932Z","1"
"22","pwa_risk060","older_2015_2018","REPORT_FOUND","DCD0F3B310BB99629EE1DDC9837D9AA2AB5A7201BDFB2D65A4FF4326801573B9","C9C564F74D601FBC804172F598536FE3DEA6B92FA9E11AFCDBFA845F34A39321","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","A49095A7772446D371F6C0226E309B4DB568C1802D6B496DD4860D94A031B333","2026-07-19T16:43:05.6214317Z","5"
"23","pwa_risk060","discovery_2019_2020","REPORT_FOUND","AB105012E62214E16172FD3EE8E07716DC4B9B124595EEA7AD72836762285AC8","C9C564F74D601FBC804172F598536FE3DEA6B92FA9E11AFCDBFA845F34A39321","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","DC3A7379CB2CBDE899B8589D032548D69C513202C0D4406E805260C8C03EE934","2026-07-19T16:43:22.4347141Z","1"
"24","pwa_risk060","continuous_2015_2020","REPORT_FOUND","F2162AF768758B6B577B288B375A50834D30B283660697D46D90CF11E5A79931","C9C564F74D601FBC804172F598536FE3DEA6B92FA9E11AFCDBFA845F34A39321","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","767983AE4B1CA9D54A782BB5A195AC863BF31950D43D8D33C15EF951CA62B4F0","2026-07-19T16:43:44.2160778Z","6"
"25","pwa_coverage100","older_2015_2018","REPORT_FOUND","1872F6DCF115623AB83EED308B1CA0C478D251AF1DD5ED3B18DBE21037BE5F47","FB3DAF52BBEB768CD0CB56134DA32835B430ABE0E88BA6341298D0266D109FD9","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","C4D746F28917658CCBD187B86C2198C6F5D162851E3C2B5C1AD9F5D217CEB2D8","2026-07-19T16:44:02.1930755Z","5"
"26","pwa_coverage100","discovery_2019_2020","REPORT_FOUND","3242E414033663C9F047833454C612AD171217CCC8634A1C092177DEDD70B69C","FB3DAF52BBEB768CD0CB56134DA32835B430ABE0E88BA6341298D0266D109FD9","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","25B410DE194017A5B727CB37BB0CC04C8D19AED4EE7EEACAEDB50E5EFC0E7F97","2026-07-19T16:44:19.0442912Z","1"
"27","pwa_coverage100","continuous_2015_2020","REPORT_FOUND","7D747B1022AD4D827317B4871FF36176BA8B89E8391B0043B777EE69D628A89C","FB3DAF52BBEB768CD0CB56134DA32835B430ABE0E88BA6341298D0266D109FD9","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","23B17057217B8D9E2D8D0E1A74CA1F75A18D1286458C7860E83947315F811B8F","2026-07-19T16:44:40.2490051Z","6"
"28","pwa_coverage150","older_2015_2018","REPORT_FOUND","C76C243F591AECA0131B12791571B132ADC6F28103F1973CE036E8DB6E225F72","7F7D3AA10B79CE5FFBD2DFDC9DE10CF7EAA10E98765194AB92027C7DC9EF8303","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","0A9E07934C3039E3CA2EFB0D971220A8047268086AF33A4EC68EB2AC89863474","2026-07-19T16:45:01.0260343Z","4"
"29","pwa_coverage150","discovery_2019_2020","REPORT_FOUND","55D0B3064D06C1EB7D7DF753DFCD51D9987D775BF0BE1B30249FFC581608BC26","7F7D3AA10B79CE5FFBD2DFDC9DE10CF7EAA10E98765194AB92027C7DC9EF8303","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","FDC017CF8BF4712A3EB96E8B32947F6F18EE9427DE742E2E278C56EE2F1B2F57","2026-07-19T16:45:20.3630331Z","0"
"30","pwa_coverage150","continuous_2015_2020","REPORT_FOUND","FB57FA6AA63B3FB6486038F5122AD98671547DB9ACE89C5F3F48A143D45770FF","7F7D3AA10B79CE5FFBD2DFDC9DE10CF7EAA10E98765194AB92027C7DC9EF8303","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","CD1B9B4F97BC40CFC127C035D7E46906F97A3249202A3379A879966D0371C5E9","2026-07-19T16:45:44.6511854Z","4"
