"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule"
"1","peak_r20_no_peaktrail_r10","1","year_split","1","phase0_yearly_model1","peak_r20_no_peaktrail_r10.set","2024_full","2024.01.01","2024.12.31","1","configs\001_peak_r20_no_peaktrail_r10_2024_full_m1.ini","peak_r20_no_peaktrail_r10_split_2024_full_m1","profiles\peak_r20_no_peaktrail_r10.set","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if any yearly split is red, too sparse, or has weak recovery."
"2","peak_r20_no_peaktrail_r10","1","year_split","2","phase0_yearly_model1","peak_r20_no_peaktrail_r10.set","2025_full","2025.01.01","2025.12.31","1","configs\002_peak_r20_no_peaktrail_r10_2025_full_m1.ini","peak_r20_no_peaktrail_r10_split_2025_full_m1","profiles\peak_r20_no_peaktrail_r10.set","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if any yearly split is red, too sparse, or has weak recovery."
"3","peak_r20_no_peaktrail_r10","1","year_split","3","phase0_yearly_model1","peak_r20_no_peaktrail_r10.set","2026_ytd","2026.01.01","2026.07.12","1","configs\003_peak_r20_no_peaktrail_r10_2026_ytd_m1.ini","peak_r20_no_peaktrail_r10_split_2026_ytd_m1","profiles\peak_r20_no_peaktrail_r10.set","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if any yearly split is red, too sparse, or has weak recovery."
