"Candidate","Role","OlderNetProfit","MiddleNetProfit","RecentNetProfit","ContinuousNetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown"
"sslc_control","exact_control","856.18","572.09","602.11","2105.08","21.05","1.67","1.81","404","1.15","15.6686","18.3043"
"sslc_center015","frozen_center","988.8","743.07","602.11","2428.5","24.28","1.9","1.89","404","1.18","17.0889","20.5763"
