"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"11","ri2_m12_r30","2","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r30.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\011_ri2_m12_r30_discovery_2019_2020_m1.ini","ri2_m12_r30_discovery_2019_2020_m1","profiles\ri2_m12_r30.set","E2D3CEB1412B8E1C735114CCBC22BE781A85C75077A73238ECAF6922FD659B11","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m12_r30_discovery_2019_2020_m1.htm","10000","730","1.9986","92.02","10092.02","0.92","0.46","0.46","2.41","8.37","5.34","54.55","11","1","48.47","0.48","36.12","48.47","1.9","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"12","ri2_m12_r30","2","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r30.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\012_ri2_m12_r30_continuous_2015_2020_m1.ini","ri2_m12_r30_continuous_2015_2020_m1","profiles\ri2_m12_r30.set","E2D3CEB1412B8E1C735114CCBC22BE781A85C75077A73238ECAF6922FD659B11","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m12_r30_continuous_2015_2020_m1.htm","10000","2191","5.9986","265.63","10265.63","2.66","0.44","0.44","3.17","11.55","2.75","52.17","23","3","72.93","0.72","41.74","72.93","3.64","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"13","ri2_m12_r30","2","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r30.set","year_2015","2015.01.01","2015.12.31","1","configs\013_ri2_m12_r30_year_2015_m1.ini","ri2_m12_r30_year_2015_m1","profiles\ri2_m12_r30.set","E2D3CEB1412B8E1C735114CCBC22BE781A85C75077A73238ECAF6922FD659B11","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m12_r30_year_2015_m1.htm","10000","364","0.9966","19.63","10019.63","0.2","0.2","0.2","2.45","9.81","0.04","50","2","1","42.54","0.42","13.56","42.54","0.46","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"14","ri2_m12_r30","2","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r30.set","year_2016","2016.01.01","2016.12.31","1","configs\014_ri2_m12_r30_year_2016_m1.ini","ri2_m12_r30_year_2016_m1","profiles\ri2_m12_r30.set","E2D3CEB1412B8E1C735114CCBC22BE781A85C75077A73238ECAF6922FD659B11","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m12_r30_year_2016_m1.htm","10000","365","0.9993","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"15","ri2_m12_r30","2","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r30.set","year_2017","2017.01.01","2017.12.31","1","configs\015_ri2_m12_r30_year_2017_m1.ini","ri2_m12_r30_year_2017_m1","profiles\ri2_m12_r30.set","E2D3CEB1412B8E1C735114CCBC22BE781A85C75077A73238ECAF6922FD659B11","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m12_r30_year_2017_m1.htm","10000","364","0.9966","-17.15","9982.85","-0.17","-0.17","-0.17","0","-8.57","-0.88","0","2","2","19.23","0.19","17.15","19.23","-0.89","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"16","ri2_m12_r30","2","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r30.set","year_2018","2018.01.01","2018.12.31","1","configs\016_ri2_m12_r30_year_2018_m1.ini","ri2_m12_r30_year_2018_m1","profiles\ri2_m12_r30.set","E2D3CEB1412B8E1C735114CCBC22BE781A85C75077A73238ECAF6922FD659B11","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m12_r30_year_2018_m1.htm","10000","364","0.9966","36.94","10036.94","0.37","0.37","0.37","2.97","9.24","0.3","75","4","1","31.81","0.32","18.71","31.81","1.16","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"17","ri2_m12_r30","2","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r30.set","year_2019","2019.01.01","2019.12.31","1","configs\017_ri2_m12_r30_year_2019_m1.ini","ri2_m12_r30_year_2019_m1","profiles\ri2_m12_r30.set","E2D3CEB1412B8E1C735114CCBC22BE781A85C75077A73238ECAF6922FD659B11","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m12_r30_year_2019_m1.htm","10000","364","0.9966","-12.52","9987.48","-0.13","-0.13","-0.13","0","-12.52","-0.27","0","1","1","12.52","0.13","12.52","12.52","-1","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"18","ri2_m12_r30","2","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r30.set","year_2020","2020.01.01","2020.12.31","1","configs\018_ri2_m12_r30_year_2020_m1.ini","ri2_m12_r30_year_2020_m1","profiles\ri2_m12_r30.set","E2D3CEB1412B8E1C735114CCBC22BE781A85C75077A73238ECAF6922FD659B11","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m12_r30_year_2020_m1.htm","10000","365","0.9993","131.13","10131.13","1.31","1.31","1.31","3.48","13.11","5.93","60","10","1","48.47","0.48","36.12","48.47","2.71","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"19","ri2_m12_r40","3","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r40.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\019_ri2_m12_r40_older_2015_2018_m1.ini","ri2_m12_r40_older_2015_2018_m1","profiles\ri2_m12_r40.set","8E5CBED06AA98136F09299DB1E5DF7FA2193B7BA97B56714F77829C5D9C273B2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m12_r40_older_2015_2018_m1.htm","10000","1460","3.9973","196.33","10196.33","1.96","0.49","0.49","4.27","19.63","0.49","60","10","2","78.71","0.78","24.42","78.71","2.49","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"20","ri2_m12_r40","3","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r40.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\020_ri2_m12_r40_discovery_2019_2020_m1.ini","ri2_m12_r40_discovery_2019_2020_m1","profiles\ri2_m12_r40.set","8E5CBED06AA98136F09299DB1E5DF7FA2193B7BA97B56714F77829C5D9C273B2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m12_r40_discovery_2019_2020_m1.htm","10000","730","1.9986","88.48","10088.48","0.88","0.44","0.44","2.16","7.37","4.34","50","12","2","49.88","0.49","37.53","49.88","1.77","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
