Lane,Trades,NetProfit,ProfitFactor,WinRatePercent,AverageRiskR
ADAPTIVE_TREND,49,163.29,1.7817,46.94,0.2724
M15_SQUEEZE,88,209.91,1.4954,52.27,0.2266
MOMENTUM,194,630.51,1.5651,44.85,0.2157
REVERSION,19,571.99,3.1735,52.63,0.9426
