"QueueRank","Candidate","Phase","Window","Model","Deposit","PackageConfig","ReportDestination","ExpectedReportName","ProfileSha256","SourceSha256","RunLabel","StopRule"
"4","tlr_control_q0","discovery_model1","continuous_2015_2020","1","10000","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\configs\004_tlr_control_q0_continuous_2015_2020_m1.ini","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_control_q0_continuous_2015_2020_m1","tlr_control_q0_continuous_2015_2020_m1","6AAA9841769D800349E3146A682556C45170F163F82CC16642489F6948FE3ABC","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"8","tlr_center_q14","discovery_model1","continuous_2015_2020","1","10000","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\configs\008_tlr_center_q14_continuous_2015_2020_m1.ini","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_center_q14_continuous_2015_2020_m1","tlr_center_q14_continuous_2015_2020_m1","71AD962F32C61A6DC9AFB2F5903939E2309F4312BCD4B5CC901A2CC787A12D46","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
"28","tlr_lookback20","discovery_model1","continuous_2015_2020","1","10000","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\configs\028_tlr_lookback20_continuous_2015_2020_m1.ini","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_lookback20_continuous_2015_2020_m1","tlr_lookback20_continuous_2015_2020_m1","BA584CEB4366EC45DAA198BAA6F58793F0128C7C54B23DD7CF337B8A617CC51C","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","trend_liquidity_reclaim_discovery_model1","Pre-2021 only: the 14-day center, a quarantine neighbor, and a body/lookback neighbor must pass exact identity, era, PF, activity, DD, payoff, and return-efficiency gates before recent data opens."
