"Candidate","ProfileSha256","DiscoveryNet","DiscoveryPF","EarlyNet","EarlyPF","RecentNet","RecentPF","PostNet","PostPF","FullNet","FullReturnPercent","FullPF","FullTrades","FullDrawdownPercent","FullRecoveryFactor","MaxConsecutiveLosses","EraGatePass","FullGatePass","ParentComparisonPass","NeighborSupportPass","BaseGatePass","Decision"
"rdmc_di10_parent","9A5C91BCB4013C510D9AB1EB65083D302C7DF27C7FFA5B01C0A8F98C0EF22C66","751.75","1.56","414.94","1.62","222.3","1.62","620.87","1.58","1427.8","14.28","1.57","350","1.6","8.0065","8","True","True","True","False","True","PARENT_ONLY"
"rdmc_di10_cap12_center","BC3ED745E8CEF680BF6785597044A7A24E488E1F45E498E1AC4EC7BCE3B5AEFC","818.86","1.64","414.94","1.62","301.64","2.45","689.75","1.76","1555.33","15.55","1.68","344","1.59","8.7216","8","True","True","True","True","True","OPEN_MONEY_READINESS"
"rdmc_di10_cap14","0271FB8073C2282D8BDE1FDBC7823C9B6F7F34EA5B44E67A1304C191D806AA7B","818.86","1.64","414.94","1.62","242.82","1.96","641.39","1.67","1506.97","15.07","1.64","345","1.59","8.4505","8","True","True","True","False","True","SUPPORTS_CENTER"
