"Metric","Value"
"OriginalInputCount","1802"
"KeptInputCount","351"
"ConvertedToGlobals","1451"
"OutSourcePath",".\outputs\Professional_XAUUSD_EA_PEAK_R20_OOS_YEARLY_COMPACT.mq5"
