"Candidate","Role","SelectiveLotCapEnabled","BaseReversionMaximumPositionLots","StrongSignalMaximumPositionLots","OlderNetProfit","LaterNetProfit","ContinuousNetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","BehaviorChangedVsControl"
"sslc_control","control","false","0.1","0.15","860.86","330.02","1191.69","11.92","1.89","1.77","265","1.02","10.5778","11.6863","False"
"sslc_unconditional015","unconditional_reference","false","0.15","0.15","1075.75","370.41","1419.25","14.19","2.24","1.85","267","1.3","10.3136","10.9154","True"
"sslc_low012","lower_neighbor","true","0.1","0.12","921.1","343.82","1260.47","12.6","2","1.81","265","1.02","11.1883","12.3529","True"
"sslc_center015","center","true","0.1","0.15","1001.72","370.41","1353.74","13.54","2.14","1.85","265","1.06","11.4559","12.7736","True"
"sslc_high018","upper_neighbor","true","0.1","0.18","1024.19","388.14","1394.28","13.94","2.2","1.87","265","1.18","11.2234","11.8136","True"
