"Candidate","Role","SummedAnnualNet","SummedTrades","PositiveYears","WorstYearNet","WorstAnnualDrawdownPercent"
"sslc_control","exact_control","1999.97","392","12","13.01","1.24"
"sslc_center015","frozen_center","2260.63","392","12","13.01","1.24"
