Candidate,NetProfit,TotalReturnPercent,CagrPercent,ProfitFactor,Trades,MaxDrawdownPercent,RecoveryFactor,ReturnToDrawdown,WorstEraNetProfit,AllErasPositive,Decision
rvbe_control,2195.53,21.96,1.74,1.83,415,1.17,15.8168,18.7692,601.99,True,CONTROL
rvbe_t050_l000,1774.78,17.75,1.43,1.72,412,1.36,11.5553,13.0515,516.42,True,REJECT
rvbe_t075_l000,1950.50,19.51,1.56,1.78,412,1.07,15.2837,18.2243,528.94,True,REJECT
rvbe_t100_l000,2114.39,21.14,1.68,1.82,415,1.13,15.9013,18.7080,562.94,True,REJECT
rvbe_t125_l000,2114.39,21.14,1.68,1.82,415,1.13,15.9013,18.7080,562.94,True,REJECT
rvbe_t075_l010,1964.99,19.65,1.57,1.79,414,1.07,15.3972,18.3645,545.02,True,REJECT
rvbe_t100_l010,2122.79,21.23,1.68,1.82,415,1.13,15.9644,18.7876,570.14,True,REJECT
