"QueueRank","Candidate","Role","Window","From","To","Model","MinimumD1MomentumStrengthEnabled","MinimumAbsoluteD1MomentumPercent","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","ReportSha256"
"1","mds_control","control","older_2015_2018","2015.01.01","2018.12.31","1","false","0","C6C13876F7B2126D1ED646FAF4FCD5F9BB839179912C95ACA54584851909BCAA","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","481AA52A07DC1600C79B2411125F4845876F5EF4615A45D3076349F4D675EECD","PARSED","1036.19","10.36","2.5","1.96","5.63","5.45","45.65","184","6","1.11","8.8405","9.3333","804D711582F3C4D36743931CE187F68F3760314758E92CA2877C3B0EA86EC4AD"
"2","mds_control","control","later_2019_2020","2019.01.01","2020.12.31","1","false","0","C6C13876F7B2126D1ED646FAF4FCD5F9BB839179912C95ACA54584851909BCAA","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","481AA52A07DC1600C79B2411125F4845876F5EF4615A45D3076349F4D675EECD","PARSED","370.6","3.71","1.84","1.94","5.01","5.64","47.3","74","6","0.93","3.9155","3.9892","D96248809A48ED70CA5026C6BFB580FD9132217281EC6B21C8667BC453F1926E"
"3","mds_control","control","continuous_2015_2020","2015.01.01","2020.12.31","1","false","0","C6C13876F7B2126D1ED646FAF4FCD5F9BB839179912C95ACA54584851909BCAA","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","481AA52A07DC1600C79B2411125F4845876F5EF4615A45D3076349F4D675EECD","PARSED","1379.93","13.8","2.18","1.88","5.29","5.15","45.98","261","6","1.05","11.6775","13.1429","4023544B2E15F8C8BE11FD8CAAE05142766C8E40BCF74F56398B8C267D8F269F"
"4","mds_02","lower_support","older_2015_2018","2015.01.01","2018.12.31","1","true","2","DA3480DFBA5FB4690575E4BC4FB7063687929F61DC92A80A646AB267F58E5B92","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","481AA52A07DC1600C79B2411125F4845876F5EF4615A45D3076349F4D675EECD","PARSED","856.19","8.56","2.08","1.92","5.45","4.94","44.59","157","9","1.13","7.1672","7.5752","B2FAA1BC90B27762565A19743C65B0EAA595B6F0A0218BEEB5669F3FE960B30A"
"5","mds_02","lower_support","later_2019_2020","2019.01.01","2020.12.31","1","true","2","DA3480DFBA5FB4690575E4BC4FB7063687929F61DC92A80A646AB267F58E5B92","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","481AA52A07DC1600C79B2411125F4845876F5EF4615A45D3076349F4D675EECD","PARSED","370.6","3.71","1.84","1.94","5.01","5.64","47.3","74","6","0.93","3.9155","3.9892","162A3372B2DF270BB463CE87E7304967D6242F36BDB141119E9D6B5C88C18B92"
"6","mds_02","lower_support","continuous_2015_2020","2015.01.01","2020.12.31","1","true","2","DA3480DFBA5FB4690575E4BC4FB7063687929F61DC92A80A646AB267F58E5B92","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","481AA52A07DC1600C79B2411125F4845876F5EF4615A45D3076349F4D675EECD","PARSED","1227.66","12.28","1.95","1.89","5.27","4.9","45.49","233","9","1.13","10.2767","10.8673","1030CBFAEB54F0DED4D832F6E0845323284D2A8EF345838BBFACAE45E2FFCEEF"
"7","mds_center_04","center","older_2015_2018","2015.01.01","2018.12.31","1","true","4","27DA741AEA25DE4F7EC0061746CCE8BB76281EEFE4424C89EAED59E410701651","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","481AA52A07DC1600C79B2411125F4845876F5EF4615A45D3076349F4D675EECD","PARSED","758.97","7.59","1.85","1.92","5.46","4.6","45.32","139","6","1.12","6.4753","6.7768","1C22AC167B2FF680074777382CC07CE286E61F12750C6390CE17EF9CA5657FFD"
"8","mds_center_04","center","later_2019_2020","2019.01.01","2020.12.31","1","true","4","27DA741AEA25DE4F7EC0061746CCE8BB76281EEFE4424C89EAED59E410701651","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","481AA52A07DC1600C79B2411125F4845876F5EF4615A45D3076349F4D675EECD","PARSED","380.62","3.81","1.89","1.99","5.21","5.82","47.95","73","6","0.93","4.0213","4.0968","78EF42DBC6A8EC05A29DB304C0218A89C4A2E670A40EA148BD2508266124082D"
"9","mds_center_04","center","continuous_2015_2020","2015.01.01","2020.12.31","1","true","4","27DA741AEA25DE4F7EC0061746CCE8BB76281EEFE4424C89EAED59E410701651","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","481AA52A07DC1600C79B2411125F4845876F5EF4615A45D3076349F4D675EECD","PARSED","1131.34","11.31","1.8","1.89","5.29","4.68","46.26","214","6","1.12","9.6522","10.0982","07A11D1DCE79E26F3DD9522A6BB67C4F7C16F9664F11BF97D14490B36263B436"
"10","mds_06","upper_support","older_2015_2018","2015.01.01","2018.12.31","1","true","6","FC174DC52541BB0272AABD328510578F131D7187E5CC6DF1FC8FDFC3ED170846","F405E62145EB3353D26A6EEC9095505AD3E674CB3FB5E4C1F58F0049AE4117D8","481AA52A07DC1600C79B2411125F4845876F5EF4615A45D3076349F4D675EECD","PARSED","707.03","7.07","1.72","2.01","6.04","4.67","46.15","117","8","1.2","5.6056","5.8917","F17CAEBD94D4BB9CD228C5FEE07725C04077BE5111EF75BF9C4FB27FF9245876"
