"Candidate","Role","StopLookbackBars","OlderNet","OlderRetentionPercent","RecentNet","RecentRetentionPercent","ContinuousNet","NetGrowthPercent","CagrPercent","CagrGrowthPoints","ProfitFactor","Trades","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdownRatio","PositiveEras","RetainsBothEras","TradeRetentionPass","EfficiencyNoWorse","DrawdownPass","GrowthPass","DiscoveryGatePass","Decision"
"rvsg_stop2","lower_boundary","2","1076.23","103.86","327.51","88.37","1370.72","-0.67","2.16","-0.02","1.85","263","1.05","11.5996","13.0571","True","False","True","False","True","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rvsg_center3","center","3","1036.29","100.01","370.6","100","1380.03","0.01","2.18","0","1.88","261","1.05","11.6783","13.1429","True","True","True","True","True","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rvsg_stop4","upper_neighbor","4","1036.19","100","370.6","100","1379.93","0","2.18","0","1.88","261","1.05","11.6775","13.1429","True","True","True","True","True","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rvsg_control5","control","5","1036.19","100","370.6","100","1379.93","0","2.18","0","1.88","261","1.05","11.6775","13.1429","True","True","True","True","True","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rvsg_stop6","wide_boundary","6","1036.19","100","370.6","100","1379.93","0","2.18","0","1.88","261","1.05","11.6775","13.1429","True","True","True","True","True","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
