"Rank","Priority","Phase","Profile","Set","Window","From","To","ExpectedReportName","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"","","growthdecompannual","tlat_rc2_decomp_atb150","trade_ready_rc2","year_2015","2015.01.01","2015.12.31","tlat_rc2_decomp_atb150_year_2015_m4","PARSED","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2015_m4.htm","10000","364","0.9966","170.78","10170.78","1.71","1.71","1.71","2.06","6.57","18.4","53.85","26","2","87.71","0.87","47.33","87.71","1.9471"
"","","growthdecompannual","tlat_rc2_decomp_atb150","trade_ready_rc2","year_2016","2016.01.01","2016.12.31","tlat_rc2_decomp_atb150_year_2016_m4","PARSED","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2016_m4.htm","10000","365","0.9993","256.58","10256.58","2.57","2.57","2.57","2.19","6.11","22.73","45.24","42","5","52.5","0.52","33.04","52.5","4.8872"
"","","growthdecompannual","tlat_rc2_decomp_atb150","trade_ready_rc2","year_2017","2017.01.01","2017.12.31","tlat_rc2_decomp_atb150_year_2017_m4","PARSED","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2017_m4.htm","10000","364","0.9966","111.65","10111.65","1.12","1.12","1.12","1.29","2.03","11.68","38.18","55","6","109.36","1.08","98.09","109.36","1.0209"
"","","growthdecompannual","tlat_rc2_decomp_atb150","trade_ready_rc2","year_2018","2018.01.01","2018.12.31","tlat_rc2_decomp_atb150_year_2018_m4","PARSED","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2018_m4.htm","10000","364","0.9966","281.65","10281.65","2.82","2.83","2.83","1.96","4.47","22.5","47.62","63","5","52.41","0.51","48.24","52.41","5.374"
"","","growthdecompannual","tlat_rc2_decomp_atb150","trade_ready_rc2","year_2019","2019.01.01","2019.12.31","tlat_rc2_decomp_atb150_year_2019_m4","PARSED","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2019_m4.htm","10000","364","0.9966","13.01","10013.01","0.13","0.13","0.13","1.07","0.36","0.51","38.89","36","6","108.85","1.08","63.44","108.85","0.1195"
"","","growthdecompannual","tlat_rc2_decomp_atb150","trade_ready_rc2","year_2020","2020.01.01","2020.12.31","tlat_rc2_decomp_atb150_year_2020_m4","PARSED","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2020_m4.htm","10000","365","0.9993","194.64","10194.64","1.95","1.95","1.95","1.99","6.71","8.14","48.28","29","3","66.32","0.65","53.2","66.32","2.9349"
"","","growthdecompannual","tlat_rc2_decomp_atb150","trade_ready_rc2","year_2021","2021.01.01","2021.12.31","tlat_rc2_decomp_atb150_year_2021_m4","PARSED","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2021_m4.htm","10000","364","0.9966","313.13","10313.13","3.13","3.14","3.14","2.36","10.44","39.41","30","30","8","115.77","1.16","79.58","115.77","2.7048"
"","","growthdecompannual","tlat_rc2_decomp_atb150","trade_ready_rc2","year_2022","2022.01.01","2022.12.31","tlat_rc2_decomp_atb150_year_2022_m4","PARSED","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2022_m4.htm","10000","364","0.9966","16.22","10016.22","0.16","0.16","0.16","1.07","0.45","2.99","41.67","36","4","95.61","0.96","84.47","95.61","0.1696"
"","","growthdecompannual","tlat_rc2_decomp_atb150","trade_ready_rc2","year_2023","2023.01.01","2023.12.31","tlat_rc2_decomp_atb150_year_2023_m4","PARSED","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2023_m4.htm","10000","364","0.9966","181.54","10181.54","1.82","1.82","1.82","1.75","4.43","16.47","46.34","41","6","125.81","1.24","76.54","125.81","1.443"
"","","growthdecompannual","tlat_rc2_decomp_atb150","trade_ready_rc2","year_2024","2024.01.01","2024.12.31","tlat_rc2_decomp_atb150_year_2024_m4","PARSED","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2024_m4.htm","10000","365","0.9993","233.81","10233.81","2.34","2.34","2.34","2.44","8.06","21.39","48.28","29","4","108.51","1.08","58.83","108.51","2.1547"
"","","growthdecompannual","tlat_rc2_decomp_atb150","trade_ready_rc2","year_2025","2025.01.01","2025.12.31","tlat_rc2_decomp_atb150_year_2025_m4","PARSED","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2025_m4.htm","10000","364","0.9966","17.78","10017.78","0.18","0.18","0.18","2.91","5.93","2.4","66.67","3","1","12.49","0.12","9.29","12.49","1.4235"
"","","growthdecompannual","tlat_rc2_decomp_atb150","trade_ready_rc2","year_2026_ytd","2026.01.01","2026.07.12","tlat_rc2_decomp_atb150_year_2026_ytd_m4","PARSED","outputs\three_lane_trade_ready_rc2_atb150_annual_model4_package\reports_here\tlat_rc2_decomp_atb150_year_2026_ytd_m4.htm","10000","192","0.5257","209.18","10209.18","2.09","3.98","4.02","0","104.59","0.31","100","2","0","121.24","1.19","0","121.24","1.7253"
