"Candidate","Role","FeatureEnabled","SoloLotCap","OlderNet","OlderGrowthPercent","RecentNet","RecentGrowthPercent","ContinuousNet","NetGrowthPercent","CagrPercent","CagrGrowthPoints","ProfitFactor","Trades","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdownRatio","PositiveAllWindows","ExactTradeCount","DrawdownPass","CenterGatePass","NeighborSupportPass","Decision"
"rvsolo_low017","lower_neighbor","True","0.17","1056.38","1.95","388.33","4.78","1417.85","2.75","2.23","0.05","1.91","261","1.15","11.6322","12.3304","True","True","True","False","False","REJECTED_OR_CONTROL"
"rvsolo_control015","exact_leader_control","False","0.18","1036.19","0","370.6","0","1379.93","0","2.18","0","1.88","261","1.05","11.6775","13.1429","True","True","True","False","False","REJECTED_OR_CONTROL"
"rvsolo_center018","fixed_center","True","0.18","1058.66","2.17","388.33","4.78","1416.5","2.65","2.23","0.05","1.9","261","1.17","11.4022","12.1026","True","True","False","False","False","REJECTED_OR_CONTROL"
"rvsolo_high019","upper_neighbor","True","0.19","1060.94","2.39","388.33","4.78","1427.65","3.46","2.25","0.07","1.9","261","1.2","11.2795","11.9","True","True","False","False","False","REJECTED_OR_CONTROL"
"rvsolo_boundary020","upper_boundary","True","0.2","1058.6","2.16","388.33","4.78","1425.31","3.29","2.25","0.07","1.9","261","1.22","11.0566","11.6803","True","True","False","False","False","REJECTED_OR_CONTROL"
