"QueueRank","Candidate","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","ContractSha256","MaximumATRPercent","InitialDeposit","NetProfit","Balance","TotalReturnPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"1","mac_fixed_control","repair_2019_2020","2019.01.01","2020.12.31","1","10000","mac_fixed_control_repair_2019_2020_m1","PARSED","outputs\rc2_momentum_atr_cap_repair_model1_package\reports_here\mac_fixed_control_repair_2019_2020_m1.htm","CC1A680775559F458460DB75B5FAA72B61AC238D2A4EBC74A179AF9BFA6BB31C","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","484985776EF02F5C21D85AC3932B49B5DB9943F1946729C6BE12306700336D60","2.50","10000","-105.45","9894.55","-1.05","0.84","-1.46","-1.84","37.5","72","7","313.42","3.08","274.79","313.42","-0.3364"
"2","mac_fixed_control","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","mac_fixed_control_continuous_2015_2020_m1","PARSED","outputs\rc2_momentum_atr_cap_repair_model1_package\reports_here\mac_fixed_control_continuous_2015_2020_m1.htm","CC1A680775559F458460DB75B5FAA72B61AC238D2A4EBC74A179AF9BFA6BB31C","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","484985776EF02F5C21D85AC3932B49B5DB9943F1946729C6BE12306700336D60","2.50","10000","694.13","10694.13","6.94","1.42","3.09","4.07","43.11","225","7","303.87","2.77","265.24","303.87","2.2843"
"3","mac_cap024","repair_2019_2020","2019.01.01","2020.12.31","1","10000","mac_cap024_repair_2019_2020_m1","PARSED","outputs\rc2_momentum_atr_cap_repair_model1_package\reports_here\mac_cap024_repair_2019_2020_m1.htm","DDBB357B82E4E46C6F9B47A48CA3DD85B0CA100B1A9A2F187BCED87AF94C4EB9","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","484985776EF02F5C21D85AC3932B49B5DB9943F1946729C6BE12306700336D60","0.24","10000","-149.28","9850.72","-1.49","0.75","-2.53","-2.88","35.59","59","6","311.65","3.07","294.49","311.65","-0.479"
"4","mac_cap024","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","mac_cap024_continuous_2015_2020_m1","PARSED","outputs\rc2_momentum_atr_cap_repair_model1_package\reports_here\mac_cap024_continuous_2015_2020_m1.htm","DDBB357B82E4E46C6F9B47A48CA3DD85B0CA100B1A9A2F187BCED87AF94C4EB9","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","484985776EF02F5C21D85AC3932B49B5DB9943F1946729C6BE12306700336D60","0.24","10000","672.32","10672.32","6.72","1.47","3.63","4.67","43.24","185","6","302.89","2.76","285.73","302.89","2.2197"
"5","mac_cap026","repair_2019_2020","2019.01.01","2020.12.31","1","10000","mac_cap026_repair_2019_2020_m1","PARSED","outputs\rc2_momentum_atr_cap_repair_model1_package\reports_here\mac_cap026_repair_2019_2020_m1.htm","1FF8B21DD2D9B321ED1DD1A2B91BD1D5AB75A8080C7A2B7B9E465D1997ABA044","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","484985776EF02F5C21D85AC3932B49B5DB9943F1946729C6BE12306700336D60","0.26","10000","-156.32","9843.68","-1.56","0.75","-2.52","-2.99","33.87","62","7","298.02","2.94","280.86","298.02","-0.5245"
"6","mac_cap026","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","mac_cap026_continuous_2015_2020_m1","PARSED","outputs\rc2_momentum_atr_cap_repair_model1_package\reports_here\mac_cap026_continuous_2015_2020_m1.htm","1FF8B21DD2D9B321ED1DD1A2B91BD1D5AB75A8080C7A2B7B9E465D1997ABA044","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","484985776EF02F5C21D85AC3932B49B5DB9943F1946729C6BE12306700336D60","0.26","10000","739.58","10739.58","7.4","1.5","3.77","4.84","43.37","196","7","297.41","2.69","280.25","297.41","2.4867"
"7","mac_cap028","repair_2019_2020","2019.01.01","2020.12.31","1","10000","mac_cap028_repair_2019_2020_m1","PARSED","outputs\rc2_momentum_atr_cap_repair_model1_package\reports_here\mac_cap028_repair_2019_2020_m1.htm","F3F2BB0E040218CE0669C2B32E886290CEDA2A4B8531D13A110A4F4A6D0E65BE","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","484985776EF02F5C21D85AC3932B49B5DB9943F1946729C6BE12306700336D60","0.28","10000","-153.76","9846.24","-1.54","0.76","-2.37","-2.88","33.85","65","7","315.27","3.1","278.3","315.27","-0.4877"
"8","mac_cap028","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","mac_cap028_continuous_2015_2020_m1","PARSED","outputs\rc2_momentum_atr_cap_repair_model1_package\reports_here\mac_cap028_continuous_2015_2020_m1.htm","F3F2BB0E040218CE0669C2B32E886290CEDA2A4B8531D13A110A4F4A6D0E65BE","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","484985776EF02F5C21D85AC3932B49B5DB9943F1946729C6BE12306700336D60","0.28","10000","747.44","10747.44","7.47","1.49","3.66","4.72","43.63","204","7","322.06","2.91","285.09","322.06","2.3208"
