"QueueRank","Candidate","Phase","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","RunLabel","MinimumSweepATR","MinimumReclaimATR","WickToBodyRatio","UseTickVolumeFilter","MinimumVolumeRatio","UseMaximumADXFilter","MaximumADX","TakeProfitR","UseAsianMidpointTarget","EntryEndHour","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"11","ars_reclaim05","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","ars_reclaim05_repair_2019_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_reclaim05_repair_2019_2020_m1.htm","CB453E07BE5F53BD5093BDD4602C667C6FB9775F11E1FB1CFF209758A7918839","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.05","1.00","false","1.10","false","28.0","1.50","false","12","10000","730","1.9986","-42.57","9957.43","-0.43","-0.21","-0.21","0.8","-1.06","-5","40","40","5","90.63","0.91","-0.4697"
"12","ars_reclaim05","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","ars_reclaim05_continuous_2015_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_reclaim05_continuous_2015_2020_m1.htm","CB453E07BE5F53BD5093BDD4602C667C6FB9775F11E1FB1CFF209758A7918839","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.05","1.00","false","1.10","false","28.0","1.50","false","12","10000","2191","5.9986","-263.39","9736.61","-2.63","-0.44","-0.44","0.59","-2.56","-5","33.01","103","11","317.28","3.17","-0.8302"
"13","ars_wick15","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","ars_wick15_older_2015_2018_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_wick15_older_2015_2018_m1.htm","F835324B8D9E3956D7944BCD12AE5A4139B66A37E8F60394D901ADB955D7F7E9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.50","false","1.10","false","28.0","1.50","false","12","10000","1460","3.9973","-306.67","9693.33","-3.07","-0.77","-0.78","0.11","-6.26","-5","24.49","49","10","326.98","3.27","-0.9379"
"14","ars_wick15","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","ars_wick15_repair_2019_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_wick15_repair_2019_2020_m1.htm","F835324B8D9E3956D7944BCD12AE5A4139B66A37E8F60394D901ADB955D7F7E9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.50","false","1.10","false","28.0","1.50","false","12","10000","730","1.9986","27.17","10027.17","0.27","0.14","0.14","1.21","0.94","5.25","48.28","29","4","66.17","0.66","0.4106"
"15","ars_wick15","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","ars_wick15_continuous_2015_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_wick15_continuous_2015_2020_m1.htm","F835324B8D9E3956D7944BCD12AE5A4139B66A37E8F60394D901ADB955D7F7E9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.50","false","1.10","false","28.0","1.50","false","12","10000","2191","5.9986","-295.16","9704.84","-2.95","-0.49","-0.5","0.39","-3.74","-5","32.91","79","10","388.24","3.88","-0.7603"
"16","ars_volume105","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","ars_volume105_older_2015_2018_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_volume105_older_2015_2018_m1.htm","50B9C89AC3CBEE83D06B060C7F9F0C8805B66B93AEFDD9932034D1BA745DFCC0","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","true","1.05","false","28.0","1.50","false","12","10000","1460","3.9973","-78.59","9921.41","-0.79","-0.2","-0.2","0.67","-2.18","-5","30.56","36","8","132.44","1.32","-0.5934"
"17","ars_volume105","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","ars_volume105_repair_2019_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_volume105_repair_2019_2020_m1.htm","50B9C89AC3CBEE83D06B060C7F9F0C8805B66B93AEFDD9932034D1BA745DFCC0","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","true","1.05","false","28.0","1.50","false","12","10000","730","1.9986","-26.56","9973.44","-0.27","-0.13","-0.13","0.81","-1.11","-5","33.33","24","5","77.47","0.77","-0.3428"
"18","ars_volume105","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","ars_volume105_continuous_2015_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_volume105_continuous_2015_2020_m1.htm","50B9C89AC3CBEE83D06B060C7F9F0C8805B66B93AEFDD9932034D1BA745DFCC0","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","true","1.05","false","28.0","1.50","false","12","10000","2191","5.9986","-110.05","9889.95","-1.1","-0.18","-0.18","0.71","-1.8","-5","31.15","61","8","176.26","1.76","-0.6244"
"19","ars_adx24","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","ars_adx24_older_2015_2018_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_adx24_older_2015_2018_m1.htm","9CA6F63087E32B07E116A958916371073BE011D668875F945AF502A2CCCF69A5","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","true","24.0","1.50","false","12","10000","1460","3.9973","-32.94","9967.06","-0.33","-0.08","-0.08","0.83","-1.18","-4.64","25","28","7","124.73","1.24","-0.2641"
"20","ars_adx24","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","ars_adx24_repair_2019_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_adx24_repair_2019_2020_m1.htm","9CA6F63087E32B07E116A958916371073BE011D668875F945AF502A2CCCF69A5","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","true","24.0","1.50","false","12","10000","730","1.9986","-32.22","9967.78","-0.32","-0.16","-0.16","0.56","-2.68","-5","33.33","12","3","46.08","0.46","-0.6992"
"21","ars_adx24","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","ars_adx24_continuous_2015_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_adx24_continuous_2015_2020_m1.htm","9CA6F63087E32B07E116A958916371073BE011D668875F945AF502A2CCCF69A5","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","true","24.0","1.50","false","12","10000","2191","5.9986","-65.16","9934.84","-0.65","-0.11","-0.11","0.76","-1.63","-5","27.5","40","7","124.73","1.24","-0.5224"
"22","ars_rr20","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","ars_rr20_older_2015_2018_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_rr20_older_2015_2018_m1.htm","1EE0BD245698AD47860FAB37F4043265C099709117274EE54BE8EB3752F641D9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","2.00","false","12","10000","1460","3.9973","-224.06","9775.94","-2.24","-0.56","-0.57","0.46","-3.61","-5","29.03","62","11","235.23","2.35","-0.9525"
"23","ars_rr20","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","ars_rr20_repair_2019_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_rr20_repair_2019_2020_m1.htm","1EE0BD245698AD47860FAB37F4043265C099709117274EE54BE8EB3752F641D9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","2.00","false","12","10000","730","1.9986","-33.2","9966.8","-0.33","-0.17","-0.17","0.85","-0.83","-4.51","40","40","5","78.81","0.79","-0.4213"
"24","ars_rr20","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","ars_rr20_continuous_2015_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_rr20_continuous_2015_2020_m1.htm","1EE0BD245698AD47860FAB37F4043265C099709117274EE54BE8EB3752F641D9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","2.00","false","12","10000","2191","5.9986","-262","9738","-2.62","-0.44","-0.44","0.59","-2.54","-5","33.01","103","11","320.76","3.2","-0.8168"
"25","ars_midpoint","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","ars_midpoint_older_2015_2018_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_midpoint_older_2015_2018_m1.htm","6FD87223240C2EAD1A14F85D730003C3896F6C98B6BA6BEE6B8DD91187729795","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","1.50","true","12","10000","1460","3.9973","-97.86","9902.14","-0.98","-0.24","-0.25","0.57","-2.8","-5","31.43","35","10","157.04","1.57","-0.6232"
"26","ars_midpoint","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","ars_midpoint_repair_2019_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_midpoint_repair_2019_2020_m1.htm","6FD87223240C2EAD1A14F85D730003C3896F6C98B6BA6BEE6B8DD91187729795","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","1.50","true","12","10000","730","1.9986","-22.6","9977.4","-0.23","-0.11","-0.11","0.86","-0.81","-3.46","35.71","28","4","103.04","1.03","-0.2193"
"27","ars_midpoint","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","ars_midpoint_continuous_2015_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_midpoint_continuous_2015_2020_m1.htm","6FD87223240C2EAD1A14F85D730003C3896F6C98B6BA6BEE6B8DD91187729795","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","1.50","true","12","10000","2191","5.9986","-121.21","9878.79","-1.21","-0.2","-0.2","0.69","-1.92","-5","33.33","63","10","200.9","2.01","-0.6033"
"28","ars_entry10","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","ars_entry10_older_2015_2018_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_entry10_older_2015_2018_m1.htm","8EEA2DD5B60FF1B4ED749DE74BC3BC62AC793E8A1AC793553A5204FAD2FD707D","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","1.50","false","10","10000","1460","3.9973","-137.09","9862.91","-1.37","-0.34","-0.34","0.48","-3.43","-5","30","40","6","177.3","1.77","-0.7732"
"29","ars_entry10","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","ars_entry10_repair_2019_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_entry10_repair_2019_2020_m1.htm","8EEA2DD5B60FF1B4ED749DE74BC3BC62AC793E8A1AC793553A5204FAD2FD707D","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","1.50","false","10","10000","730","1.9986","-12.06","9987.94","-0.12","-0.06","-0.06","0.92","-0.4","-2.04","43.33","30","5","57.28","0.57","-0.2105"
"30","ars_entry10","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","ars_entry10_continuous_2015_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_entry10_continuous_2015_2020_m1.htm","8EEA2DD5B60FF1B4ED749DE74BC3BC62AC793E8A1AC793553A5204FAD2FD707D","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","1.50","false","10","10000","2191","5.9986","-160.25","9839.75","-1.6","-0.27","-0.27","0.62","-2.26","-5","35.21","71","6","204.61","2.05","-0.7832"
